month,sales,realized_gain,taxable_gain,exempt_gain,loss_carry_in,loss_carry_out,tax_due,gross_tax_before_irrf,irrf_withheld_month,irrf_credit_in,irrf_credit_used,irrf_credit_out
2018-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,999.9293574052726,68.79243457811867,0.0,68.79243457811867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04,698.5327210348105,34.09918181891953,0.0,34.09918181891953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05,1068.6031574703115,-26.292888987647068,0.0,0.0,0.0,26.292888987647068,0.0,0.0,0.0,0.0,0.0,0.0
2018-06,991.4536194676767,-66.3030435986351,0.0,0.0,26.292888987647068,92.59593258628217,0.0,0.0,0.0,0.0,0.0,0.0
2018-07,929.8095650534837,-45.121119811997914,0.0,0.0,92.59593258628217,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2018-08,0.0,0.0,0.0,0.0,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2018-09,0.0,0.0,0.0,0.0,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2018-10,0.0,0.0,0.0,0.0,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2018-11,1183.1726673213338,292.0233913636059,0.0,292.0233913636059,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2018-12,1266.179942631738,93.77433077961996,0.0,93.77433077961996,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2019-01,1454.2399314134777,115.15897516717064,0.0,115.15897516717064,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2019-02,1597.820158864366,153.6642973904884,0.0,153.6642973904884,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2019-03,1677.7002316727883,73.73813235796939,0.0,73.73813235796939,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2019-04,1607.5796643531366,-85.87013969387067,0.0,0.0,137.7170523982801,223.58719209215076,0.0,0.0,0.0,0.0,0.0,0.0
2019-05,0.0,0.0,0.0,0.0,223.58719209215076,223.58719209215076,0.0,0.0,0.0,0.0,0.0,0.0
2019-06,5941.076153879627,-88.2220786260269,0.0,0.0,223.58719209215076,311.8092707181777,0.0,0.0,0.0,0.0,0.0,0.0
2019-07,1494.595351714293,-7.613813759586719,0.0,0.0,311.8092707181777,319.4230844777644,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,0.0,0.0,0.0,0.0,319.4230844777644,319.4230844777644,0.0,0.0,0.0,0.0,0.0,0.0
2019-09,0.0,0.0,0.0,0.0,319.4230844777644,319.4230844777644,0.0,0.0,0.0,0.0,0.0,0.0
2019-10,1191.001205985816,-320.8951897512959,0.0,0.0,319.4230844777644,640.3182742290603,0.0,0.0,0.0,0.0,0.0,0.0
2019-11,1318.5721458749326,166.735709010542,0.0,166.735709010542,640.3182742290603,640.3182742290603,0.0,0.0,0.0,0.0,0.0,0.0
2019-12,1658.8761974155382,302.9952405241489,0.0,302.9952405241489,640.3182742290603,640.3182742290603,0.0,0.0,0.0,0.0,0.0,0.0
2020-01,1845.1146039342095,276.47199193861434,0.0,276.47199193861434,640.3182742290603,640.3182742290603,0.0,0.0,0.0,0.0,0.0,0.0
2020-02,2203.190783362255,327.94768833959165,0.0,327.94768833959165,640.3182742290603,640.3182742290603,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,1924.4855275787272,-311.5447055083753,0.0,0.0,640.3182742290603,951.8629797374356,0.0,0.0,0.0,0.0,0.0,0.0
2020-04,1438.7473224914684,-502.697980716802,0.0,0.0,951.8629797374356,1454.5609604542376,0.0,0.0,0.0,0.0,0.0,0.0
2020-05,0.0,0.0,0.0,0.0,1454.5609604542376,1454.5609604542376,0.0,0.0,0.0,0.0,0.0,0.0
2020-06,0.0,0.0,0.0,0.0,1454.5609604542376,1454.5609604542376,0.0,0.0,0.0,0.0,0.0,0.0
2020-07,0.0,0.0,0.0,0.0,1454.5609604542376,1454.5609604542376,0.0,0.0,0.0,0.0,0.0,0.0
2020-08,2893.0953873598405,1471.2579269201408,0.0,1471.2579269201408,1454.5609604542376,1454.5609604542376,0.0,0.0,0.0,0.0,0.0,0.0
2020-09,2587.3610308901343,-222.14331319263374,0.0,0.0,1454.5609604542376,1676.7042736468713,0.0,0.0,0.0,0.0,0.0,0.0
2020-10,2697.494150306514,-2.7593806325526202,0.0,0.0,1676.7042736468713,1679.463654279424,0.0,0.0,0.0,0.0,0.0,0.0
2020-11,2930.6656271796155,336.5623818306363,0.0,336.5623818306363,1679.463654279424,1679.463654279424,0.0,0.0,0.0,0.0,0.0,0.0
2020-12,0.0,0.0,0.0,0.0,1679.463654279424,1679.463654279424,0.0,0.0,0.0,0.0,0.0,0.0
2021-01,0.0,0.0,0.0,0.0,1679.463654279424,1679.463654279424,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,4082.811011055804,1049.614645213456,0.0,1049.614645213456,1679.463654279424,1679.463654279424,0.0,0.0,0.0,0.0,0.0,0.0
2021-03,0.0,0.0,0.0,0.0,1679.463654279424,1679.463654279424,0.0,0.0,0.0,0.0,0.0,0.0
2021-04,0.0,0.0,0.0,0.0,1679.463654279424,1679.463654279424,0.0,0.0,0.0,0.0,0.0,0.0
2021-05,6418.734149176667,2351.5246623825883,0.0,2351.5246623825883,1679.463654279424,1679.463654279424,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,6959.009345322045,544.8780200363692,0.0,544.8780200363692,1679.463654279424,1679.463654279424,0.0,0.0,0.0,0.0,0.0,0.0
2021-07,6611.748262843334,-274.54551955844363,0.0,0.0,1679.463654279424,1954.0091738378676,0.0,0.0,0.0,0.0,0.0,0.0
2021-08,6090.185859046302,-609.2181278494982,0.0,0.0,1954.0091738378676,2563.227301687366,0.0,0.0,0.0,0.0,0.0,0.0
2021-09,7568.004174245616,1521.5922468175727,0.0,1521.5922468175727,2563.227301687366,2563.227301687366,0.0,0.0,0.0,0.0,0.0,0.0
2021-10,9352.039582725343,1841.460054334531,0.0,1841.460054334531,2563.227301687366,2563.227301687366,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,0.0,0.0,0.0,0.0,2563.227301687366,2563.227301687366,0.0,0.0,0.0,0.0,0.0,0.0
2021-12,0.0,0.0,0.0,0.0,2563.227301687366,2563.227301687366,0.0,0.0,0.0,0.0,0.0,0.0
