month,sales,realized_gain,taxable_gain,exempt_gain,loss_carry_in,loss_carry_out,tax_due,gross_tax_before_irrf,irrf_withheld_month,irrf_credit_in,irrf_credit_used,irrf_credit_out
2024-06,869.0667582284443,75.65363666257645,0.0,75.65363666257645,331.9975335087678,331.9975335087678,0.0,0.0,0.0,0.0,0.0,0.0
2024-07,879.6391207209185,-9.384406315504634,0.0,0.0,331.9975335087678,341.3819398242724,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,0.0,0.0,0.0,0.0,341.3819398242724,341.3819398242724,0.0,0.0,0.0,0.0,0.0,0.0
2024-09,1170.7427921714952,264.1025543726945,0.0,264.1025543726945,341.3819398242724,341.3819398242724,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,0.0,0.0,0.0,0.0,341.3819398242724,341.3819398242724,0.0,0.0,0.0,0.0,0.0,0.0
2024-11,0.0,0.0,0.0,0.0,341.3819398242724,341.3819398242724,0.0,0.0,0.0,0.0,0.0,0.0
2024-12,0.0,0.0,0.0,0.0,341.3819398242724,341.3819398242724,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,1105.563441540469,-37.474299398252924,0.0,0.0,341.3819398242724,378.85623922252535,0.0,0.0,0.0,0.0,0.0,0.0
2025-02,0.0,0.0,0.0,0.0,378.85623922252535,378.85623922252535,0.0,0.0,0.0,0.0,0.0,0.0
2025-03,0.0,0.0,0.0,0.0,378.85623922252535,378.85623922252535,0.0,0.0,0.0,0.0,0.0,0.0
2025-04,1323.4343374467232,192.26144944322573,0.0,192.26144944322573,378.85623922252535,378.85623922252535,0.0,0.0,0.0,0.0,0.0,0.0
2025-05,1460.5675639588796,143.29541158825737,0.0,143.29541158825737,378.85623922252535,378.85623922252535,0.0,0.0,0.0,0.0,0.0,0.0
2025-06,1466.9659276051943,40.27757852071886,0.0,40.27757852071886,378.85623922252535,378.85623922252535,0.0,0.0,0.0,0.0,0.0,0.0
2025-07,0.0,0.0,0.0,0.0,378.85623922252535,378.85623922252535,0.0,0.0,0.0,0.0,0.0,0.0
2025-08,4817.345520185422,185.02403937850772,0.0,185.02403937850772,378.85623922252535,378.85623922252535,0.0,0.0,0.0,0.0,0.0,0.0
2025-09,1711.2786549656025,30.309881277514478,0.0,30.309881277514478,378.85623922252535,378.85623922252535,0.0,0.0,0.0,0.0,0.0,0.0
2025-10,0.0,0.0,0.0,0.0,378.85623922252535,378.85623922252535,0.0,0.0,0.0,0.0,0.0,0.0
2025-11,1807.2524293074764,91.50182328564097,0.0,91.50182328564097,378.85623922252535,378.85623922252535,0.0,0.0,0.0,0.0,0.0,0.0
2025-12,1904.274114329908,125.17750048174753,0.0,125.17750048174753,378.85623922252535,378.85623922252535,0.0,0.0,0.0,0.0,0.0,0.0
2026-01,1785.567191163883,-153.24872996652607,0.0,0.0,378.85623922252535,532.1049691890514,0.0,0.0,0.0,0.0,0.0,0.0
2026-02,0.0,0.0,0.0,0.0,532.1049691890514,532.1049691890514,0.0,0.0,0.0,0.0,0.0,0.0
2026-03,1871.184067341781,104.54994975891441,0.0,104.54994975891441,532.1049691890514,532.1049691890514,0.0,0.0,0.0,0.0,0.0,0.0
2026-04,1714.871110998076,-134.98431078330287,0.0,0.0,532.1049691890514,667.0892799723542,0.0,0.0,0.0,0.0,0.0,0.0
2026-05,1620.3553524805259,-47.38319916726027,0.0,0.0,667.0892799723542,714.4724791396145,0.0,0.0,0.0,0.0,0.0,0.0
2026-06,1632.2428717967612,-44.29944811899509,0.0,0.0,714.4724791396145,758.7719272586096,0.0,0.0,0.0,0.0,0.0,0.0
2026-07,1464.9068338708257,-188.24719565586793,0.0,0.0,758.7719272586096,947.0191229144775,0.0,0.0,0.0,0.0,0.0,0.0
2026-08,1640.198230232342,181.69049567856086,0.0,181.69049567856086,947.0191229144775,947.0191229144775,0.0,0.0,0.0,0.0,0.0,0.0
