month,sales,realized_gain,taxable_gain,exempt_gain,loss_carry_in,loss_carry_out,tax_due,gross_tax_before_irrf,irrf_withheld_month,irrf_credit_in,irrf_credit_used,irrf_credit_out
2023-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06,944.2714008456442,-20.08176502018489,0.0,0.0,0.0,20.08176502018489,0.0,0.0,0.0,0.0,0.0,0.0
2023-07,0.0,0.0,0.0,0.0,20.08176502018489,20.08176502018489,0.0,0.0,0.0,0.0,0.0,0.0
2023-08,981.4682687242681,20.96197209373986,0.0,20.96197209373986,20.08176502018489,20.08176502018489,0.0,0.0,0.0,0.0,0.0,0.0
2023-09,943.0467773318362,-21.136662541205965,0.0,0.0,20.08176502018489,41.218427561390854,0.0,0.0,0.0,0.0,0.0,0.0
2023-10,781.694622566785,-185.31600413639558,0.0,0.0,41.218427561390854,226.53443169778643,0.0,0.0,0.0,0.0,0.0,0.0
2023-11,0.0,0.0,0.0,0.0,226.53443169778643,226.53443169778643,0.0,0.0,0.0,0.0,0.0,0.0
2023-12,785.486147030116,14.211738503809215,0.0,14.211738503809215,226.53443169778643,226.53443169778643,0.0,0.0,0.0,0.0,0.0,0.0
2024-01,772.9844144211389,-20.58556081370216,0.0,0.0,226.53443169778643,247.1199925114886,0.0,0.0,0.0,0.0,0.0,0.0
2024-02,0.0,0.0,0.0,0.0,247.1199925114886,247.1199925114886,0.0,0.0,0.0,0.0,0.0,0.0
2024-03,850.4378476316765,80.51041067050573,0.0,80.51041067050573,247.1199925114886,247.1199925114886,0.0,0.0,0.0,0.0,0.0,0.0
2024-04,849.6092059126789,56.85912836623629,0.0,56.85912836623629,247.1199925114886,247.1199925114886,0.0,0.0,0.0,0.0,0.0,0.0
2024-05,828.4028038270327,-81.4247525649314,0.0,0.0,247.1199925114886,328.54474507642,0.0,0.0,0.0,0.0,0.0,0.0
