month,sales,realized_gain,taxable_gain,exempt_gain,loss_carry_in,loss_carry_out,tax_due,gross_tax_before_irrf,irrf_withheld_month,irrf_credit_in,irrf_credit_used,irrf_credit_out
2018-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03,999.9293574052726,68.79243457811867,0.0,68.79243457811867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04,698.5327210348105,34.09918181891953,0.0,34.09918181891953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05,1068.6031574703115,-26.292888987647068,0.0,0.0,0.0,26.292888987647068,0.0,0.0,0.0,0.0,0.0,0.0
2018-06,991.4536194676767,-66.3030435986351,0.0,0.0,26.292888987647068,92.59593258628217,0.0,0.0,0.0,0.0,0.0,0.0
2018-07,929.8095650534837,-45.121119811997914,0.0,0.0,92.59593258628217,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2018-08,0.0,0.0,0.0,0.0,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2018-09,0.0,0.0,0.0,0.0,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2018-10,0.0,0.0,0.0,0.0,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2018-11,1183.1726673213338,292.0233913636059,0.0,292.0233913636059,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2018-12,1266.179942631738,93.77433077961996,0.0,93.77433077961996,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2019-01,1454.2399314134777,115.15897516717064,0.0,115.15897516717064,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2019-02,1597.820158864366,153.6642973904884,0.0,153.6642973904884,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2019-03,1677.7002316727883,73.73813235796939,0.0,73.73813235796939,137.7170523982801,137.7170523982801,0.0,0.0,0.0,0.0,0.0,0.0
2019-04,1607.5796643531366,-85.87013969387067,0.0,0.0,137.7170523982801,223.58719209215076,0.0,0.0,0.0,0.0,0.0,0.0
2019-05,0.0,0.0,0.0,0.0,223.58719209215076,223.58719209215076,0.0,0.0,0.0,0.0,0.0,0.0
2019-06,1481.258664708966,-100.90422261239345,0.0,0.0,223.58719209215076,324.49141470454424,0.0,0.0,0.0,0.0,0.0,0.0
2019-07,1494.595351714293,24.28669829568821,0.0,24.28669829568821,324.49141470454424,324.49141470454424,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,0.0,0.0,0.0,0.0,324.49141470454424,324.49141470454424,0.0,0.0,0.0,0.0,0.0,0.0
2019-09,1304.0012740683896,-224.7337722580396,0.0,0.0,324.49141470454424,549.2251869625838,0.0,0.0,0.0,0.0,0.0,0.0
2019-10,0.0,0.0,0.0,0.0,549.2251869625838,549.2251869625838,0.0,0.0,0.0,0.0,0.0,0.0
2019-11,1428.4434212004417,180.60579882186516,0.0,180.60579882186516,549.2251869625838,549.2251869625838,0.0,0.0,0.0,0.0,0.0,0.0
2019-12,1814.7601685117077,331.13738928483076,0.0,331.13738928483076,549.2251869625838,549.2251869625838,0.0,0.0,0.0,0.0,0.0,0.0
2020-01,2042.7487580367033,305.9794040787849,0.0,305.9794040787849,549.2251869625838,549.2251869625838,0.0,0.0,0.0,0.0,0.0,0.0
2020-02,2372.6625434260477,353.1661662417898,0.0,353.1661662417898,549.2251869625838,549.2251869625838,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,3634.362196070356,-912.8158881632944,0.0,0.0,549.2251869625838,1462.0410751258783,0.0,0.0,0.0,0.0,0.0,0.0
2020-04,0.0,0.0,0.0,0.0,1462.0410751258783,1462.0410751258783,0.0,0.0,0.0,0.0,0.0,0.0
2020-05,0.0,0.0,0.0,0.0,1462.0410751258783,1462.0410751258783,0.0,0.0,0.0,0.0,0.0,0.0
2020-06,0.0,0.0,0.0,0.0,1462.0410751258783,1462.0410751258783,0.0,0.0,0.0,0.0,0.0,0.0
2020-07,0.0,0.0,0.0,0.0,1462.0410751258783,1462.0410751258783,0.0,0.0,0.0,0.0,0.0,0.0
2020-08,3162.214585223304,1602.4047532937627,0.0,1602.4047532937627,1462.0410751258783,1462.0410751258783,0.0,0.0,0.0,0.0,0.0,0.0
2020-09,2812.341485456208,-241.47666626572845,0.0,0.0,1462.0410751258783,1703.5177413916067,0.0,0.0,0.0,0.0,0.0,0.0
2020-10,2894.866620650452,-2.970683491435466,0.0,0.0,1703.5177413916067,1706.4884248830422,0.0,0.0,0.0,0.0,0.0,0.0
2020-11,3234.560446404199,372.09933663962886,0.0,372.09933663962886,1706.4884248830422,1706.4884248830422,0.0,0.0,0.0,0.0,0.0,0.0
2020-12,0.0,0.0,0.0,0.0,1706.4884248830422,1706.4884248830422,0.0,0.0,0.0,0.0,0.0,0.0
2021-01,0.0,0.0,0.0,0.0,1706.4884248830422,1706.4884248830422,0.0,0.0,0.0,0.0,0.0,0.0
2021-02,4431.958890335348,1136.754046091417,0.0,1136.754046091417,1706.4884248830422,1706.4884248830422,0.0,0.0,0.0,0.0,0.0,0.0
2021-03,0.0,0.0,0.0,0.0,1706.4884248830422,1706.4884248830422,0.0,0.0,0.0,0.0,0.0,0.0
2021-04,0.0,0.0,0.0,0.0,1706.4884248830422,1706.4884248830422,0.0,0.0,0.0,0.0,0.0,0.0
2021-05,6959.360704627739,2551.835696629272,0.0,2551.835696629272,1706.4884248830422,1706.4884248830422,0.0,0.0,0.0,0.0,0.0,0.0
2021-06,7558.379437125584,586.475759896096,0.0,586.475759896096,1706.4884248830422,1706.4884248830422,0.0,0.0,0.0,0.0,0.0,0.0
2021-07,7182.969454845535,-297.6686044836515,0.0,0.0,1706.4884248830422,2004.1570293666937,0.0,0.0,0.0,0.0,0.0,0.0
2021-08,6607.292179055422,-664.3654250321592,0.0,0.0,2004.1570293666937,2668.522454398853,0.0,0.0,0.0,0.0,0.0,0.0
2021-09,8204.520509344453,1644.178890262855,0.0,1644.178890262855,2668.522454398853,2668.522454398853,0.0,0.0,0.0,0.0,0.0,0.0
2021-10,10145.86840819562,1998.4891474951946,0.0,1998.4891474951946,2668.522454398853,2668.522454398853,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,0.0,0.0,0.0,0.0,2668.522454398853,2668.522454398853,0.0,0.0,0.0,0.0,0.0,0.0
2021-12,0.0,0.0,0.0,0.0,2668.522454398853,2668.522454398853,0.0,0.0,0.0,0.0,0.0,0.0
