date,side,ticker,shares,market_type,raw_open,execution_price,notional,fee,slippage_bps,realized_gain
2023-01-02,BUY,VALE3,11,020,88.88,88.96948421319983,978.6643263451982,0.3131725844304634,10.0679807830603,0.0
2023-01-09,SELL,VALE3,11,020,91.31,91.21803720870426,1003.3984092957469,0.321087490974639,10.071491763852846,24.09982287514356
2023-01-09,BUY,GGBR4,33,020,30.1,30.132229623303523,994.3635775690162,0.3181963448220852,10.707516047680906,0.0
2023-01-16,SELL,GGBR4,33,020,32.04,32.00559798030286,1056.1847333499943,0.3379791146719982,10.737209643302043,61.164980321483995
2023-01-16,BUY,VALE3,11,020,92.47,92.5631622804274,1018.1947850847015,0.3258223312271045,10.074865407961424,0.0
2023-01-23,SELL,VALE3,11,020,94.16,94.06511073125193,1034.7162180437713,0.33110918977400683,10.077449952003242,15.864501438068714
2023-01-23,BUY,CSNA3,61,020,17.82,17.84005854766788,1088.2435714077408,0.34823794285047704,11.256199589158411,0.0
2023-02-13,SELL,CSNA3,61,020,16.99,16.97069715683611,1035.2125265670027,0.33126800850144084,11.361296741546271,-53.71055079209009
2023-02-13,BUY,BBSE3,28,020,36.05,36.087131461969804,1010.4396809351545,0.3233406978992494,10.299989450707805,0.0
2023-02-22,SELL,BBSE3,28,020,35.54,35.50358530137519,994.1003884385053,0.31811212430032176,10.246116664269078,-16.980745318848562
2023-02-22,BUY,CSNA3,58,020,17.4,17.419900996872727,1010.3542578186182,0.3233133625019578,11.437354524557398,0.0
2023-02-24,SELL,CSNA3,58,020,17.38,17.35994430714005,1006.8767698141229,0.32220056634051936,11.539524085125358,-4.123001933337719
2023-02-27,BUY,NTCO3,68,020,14.9,14.917385118034144,1014.3821880263217,0.32460230016842295,11.667864452445244,0.0
2023-03-15,SELL,NTCO3,68,020,12.0,11.986284035945493,815.0673144442935,0.26082154062217394,11.429970045422086,-199.90029742281877
2023-03-20,BUY,MGLU3,100,010,3.85,3.85385017471926,385.385017471926,0.12332320559101634,10.00045381625792,0.0
2023-03-20,BUY,MGLU3,15,020,3.8,3.803827222268491,57.057408334027365,0.01825837066688876,10.071637548661267,0.0
2023-03-27,BUY,MGLU3,16,020,3.25,3.253273137573819,52.052370201181105,0.016656758464377957,10.071192534828562,0.0
2023-04-03,BUY,MGLU3,99,020,3.31,3.3134649863016334,328.0330336438617,0.10497057076603576,10.468236560826595,0.0
2023-04-10,BUY,MGLU3,1,020,3.38,3.383381713912443,3.383381713912443,0.0010826821484519818,10.005070746872843,0.0
2023-04-24,SELL,MGLU3,200,010,3.3,3.2966997215019833,659.3399443003966,0.2109887821761269,10.00084393338266,-56.17451024155923
2023-04-24,SELL,MGLU3,31,020,3.33,3.3266152223987415,103.12507189436099,0.03300002300619552,10.164497301076224,-7.779965321411055
2023-04-24,BUY,CCRO3,58,020,12.88,12.897050803312382,748.0289465921181,0.2393692629094778,13.238201329489192,0.0
2023-05-02,BUY,CCRO3,1,020,13.6,13.613675769270397,13.613675769270397,0.004356376246166528,10.05571269882116,0.0
2023-05-05,SELL,CCRO3,59,020,13.37,13.352443462987166,787.7941643162428,0.2520941325811977,13.131291707428709,25.65572218311752
2023-05-08,BUY,CCRO3,56,020,13.87,13.888167892633557,777.7374019874792,0.24887596863599337,13.098696923978794,0.0
2023-05-09,SELL,CCRO3,56,020,13.7,13.68214966582229,766.2003812860482,0.24518412201153547,13.029441005626573,-12.031080792078455
2023-05-11,BUY,CCRO3,55,020,13.66,13.677719438687864,752.2745691278326,0.24072786212090647,12.97177063533272,0.0
2023-05-12,SELL,CCRO3,55,020,13.72,13.702107315877813,753.6159023732797,0.24115708875944952,13.041314957863662,0.8594482945667323
2023-05-15,BUY,RADL3,27,020,28.0,28.03158047261386,756.8526727605743,0.24219285528338377,11.278740219235749,0.0
2023-05-22,SELL,RADL3,28,020,27.69,27.65907042234326,774.4539718256112,0.2478252709841956,11.16994498257214,17.11128093876937
2023-05-22,BUY,AZUL4,55,020,14.31,14.325532954170603,787.9043124793832,0.2521293799934027,10.854615073796985,0.0
2023-06-19,SELL,AZUL4,55,020,20.73,20.70801430109364,1138.9407865601502,0.3644610516992481,10.60573994518032,350.41988364907434
2023-06-19,BUY,HAPV3,200,010,4.4,4.404400449161253,880.8800898322506,0.2818816287463202,10.001020821029265,0.0
2023-06-19,BUY,HAPV3,59,020,4.36,4.364821107174517,257.5244453232965,0.08240782250345488,11.057585262652147,0.0
2023-06-26,BUY,HAPV3,1,020,4.32,4.324327857702128,4.324327857702128,0.001383784914464681,10.018189125295448,0.0
2023-07-03,SELL,HAPV3,200,010,4.4,4.395599479554895,879.119895910979,0.2813183666915133,10.001182829783819,-0.4649118783382846
2023-07-03,SELL,HAPV3,60,020,4.38,4.375130862051327,262.5078517230796,0.08400251255138548,11.116753307473356,-1.3671976162594888
2023-07-03,BUY,RDOR3,34,020,32.99,33.027279468782666,1122.9275019386107,0.35933680062035545,11.300233035061503,0.0
2023-07-10,SELL,RDOR3,34,020,31.35,31.314470812417234,1064.6920076221859,0.3407014424390995,11.33307418908046,-58.93553255948427
2023-07-10,BUY,BRFS3,100,010,10.09,10.100094003311343,1010.0094003311343,0.323203008105963,10.003967602917053,0.0
2023-07-10,BUY,BRFS3,7,020,10.08,10.090246096258172,70.6317226738072,0.022602151255618305,10.164778033899886,0.0
2023-08-08,SELL,BRFS3,100,010,10.0,9.989997501189858,998.9997501189858,0.3196799200380755,10.002498810141574,-11.588086963952264
2023-08-08,SELL,BRFS3,7,020,10.08,10.069772368596562,70.48840658017593,0.0225562901056563,10.146459725633484,-0.2529207113327203
2023-08-14,BUY,BBSE3,32,020,32.6,32.63321609145571,1044.2629149265827,0.3341641327765065,10.1889851091109,0.0
2023-08-18,SELL,BBSE3,32,020,29.7,29.66983310987766,949.4346595160852,0.30381909104514726,10.157202061393807,-95.46623863431921
2023-08-21,BUY,PRIO3,21,020,45.17,45.216556680475335,949.547690289982,0.3038552608927943,10.306991471183899,0.0
2023-08-25,SELL,PRIO3,21,020,46.54,46.49192037701487,976.3303279173123,0.31242570493353994,10.330817143344731,26.166356661503983
2023-08-28,BUY,PETR4,31,020,32.12,32.15249056039835,996.7272073723489,0.3189527063591517,10.115367496372416,0.0
2023-09-04,SELL,PETR4,31,020,32.7,32.66687288250085,1012.6730593575263,0.3240553789944084,10.130616972217686,15.302843899823756
2023-09-04,BUY,PRIO3,21,020,46.88,46.92858544397156,985.5002943234028,0.3153600941834889,10.363789243078667,0.0
2023-09-05,SELL,PRIO3,21,020,46.39,46.34192921865203,973.1805135916926,0.31141776434934165,10.362315444703329,-12.946558590243058
2023-09-06,BUY,PRIO3,20,020,47.49,47.53911802708865,950.782360541773,0.30425035537336736,10.3428147164964,0.0
2023-09-11,BUY,PRIO3,1,020,47.48,47.52756294681544,47.52756294681544,0.015208820142980943,10.01746984318544,0.0
2023-09-20,SELL,PRIO3,21,020,48.5,48.44962217202466,1017.4420656125179,0.32558146099600577,10.387181025844281,18.48710148741725
2023-09-22,BUY,PRIO3,21,020,47.0,47.048725302141044,988.0232313449619,0.31616743403038783,10.367085561923602,0.0
2023-09-26,SELL,PRIO3,21,020,47.02,46.971266389553634,986.3965941806263,0.31564691013780044,10.36444288523495,-2.2584515085038674
2023-09-28,BUY,PRIO3,20,020,48.3,48.35002687924275,967.000537584855,0.3094401720271536,10.357531934317487,0.0
2023-10-02,SELL,PRIO3,20,020,47.1,47.051299237807996,941.0259847561599,0.3011283151219712,10.339864584290094,-26.58512131584439
2023-10-02,BUY,PETR4,28,020,34.57,34.605030667175996,968.9408586809279,0.31006107477789696,10.133256342493084,0.0
2023-10-09,SELL,PETR4,28,020,34.01,33.97555606664636,951.3155698660981,0.3044209823571514,10.127589930501662,-18.23977087196488
2023-10-09,BUY,SUZB3,16,020,56.21,56.26918439514363,900.3069503222981,0.2880982241031354,10.529157648750614,0.0
2023-10-16,BUY,SUZB3,1,020,58.38,58.43857374314566,58.43857374314566,0.018700343597806614,10.033186561435631,0.0
2023-10-23,SELL,SUZB3,17,020,54.4,54.34246823490568,923.8219599933966,0.29562302719788697,10.575692112925797,-35.525985666945985
2023-10-23,BUY,PETR4,24,020,36.9,36.9372805207219,886.4947324973256,0.2836783143991442,10.10312214685678,0.0
2023-10-24,SELL,PETR4,24,020,35.6,35.56406506124969,853.5375614699926,0.2731320196703977,10.094083918626925,-33.51398136140244
2023-10-30,BUY,JBSS3,45,020,19.95,19.972948504423698,898.7826826990664,0.28761045846370126,11.503009736188183,0.0
2023-11-01,SELL,JBSS3,45,020,20.1,20.076972156119748,903.4637470253887,0.28910839904812435,11.456638746393859,4.104345468810266
2023-11-06,BUY,PRIO3,18,020,48.23,48.27956196908994,869.032115443619,0.2780902769419581,10.276170244650098,0.0
2023-11-09,SELL,PRIO3,18,020,45.48,45.43333325960485,817.7999986728873,0.26169599957532397,10.260936762345708,-51.77190304724877
2023-11-13,BUY,VBBR3,39,020,21.37,21.39401264881917,834.3664933039477,0.2669972778572633,11.236616199892113,0.0
2023-11-20,SELL,VBBR3,39,020,21.6,21.57581996202266,841.4569785188837,0.2692662331260428,11.194462026547047,6.554221703952749
2023-11-20,BUY,ELET3,21,020,40.75,40.79382705711957,856.670368199511,0.27413451782384357,10.755106041612837,0.0
2023-11-27,SELL,ELET3,21,020,40.49,40.44672848574202,849.3812982005825,0.2718020154241864,10.686963264504307,-7.835006532176635
2023-11-27,BUY,BRFS3,60,020,14.04,14.05645190758605,843.387114455163,0.2698838766256522,11.717882896046385,0.0
2023-12-07,SELL,BRFS3,60,020,13.88,13.863772396346846,831.8263437808107,0.2661844300098594,11.691357098813706,-12.09683898098774
2023-12-08,BUY,BRFS3,61,020,13.7,13.716122533201325,836.6834745252809,0.2677387118480899,11.768272409725995,0.0
2023-12-12,SELL,BRFS3,61,020,13.82,13.803623895855885,842.021057647209,0.26944673844710687,11.84956884523419,4.800397671632936
2023-12-13,BUY,BRFS3,61,020,13.72,13.736253770395216,837.9114799941082,0.26813167359811463,11.846771425083947,0.0
2023-12-14,SELL,BRFS3,61,020,14.05,14.033156679589043,856.0225574549316,0.27392721838557815,11.988128406376351,17.56901856883985
2023-12-15,BUY,BRFS3,62,020,13.81,13.826699813739351,857.2553884518397,0.27432172430458873,12.092551585336212,0.0
2023-12-26,SELL,BRFS3,62,020,13.95,13.932913400855137,863.8406308530185,0.27642900187296593,12.248458168359962,6.0344916750011635
2023-12-26,BUY,CSNA3,44,020,19.11,19.131229628747427,841.7741036648868,0.2693677131727638,11.109172552289701,0.0
2024-01-02,BUY,CSNA3,1,020,19.66,19.679711425122353,19.679711425122353,0.006297507656039153,10.02615723415737,0.0
2024-01-10,SELL,CSNA3,45,020,18.3,18.279580280147492,822.5811126066371,0.2632259560341239,11.158316859294292,-39.41159366023487
2024-01-15,BUY,CIEL3,100,010,4.73,4.734730956385144,473.47309563851445,0.15151139060432464,10.00202195590708,0.0
2024-01-15,BUY,CIEL3,74,020,4.75,4.755389222969498,351.8988024997428,0.11260761679991772,11.34573256736405,0.0
2024-01-17,SELL,CIEL3,100,010,4.61,4.605389080534606,460.5389080534606,0.1473724505771074,10.001994501939514,-14.111922526807007
2024-01-17,SELL,CIEL3,74,020,4.61,4.604781066106023,340.7537988918457,0.10904121564539061,11.320897817739272,-10.48780133977067
2024-01-22,BUY,MGLU3,300,010,2.05,2.0520502031892485,615.6150609567745,0.19699681950616788,10.000991167067054,0.0
2024-01-22,BUY,MGLU3,95,020,2.03,2.0321171668397007,193.05113084977157,0.06177636187192691,10.42939329901932,0.0
2024-01-23,SELL,MGLU3,300,010,1.97,1.9680298098939037,590.4089429681711,0.18893086174981477,10.000965005564,-24.15337902364763
2024-01-23,SELL,MGLU3,95,020,1.98,1.977935520856175,187.90387448133663,0.06012923983402772,10.426662342550056,-6.707828616352572
2024-01-25,BUY,MGLU3,400,010,1.94,1.9419402435622612,776.7760974249045,0.24856835117596948,10.001255475573895,0.0
2024-01-25,BUY,MGLU3,1,020,1.95,1.9519508733027122,1.9519508733027122,0.000624624279456868,10.004478475447952,0.0
2024-02-14,SELL,MGLU3,400,010,2.06,2.057939737882452,823.1758951529808,0.26341628644895393,10.00127241527928,45.87782422946191
2024-02-14,SELL,MGLU3,1,020,2.08,2.077918916244478,2.077918916244478,0.000664934053198233,10.005210363086531,0.13466734559860472
2024-02-14,BUY,CIEL3,100,010,5.22,5.225220646081862,522.5220646081862,0.16720706067461957,10.001237704716626,0.0
2024-02-14,BUY,CIEL3,57,020,5.24,5.2457029839596565,299.0050700857004,0.09568162242742415,10.883557174917343,0.0
2024-02-15,SELL,CIEL3,100,010,5.29,5.284709345286263,528.4709345286263,0.16911069904916043,10.001237644115378,4.868687920667185
2024-02-15,SELL,CIEL3,57,020,5.26,5.254278219134322,299.49385849065635,0.09583803471701004,10.877910391022874,1.0411329878606352
2024-02-16,BUY,CIEL3,100,010,5.27,5.275270646725601,527.5270646725601,0.16880866069521924,10.001227183304783,0.0
2024-02-16,BUY,CIEL3,56,020,5.25,5.255697947401833,294.31908505450264,0.09418210721744086,10.85323314634903,0.0
2024-02-19,SELL,CIEL3,100,010,5.26,5.254739372973771,525.4739372973771,0.16815165993516068,10.001192065074491,-1.6872531413882825
2024-02-19,SELL,CIEL3,56,020,5.28,5.27426771172754,295.35899185674225,0.09451487739415752,10.85660657662886,0.14837526320314964
2024-02-19,BUY,CSNA3,43,020,19.03,19.052005991506448,819.2362576347773,0.26215560244312874,11.563842094822261,0.0
2024-02-21,SELL,CSNA3,43,020,17.95,17.929546659170995,770.9705063443528,0.2467105620301929,11.394618846242533,-48.77461745489791
2024-02-26,BUY,CIEL3,100,010,5.33,5.335330636490566,533.5330636490565,0.1707305803676981,10.001194166164993,0.0
2024-02-26,BUY,CIEL3,44,020,5.33,5.33569448106837,234.7705571670083,0.07512657829344266,10.683829396567269,0.0
2024-03-04,BUY,CIEL3,2,020,5.39,5.395408025580775,10.79081605116155,0.003453061136371696,10.033442635945836,0.0
2024-03-12,SELL,CIEL3,100,010,5.37,5.364628786107786,536.4628786107786,0.17166812115544916,10.002260506917606,2.4941234437163757
2024-03-12,SELL,CIEL3,46,020,5.32,5.3140906911468475,244.44817179275498,0.0782234149736816,11.107723408182293,-1.1767116633358228
2024-03-14,BUY,CIEL3,100,010,5.33,5.3353313220369705,533.533132203697,0.17073060230518305,10.00248036955146,0.0
2024-03-14,BUY,CIEL3,44,020,5.35,5.355963544248338,235.66239594692686,0.0754119667030166,11.146811679135986,0.0
2024-03-18,SELL,CIEL3,100,010,5.17,5.1648286875804645,516.4828687580465,0.1652745180025749,10.002538529082447,-18.016899315256182
2024-03-18,SELL,CIEL3,44,020,5.17,5.164233515077564,227.22627466341282,0.07271240789229211,11.153742596587993,-7.953614908811517
2024-03-18,BUY,EMBR3,25,020,29.51,29.542075166158888,738.5518791539722,0.23633660132927112,10.869253188372387,0.0
2024-04-17,SELL,EMBR3,25,020,32.0,31.965495594552717,799.1373898638179,0.2557239647564218,10.7826267022763,60.09345014376004
2024-04-19,BUY,EMBR3,25,020,31.71,31.74444561825114,793.6111404562786,0.2539555649460091,10.862698912373961,0.0
2024-04-24,SELL,EMBR3,25,020,31.18,31.145665966672404,778.6416491668101,0.24916532773337927,11.011556551505688,-15.472612182147827
2024-04-25,BUY,EMBR3,25,020,31.31,31.344638272120548,783.6159568030137,0.2507571061769644,11.063006106849558,0.0
2024-05-02,SELL,EMBR3,25,020,33.0,32.96312421059832,824.0781052649581,0.2637049936847866,11.1744816368707,39.94768636208278
2024-05-06,BUY,RRRP3,25,020,33.27,33.305076582165455,832.6269145541364,0.26644061265732366,10.543006361723478,0.0
2024-05-10,SELL,RRRP3,25,020,30.98,30.94737942675367,773.6844856688417,0.2475790354140294,10.529558827091511,-59.45644853336603
2024-05-13,BUY,BRFS3,42,020,18.0,18.020330023768693,756.8538609982851,0.2421932355194512,11.29445764927275,0.0
2024-05-14,SELL,BRFS3,42,020,17.91,17.889787726945904,751.371084531728,0.24043874705015297,11.28546792523493,-5.9654084491266985
