date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2014-01-06,VALE3,VALE3,34.9190598133978,34.9190598133978,32.15,33.095,33.095,21149500,34.9190598133978,34.9190598133978,32.15,33.095,1.0,34.9190598133978,32.15,0,21149500,54559,701977251.0,1,02,010,BRVALEACNOR0,187,ON      N1,VALE
2014-01-13,VALE3,VALE3,34.007029906698904,34.007029906698904,31.73,32.410000000000004,32.410000000000004,21603700,34.007029906698904,34.007029906698904,31.73,32.410000000000004,1.0,34.007029906698904,31.73,0,21603700,49059,698990334.0,1,02,010,BRVALEACNOR0,187,ON      N1,VALE
2014-01-20,VALE3,VALE3,33.20851495334945,33.20851495334945,30.75,31.65,31.65,28942600,33.20851495334945,33.20851495334945,30.75,31.65,1.0,33.20851495334945,30.75,0,28942600,70302,907725908.0,1,02,010,BRVALEACNOR0,187,ON      N1,VALE
2014-01-27,VALE3,VALE3,32.42925747667472,33.57,30.7,32.165,32.165,28476300,32.42925747667472,33.57,30.7,32.165,1.0,33.57,30.7,0,28476300,73916,920420257.0,1,02,010,BRVALEACNOR0,187,ON      N1,VALE
2014-02-03,VALE3,VALE3,32.29712873833736,34.78,31.97,33.442499999999995,33.442499999999995,25053700,32.29712873833736,34.78,31.97,33.442499999999995,1.0,34.78,31.97,0,25053700,71395,838536996.0,1,02,010,BRVALEACNOR0,187,ON      N1,VALE
2014-02-10,VALE3,VALE3,32.86981436916868,34.95,32.86981436916868,34.3225,34.3225,26664300,32.86981436916868,34.95,32.86981436916868,34.3225,1.0,34.95,32.86981436916868,0,26664300,95843,915163677.0,1,02,010,BRVALEACNOR0,187,ON      N1,VALE
2014-02-17,VALE3,VALE3,33.59615718458434,35.19,33.59615718458434,34.7825,34.7825,24076500,33.59615718458434,35.19,33.59615718458434,34.7825,1.0,35.19,33.59615718458434,0,24076500,66034,837080157.0,1,02,010,BRVALEACNOR0,187,ON      N1,VALE
2014-02-24,VALE3,VALE3,34.18932859229217,34.57,32.18,33.58,33.58,23620200,34.18932859229217,34.57,32.18,33.58,1.0,34.57,32.18,0,23620200,78713,780851878.0,1,02,010,BRVALEACNOR0,187,ON      N1,VALE
2014-03-05,VALE3,VALE3,33.884664296146084,33.884664296146084,30.44,31.52,31.52,14224400,33.884664296146084,33.884664296146084,30.44,31.52,1.0,33.884664296146084,30.44,0,14224400,32924,448299833.0,1,02,010,BRVALEACNOR0,187,ON      N1,VALE
2014-03-10,VALE3,VALE3,32.70233214807304,32.70233214807304,29.08,29.727500000000003,29.727500000000003,28730900,32.70233214807304,32.70233214807304,29.08,29.727500000000003,1.0,32.70233214807304,29.08,0,28730900,72145,854805097.0,1,02,010,BRVALEACNOR0,187,ON      N1,VALE
