date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired
2017-07-31,IRBR3,IRBR3.SA,190.13013142322848,201.56754583698503,188.85182775481078,191.7448272705078,191.7448272705078,2481740,216.68617248535156,229.72108459472656,215.2293243408203,218.52639770507812,0.8774446899055438,229.72108459472656,215.2293243408203,0
2017-08-07,IRBR3,IRBR3.SA,194.4359854363648,195.7815675913939,183.73864680067825,191.07203674316406,191.07203674316406,808883,221.5934295654297,223.126953125,209.40196228027344,217.75962829589844,0.8774447230573408,223.126953125,209.40196228027344,0
2017-08-14,IRBR3,IRBR3.SA,192.08121944936946,192.35033319245878,187.77537278245353,191.7448272705078,191.7448272705078,831549,218.90977478027344,219.2164764404297,214.0025177001953,218.52639770507812,0.8774446899055438,219.2164764404297,214.0025177001953,0
2017-08-21,IRBR3,IRBR3.SA,191.8121166044701,200.4910888671875,186.5643581498362,200.4910888671875,200.4910888671875,1068272,218.6030731201172,228.4942626953125,212.62234497070312,228.4942626953125,0.8774447397593258,228.4942626953125,212.62234497070312,0
2017-08-28,IRBR3,IRBR3.SA,200.89478460206857,207.01716353629038,198.47274708532896,200.2220001220703,200.2220001220703,530073,228.95431518554688,235.93182373046875,226.19398498535156,228.18756103515625,0.8774448493764418,235.93182373046875,226.19398498535156,0
2017-09-04,IRBR3,IRBR3.SA,200.491111478526,213.87961618907048,199.81832700670066,211.92852783203125,211.92852783203125,680785,228.4942626953125,243.75277709960938,227.72750854492188,241.5291748046875,0.87744483871734,243.75277709960938,227.72750854492188,0
2017-09-11,IRBR3,IRBR3.SA,211.92853199655775,215.09063246501984,208.56458279383588,213.54322814941406,213.54322814941406,451181,241.5291748046875,245.1329345703125,237.69537353515625,243.36940002441406,0.8774448559596731,245.1329345703125,237.69537353515625,0
2017-09-18,IRBR3,IRBR3.SA,213.94687744685763,215.9652440889153,209.17006791444956,214.55238342285156,214.55238342285156,404608,243.82945251464844,246.12973022460938,238.3854522705078,244.51953125,0.877444768219723,246.12973022460938,238.3854522705078,0
2017-09-25,IRBR3,IRBR3.SA,214.75419654005373,215.8979433207321,199.68373341923512,203.5186309814453,203.5186309814453,448692,244.7495574951172,246.0530548095703,227.57415771484375,231.94468688964844,0.8774446774815441,246.0530548095703,227.57415771484375,0
2017-10-02,IRBR3,IRBR3.SA,204.2587194806299,209.17007261829477,200.49109987889625,201.5002899169922,201.5002899169922,719389,232.78811645507812,238.3854522705078,228.4942626953125,229.6444091796875,0.8774447879518213,238.3854522705078,228.4942626953125,0
2017-10-09,IRBR3,IRBR3.SA,202.17307086786516,213.07224543686434,202.17307086786516,211.0538787841797,211.0538787841797,398768,230.41116333007812,242.83265686035156,230.41116333007812,240.53237915039062,0.8774447728395861,242.83265686035156,230.41116333007812,0
2017-10-16,IRBR3,IRBR3.SA,211.9285156960433,225.9225122411252,211.39028814940437,223.50048828125,223.50048828125,555438,241.5291748046875,257.4777526855469,240.915771484375,254.71743774414062,0.877444788470872,257.4777526855469,240.915771484375,0
2017-10-23,IRBR3,IRBR3.SA,225.51885697752286,226.12437639757596,217.10899743216103,223.029541015625,223.029541015625,355403,257.0177001953125,257.7077941894531,247.43321228027344,254.18069458007812,0.8774448483748275,257.7077941894531,247.43321228027344,0
2017-10-30,IRBR3,IRBR3.SA,222.89496646228648,227.6044842213073,219.93470159943632,225.24972534179688,225.24972534179688,685259,254.02734375,259.3946533203125,250.6536102294922,256.71099853515625,0.8774447788646236,259.3946533203125,250.6536102294922,0
2017-11-06,IRBR3,IRBR3.SA,231.77214320711283,234.09943206442142,228.96569302206245,231.087646484375,231.087646484375,769208,259.62469482421875,262.2316589355469,256.4809875488281,258.8579406738281,0.8927199447033968,262.2316589355469,256.4809875488281,0
2017-11-13,IRBR3,IRBR3.SA,231.01917274652146,232.79889138883416,226.2961183294964,230.6084747314453,230.6084747314453,567673,258.78125,260.77484130859375,253.49061584472656,258.3211975097656,0.8927199043459348,260.77484130859375,253.49061584472656,0
2017-11-20,IRBR3,IRBR3.SA,231.01916766000215,235.39997363467498,228.96567762983466,232.7304229736328,232.7304229736328,202331,258.78125,263.6885070800781,256.4809875488281,260.6981506347656,0.8927198846902631,263.6885070800781,256.4809875488281,0
2017-11-27,IRBR3,IRBR3.SA,233.4833753821332,237.86418121500193,229.37636821109078,234.71546936035156,234.71546936035156,463636,261.5415954589844,266.4488525390625,256.9410400390625,262.9217529296875,0.8927198557934494,266.4488525390625,256.9410400390625,0
2017-12-04,IRBR3,IRBR3.SA,235.46844467728587,237.5219347750673,228.2811748477515,230.74537658691406,230.74537658691406,289345,263.76519775390625,266.0654602050781,255.71421813964844,258.47454833984375,0.8927199140842632,266.0654602050781,255.71421813964844,0
2017-12-11,IRBR3,IRBR3.SA,229.65019888575122,235.26309947926677,226.0223388671875,226.0223388671875,226.0223388671875,777190,257.24774169921875,263.53515625,253.1839141845703,253.1839141845703,0.8927199802370458,263.53515625,253.1839141845703,0
2017-12-18,IRBR3,IRBR3.SA,227.39132703143184,230.5400390625,219.58801024487795,230.5400390625,230.5400390625,596078,254.71743774414062,258.2445373535156,245.97637939453125,258.2445373535156,0.8927199058112488,258.2445373535156,245.97637939453125,0
2017-12-25,IRBR3,IRBR3.SA,230.60846965396865,233.6887183210443,226.56991201765706,232.7304229736328,232.7304229736328,218424,258.3211975097656,261.7716064453125,253.7973175048828,260.6981506347656,0.8927198846902631,261.7716064453125,253.7973175048828,0
2018-01-01,IRBR3,IRBR3.SA,228.96569019815337,236.76900722842495,228.96569019815337,235.74224853515625,235.74224853515625,365576,256.4809875488281,265.2220458984375,256.4809875488281,264.0718994140625,0.8927199336931886,265.2220458984375,256.4809875488281,0
2018-01-08,IRBR3,IRBR3.SA,235.87914731629704,255.25052688116102,233.62029454267528,253.19703674316406,253.19703674316406,778468,264.2252502441406,285.9245300292969,261.6949462890625,283.624267578125,0.8927199315672815,285.9245300292969,261.6949462890625,0
2018-01-15,IRBR3,IRBR3.SA,256.0034915561,260.7949958758008,255.72969286603998,256.68798828125,256.68798828125,610737,286.7679748535156,292.1352844238281,286.4612731933594,287.53472900390625,0.8927199478493703,292.1352844238281,286.4612731933594,0
2018-01-22,IRBR3,IRBR3.SA,256.6880055567752,268.2560690994869,256.0035087855574,260.7950134277344,260.7950134277344,612928,287.53472900390625,300.4929504394531,286.7679748535156,292.1352844238281,0.8927200079308959,300.4929504394531,286.7679748535156,0
2018-01-29,IRBR3,IRBR3.SA,260.1104859959561,264.2174933828012,249.91141719789658,260.0420227050781,260.0420227050781,912108,291.3685302734375,295.9690856933594,279.9438171386719,291.2918395996094,0.8927199027014104,295.9690856933594,279.9438171386719,0
2018-02-05,IRBR3,IRBR3.SA,260.0420304014798,272.2261535845192,256.55108355461806,258.0569763183594,258.0569763183594,793206,291.2918395996094,304.9401550292969,287.3813781738281,289.0682373046875,0.8927199291230283,304.9401550292969,287.3813781738281,0
2018-02-12,IRBR3,IRBR3.SA,258.39924818965613,270.37800919629825,258.39924818965613,264.9020080566406,264.9020080566406,340104,289.4516296386719,302.8699035644531,289.4516296386719,296.73583984375,0.8927199633051677,302.8699035644531,289.4516296386719,0
2018-02-19,IRBR3,IRBR3.SA,266.20255019786975,270.3095576277701,261.47948211820693,266.4763488769531,266.4763488769531,793479,298.19268798828125,302.7932434082031,292.90203857421875,298.4993896484375,0.8927199120601217,302.7932434082031,292.90203857421875,0
2018-02-26,IRBR3,IRBR3.SA,268.9405161118322,269.6934760426868,261.7532604783394,266.2709655761719,266.2709655761719,316016,301.25970458984375,302.1031494140625,293.208740234375,298.26934814453125,0.8927198427615364,302.1031494140625,293.208740234375,0
2018-03-05,IRBR3,IRBR3.SA,266.6816623637222,291.59753081968967,262.91691721367334,289.2017517089844,289.2017517089844,743673,298.7294006347656,326.63946533203125,294.5122375488281,323.9557800292969,0.8927198387472218,326.63946533203125,294.5122375488281,0
