date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired
2000-12-11,TUPY3,TUPY3.SA,1.9188950146840182,2.307068347930908,1.9188950146840182,2.307068347930908,2.307068347930908,400,3.930000066757202,4.724999904632568,3.930000066757202,4.724999904632568,0.48826844327953767,4.724999904632568,3.930000066757202,0
2000-12-18,TUPY3,TUPY3.SA,2.441343307495117,2.441343307495117,2.441343307495117,2.441343307495117,2.441343307495117,800,5.0,5.0,5.0,5.0,0.4882686614990234,5.0,5.0,0
2001-01-15,TUPY3,TUPY3.SA,2.587822914123535,2.587822914123535,2.587822914123535,2.587822914123535,2.587822914123535,200,5.300000190734863,5.300000190734863,5.300000190734863,5.300000190734863,0.4882684567912675,5.300000190734863,5.300000190734863,0
2001-01-29,TUPY3,TUPY3.SA,4.394415835116772,5.737154006958008,3.6620131959306432,5.737154006958008,5.737154006958008,600,9.0,11.75,7.5,11.75,0.4882684261240858,11.75,7.5,0
2001-06-11,TUPY3,TUPY3.SA,5.688327789306641,5.688327789306641,5.688327789306641,5.688327789306641,5.688327789306641,200,11.649999618530273,11.649999618530273,11.649999618530273,11.649999618530273,0.4882684957567631,11.649999618530273,11.649999618530273,0
2001-08-27,TUPY3,TUPY3.SA,3.662013053894043,3.662013053894043,3.662013053894043,3.662013053894043,3.662013053894043,200,7.5,7.5,7.5,7.5,0.4882684071858724,7.5,7.5,0
2001-12-10,TUPY3,TUPY3.SA,2.685476779937744,2.685476779937744,2.685476779937744,2.685476779937744,2.685476779937744,200,5.5,5.5,5.5,5.5,0.4882685054432262,5.5,5.5,0
2001-12-24,TUPY3,TUPY3.SA,3.7840800285339355,3.7840800285339355,3.7840800285339355,3.7840800285339355,3.7840800285339355,200,7.75,7.75,7.75,7.75,0.4882683907785723,7.75,7.75,0
2002-02-25,TUPY3,TUPY3.SA,3.3446383476257324,3.3446383476257324,3.3446383476257324,3.3446383476257324,3.3446383476257324,200,6.849999904632568,6.849999904632568,6.849999904632568,6.849999904632568,0.4882683787139611,6.849999904632568,6.849999904632568,0
2002-03-04,TUPY3,TUPY3.SA,3.361728579867369,3.456940783986998,3.361728579867369,3.417879343032837,3.417879343032837,6400,6.885000228881836,7.079999923706055,6.885000228881836,7.0,0.4882684775761196,7.079999923706055,6.885000228881836,0
2002-03-11,TUPY3,TUPY3.SA,3.539945952097575,3.662013053894043,3.539945952097575,3.662013053894043,3.662013053894043,3200,7.25,7.5,7.25,7.5,0.4882684071858724,7.5,7.25,0
2002-03-18,TUPY3,TUPY3.SA,3.662013599269094,3.686427116394043,3.662013599269094,3.686427116394043,3.686427116394043,2000,7.5,7.550000190734863,7.5,7.550000190734863,0.48826847990254585,7.550000190734863,7.5,0
2002-03-25,TUPY3,TUPY3.SA,3.7108404636383057,3.7108404636383057,3.7108404636383057,3.7108404636383057,3.7108404636383057,200,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,0.48826848818463386,7.599999904632568,7.599999904632568,0
2002-05-27,TUPY3,TUPY3.SA,1.9506325800731474,1.9530739784240723,1.9506325800731474,1.9530739784240723,1.9530739784240723,400,3.994999885559082,4.0,3.994999885559082,4.0,0.48826849460601807,4.0,3.994999885559082,0
2002-08-19,TUPY3,TUPY3.SA,1.2353196996230509,1.2939119995373403,1.2206716537475586,1.2206716537475586,1.2206716537475586,800,2.5299999713897705,2.6500000953674316,2.5,2.5,0.4882686614990234,2.6500000953674316,2.5,0
2002-09-02,TUPY3,TUPY3.SA,1.2206716537475586,1.2206716537475586,1.2206716537475586,1.2206716537475586,1.2206716537475586,800,2.5,2.5,2.5,2.5,0.4882686614990234,2.5,2.5,0
2002-11-18,TUPY3,TUPY3.SA,1.4648059606552124,1.4648059606552124,1.4648059606552124,1.4648059606552124,1.4648059606552124,200,3.0,3.0,3.0,3.0,0.4882686535517375,3.0,3.0,0
2002-11-25,TUPY3,TUPY3.SA,1.342738389968872,1.342738389968872,1.342738389968872,1.342738389968872,1.342738389968872,400,2.75,2.75,2.75,2.75,0.4882685054432262,2.75,2.75,0
2002-12-09,TUPY3,TUPY3.SA,1.5868723392486572,1.5868723392486572,1.5868723392486572,1.5868723392486572,1.5868723392486572,200,3.25,3.25,3.25,3.25,0.4882684120765099,3.25,3.25,0
