date,ticker,source_symbol,dividend,split_ratio
2008-08-05,CSMG3,CSMG3.SA,0.147561,1.0
2011-04-01,CSMG3,CSMG3.SA,0.112475,1.0
2011-07-07,CSMG3,CSMG3.SA,0.118049,1.0
2011-09-22,CSMG3,CSMG3.SA,0.121328,1.0
2012-03-14,CSMG3,CSMG3.SA,0.085047,1.0
2012-03-22,CSMG3,CSMG3.SA,0.10772,1.0
2012-06-22,CSMG3,CSMG3.SA,0.101531,1.0
2012-09-24,CSMG3,CSMG3.SA,0.105893,1.0
2013-03-04,CSMG3,CSMG3.SA,0.12967,1.0
2013-03-22,CSMG3,CSMG3.SA,0.104572,1.0
2013-06-26,CSMG3,CSMG3.SA,0.084984,1.0
2013-09-25,CSMG3,CSMG3.SA,0.072567,1.0
2014-02-04,CSMG3,CSMG3.SA,0.093652,1.0
2014-03-25,CSMG3,CSMG3.SA,0.095513,1.0
2014-06-25,CSMG3,CSMG3.SA,0.09173,1.0
2014-09-23,CSMG3,CSMG3.SA,0.090001,1.0
2015-03-25,CSMG3,CSMG3.SA,0.006738,1.0
2015-05-12,CSMG3,CSMG3.SA,0.01263,1.0
2015-08-12,CSMG3,CSMG3.SA,0.002908,1.0
2015-11-12,CSMG3,CSMG3.SA,0.006863,1.0
2016-05-12,CSMG3,CSMG3.SA,0.067927,1.0
2016-08-23,CSMG3,CSMG3.SA,0.074909,1.0
2016-11-17,CSMG3,CSMG3.SA,0.079877,1.0
2017-03-17,CSMG3,CSMG3.SA,0.096166,1.0
2017-03-23,CSMG3,CSMG3.SA,0.084294,1.0
2017-06-22,CSMG3,CSMG3.SA,0.098271,1.0
2017-09-25,CSMG3,CSMG3.SA,0.102711,1.0
2017-11-21,CSMG3,CSMG3.SA,0.632943,1.0
2018-02-28,CSMG3,CSMG3.SA,0.121505,1.0
2018-03-27,CSMG3,CSMG3.SA,0.202348,1.0
2018-05-08,CSMG3,CSMG3.SA,0.738433,1.0
2018-06-26,CSMG3,CSMG3.SA,0.135509,1.0
2018-09-25,CSMG3,CSMG3.SA,0.143841,1.0
2019-03-11,CSMG3,CSMG3.SA,0.243238,1.0
2019-03-27,CSMG3,CSMG3.SA,0.139743,1.0
2019-06-24,CSMG3,CSMG3.SA,0.055285,1.0
2019-09-25,CSMG3,CSMG3.SA,0.137479,1.0
2020-03-26,CSMG3,CSMG3.SA,0.34277,1.0
2020-06-24,CSMG3,CSMG3.SA,0.115765,1.0
2020-09-23,CSMG3,CSMG3.SA,0.166474,1.0
2020-11-20,CSMG3,CSMG3.SA,2.162553,1.0
2020-11-26,CSMG3,B3_LISTED_COMPANIES_OFFICIAL,0.0,3.0
2021-03-03,CSMG3,CSMG3.SA,0.199219,1.0
2021-03-25,CSMG3,CSMG3.SA,0.17101,1.0
2021-06-23,CSMG3,CSMG3.SA,0.145507,1.0
2021-09-27,CSMG3,CSMG3.SA,0.428983,1.0
2022-03-23,CSMG3,CSMG3.SA,0.089328,1.0
2022-06-22,CSMG3,CSMG3.SA,0.140134,1.0
2022-09-21,CSMG3,CSMG3.SA,0.15487,1.0
2023-03-23,CSMG3,CSMG3.SA,0.994132,1.0
2023-06-22,CSMG3,CSMG3.SA,0.338917,1.0
2023-09-22,CSMG3,CSMG3.SA,0.33607,1.0
2023-12-14,CSMG3,CSMG3.SA,0.982305,1.0
2023-12-22,CSMG3,CSMG3.SA,0.241589,1.0
2024-03-26,CSMG3,CSMG3.SA,0.873138,1.0
2024-04-29,CSMG3,CSMG3.SA,0.791178,1.0
2024-06-26,CSMG3,CSMG3.SA,0.38471,1.0
2024-09-18,CSMG3,CSMG3.SA,0.353195,1.0
2024-12-26,CSMG3,CSMG3.SA,0.369458,1.0
2025-03-06,CSMG3,CSMG3.SA,0.476208,1.0
2025-03-27,CSMG3,CSMG3.SA,0.035459,1.0
2025-06-24,CSMG3,CSMG3.SA,0.433251,1.0
2025-09-23,CSMG3,CSMG3.SA,0.447556,1.0
2025-12-17,CSMG3,CSMG3.SA,0.527452,1.0
2025-12-23,CSMG3,CSMG3.SA,0.364057,1.0
2026-03-09,CSMG3,CSMG3.SA,0.001815,1.0
2026-03-24,CSMG3,CSMG3.SA,0.468386,1.0
2026-06-24,CSMG3,CSMG3.SA,0.375874,1.0
