date,ticker,source_symbol,dividend,split_ratio
2008-03-14,JHSF3,JHSF3.SA,0.035186,1.0
2009-04-29,JHSF3,JHSF3.SA,0.105555,1.0
2009-12-28,JHSF3,JHSF3.SA,0.122941,1.0
2010-05-03,JHSF3,JHSF3.SA,0.070386,1.0
2010-10-28,JHSF3,JHSF3.SA,0.095725,1.0
2011-05-02,JHSF3,JHSF3.SA,0.234621,1.0
2012-01-26,JHSF3,JHSF3.SA,0.139988,1.0
2012-03-27,JHSF3,JHSF3.SA,0.046663,1.0
2013-04-15,JHSF3,JHSF3.SA,0.069578,1.0
2013-05-02,JHSF3,JHSF3.SA,0.115963,1.0
2014-05-02,JHSF3,JHSF3.SA,0.046306,1.0
2019-04-04,JHSF3,JHSF3.SA,0.116414,1.0
2019-12-30,JHSF3,JHSF3.SA,0.083152,1.0
2020-08-19,JHSF3,JHSF3.SA,0.078771,1.0
2020-10-08,JHSF3,JHSF3.SA,0.067137,1.0
2021-04-05,JHSF3,JHSF3.SA,0.210369,1.0
2021-10-15,JHSF3,JHSF3.SA,0.183471,1.0
2022-03-04,JHSF3,JHSF3.SA,0.160656,1.0
2022-12-16,JHSF3,JHSF3.SA,0.048048,1.0
2023-01-18,JHSF3,JHSF3.SA,0.047941,1.0
2023-02-15,JHSF3,JHSF3.SA,0.047941,1.0
2023-03-17,JHSF3,JHSF3.SA,0.047941,1.0
2023-04-20,JHSF3,JHSF3.SA,0.047941,1.0
2023-05-19,JHSF3,JHSF3.SA,0.047941,1.0
2023-06-20,JHSF3,JHSF3.SA,0.047941,1.0
2023-07-27,JHSF3,JHSF3.SA,0.044253,1.0
2023-08-11,JHSF3,JHSF3.SA,0.044253,1.0
2023-09-12,JHSF3,JHSF3.SA,0.044253,1.0
2023-12-28,JHSF3,JHSF3.SA,0.030731,1.0
2024-02-01,JHSF3,JHSF3.SA,0.030805,1.0
2024-03-01,JHSF3,JHSF3.SA,0.030819,1.0
2024-04-01,JHSF3,JHSF3.SA,0.030819,1.0
2024-04-30,JHSF3,JHSF3.SA,0.030865,1.0
2024-05-31,JHSF3,JHSF3.SA,0.030887,1.0
2024-07-01,JHSF3,JHSF3.SA,0.030949,1.0
2024-08-01,JHSF3,JHSF3.SA,0.030949,1.0
2024-08-30,JHSF3,JHSF3.SA,0.030949,1.0
2024-10-01,JHSF3,JHSF3.SA,0.030977,1.0
2024-11-01,JHSF3,JHSF3.SA,0.030977,1.0
2024-11-29,JHSF3,JHSF3.SA,0.030977,1.0
2024-12-30,JHSF3,JHSF3.SA,0.030977,1.0
2025-01-31,JHSF3,JHSF3.SA,0.031078,1.0
2025-02-26,JHSF3,JHSF3.SA,0.030986,1.0
2025-04-04,JHSF3,JHSF3.SA,0.030986,1.0
2025-04-30,JHSF3,JHSF3.SA,0.031034,1.0
2025-05-30,JHSF3,JHSF3.SA,0.031109,1.0
2025-07-02,JHSF3,JHSF3.SA,0.031161,1.0
2025-08-01,JHSF3,JHSF3.SA,0.031268,1.0
2025-09-01,JHSF3,JHSF3.SA,0.031268,1.0
2025-10-01,JHSF3,JHSF3.SA,0.031268,1.0
2025-10-31,JHSF3,JHSF3.SA,0.031268,1.0
2025-12-01,JHSF3,JHSF3.SA,0.031268,1.0
2026-01-21,JHSF3,JHSF3.SA,0.068544,1.0
2026-01-30,JHSF3,JHSF3.SA,0.068544,1.0
2026-02-27,JHSF3,JHSF3.SA,0.068544,1.0
2026-03-31,JHSF3,JHSF3.SA,0.068698,1.0
2026-04-30,JHSF3,JHSF3.SA,0.069156,1.0
2026-05-29,JHSF3,JHSF3.SA,0.069156,1.0
2026-07-02,JHSF3,JHSF3.SA,0.069156,1.0
