date,ticker,source_symbol,dividend,split_ratio
2013-08-20,BBSE3,BBSE3.SA,0.414788,1.0
2014-02-17,BBSE3,BBSE3.SA,0.58965,1.0
2014-08-19,BBSE3,BBSE3.SA,0.597661,1.0
2015-02-13,BBSE3,BBSE3.SA,0.785018,1.0
2015-08-13,BBSE3,BBSE3.SA,0.883769,1.0
2016-02-24,BBSE3,BBSE3.SA,0.837775,1.0
2016-08-12,BBSE3,BBSE3.SA,0.8361,1.0
2017-02-17,BBSE3,BBSE3.SA,0.853031,1.0
2017-08-11,BBSE3,BBSE3.SA,0.791638,1.0
2018-02-23,BBSE3,BBSE3.SA,0.957634,1.0
2018-08-10,BBSE3,BBSE3.SA,0.788043,1.0
2018-12-12,BBSE3,BBSE3.SA,1.352301,1.0
2019-02-15,BBSE3,BBSE3.SA,0.683892,1.0
2019-08-12,BBSE3,BBSE3.SA,0.898819,1.0
2020-01-10,BBSE3,BBSE3.SA,1.352298,1.0
2020-02-14,BBSE3,BBSE3.SA,1.910841,1.0
2020-08-13,BBSE3,BBSE3.SA,0.875255,1.0
2021-02-12,BBSE3,BBSE3.SA,0.476121,1.0
2021-08-12,BBSE3,BBSE3.SA,0.520874,1.0
2022-02-11,BBSE3,BBSE3.SA,0.930048,1.0
2022-08-18,BBSE3,BBSE3.SA,1.036045,1.0
2023-02-15,BBSE3,BBSE3.SA,1.878577,1.0
2023-08-17,BBSE3,BBSE3.SA,1.607637,1.0
2024-02-09,BBSE3,BBSE3.SA,1.261289,1.0
2024-08-19,BBSE3,BBSE3.SA,1.390909,1.0
2025-02-21,BBSE3,BBSE3.SA,2.320161,1.0
2025-08-15,BBSE3,BBSE3.SA,1.942095,1.0
2026-02-13,BBSE3,BBSE3.SA,2.606807,1.0
