date,ticker,source_symbol,dividend,split_ratio
2000-05-02,GGBR3,GGBR3.SA,0.0,0.25
2003-05-02,GGBR3,GGBR3.SA,0.0,0.001
2004-04-30,GGBR3,GGBR3.SA,0.0,2.0
2005-04-12,GGBR3,GGBR3.SA,0.0,1.5
2006-04-13,GGBR3,GGBR3.SA,0.0,1.5
2008-06-13,GGBR3,GGBR3.SA,0.0,2.0
2008-11-17,GGBR3,GGBR3.SA,0.142857,1.0
2009-03-03,GGBR3,GGBR3.SA,0.031746,1.0
2009-11-17,GGBR3,GGBR3.SA,0.059524,1.0
2009-12-29,GGBR3,GGBR3.SA,0.142857,1.0
2010-05-18,GGBR3,GGBR3.SA,0.080952,1.0
2010-08-17,GGBR3,GGBR3.SA,0.111111,1.0
2010-11-17,GGBR3,GGBR3.SA,0.095238,1.0
2011-03-15,GGBR3,GGBR3.SA,0.047619,1.0
2011-05-20,GGBR3,GGBR3.SA,0.047619,1.0
2011-08-16,GGBR3,GGBR3.SA,0.071429,1.0
2011-11-22,GGBR3,GGBR3.SA,0.095238,1.0
2012-02-28,GGBR3,GGBR3.SA,0.063492,1.0
2012-05-14,GGBR3,GGBR3.SA,0.047619,1.0
2012-08-14,GGBR3,GGBR3.SA,0.071429,1.0
2012-11-13,GGBR3,GGBR3.SA,0.055556,1.0
2013-03-05,GGBR3,GGBR3.SA,0.015873,1.0
2013-05-20,GGBR3,GGBR3.SA,0.015873,1.0
2013-08-13,GGBR3,GGBR3.SA,0.055556,1.0
2013-11-12,GGBR3,GGBR3.SA,0.095238,1.0
2014-03-06,GGBR3,GGBR3.SA,0.055556,1.0
2014-05-22,GGBR3,GGBR3.SA,0.055556,1.0
2014-08-12,GGBR3,GGBR3.SA,0.047619,1.0
2014-11-18,GGBR3,GGBR3.SA,0.039683,1.0
2015-03-17,GGBR3,GGBR3.SA,0.055556,1.0
2015-05-22,GGBR3,GGBR3.SA,0.047619,1.0
2015-08-25,GGBR3,GGBR3.SA,0.039683,1.0
2015-11-10,GGBR3,GGBR3.SA,0.031746,1.0
2016-08-23,GGBR3,GGBR3.SA,0.02381,1.0
2016-11-22,GGBR3,GGBR3.SA,0.015873,1.0
2017-08-22,GGBR3,GGBR3.SA,0.015873,1.0
2017-11-22,GGBR3,GGBR3.SA,0.02381,1.0
2018-03-12,GGBR3,GGBR3.SA,0.02381,1.0
2018-05-22,GGBR3,GGBR3.SA,0.063492,1.0
2018-08-22,GGBR3,GGBR3.SA,0.111111,1.0
2018-11-22,GGBR3,GGBR3.SA,0.103175,1.0
2019-03-07,GGBR3,GGBR3.SA,0.079365,1.0
2019-05-20,GGBR3,GGBR3.SA,0.055556,1.0
2019-08-19,GGBR3,GGBR3.SA,0.055556,1.0
2019-11-12,GGBR3,GGBR3.SA,0.031746,1.0
2020-03-02,GGBR3,GGBR3.SA,0.02381,1.0
2020-11-09,GGBR3,GGBR3.SA,0.095238,1.0
2020-12-22,GGBR3,GGBR3.SA,0.134921,1.0
2021-03-12,GGBR3,GGBR3.SA,0.103175,1.0
2021-05-17,GGBR3,GGBR3.SA,0.31746,1.0
2021-08-17,GGBR3,GGBR3.SA,0.428571,1.0
2021-09-28,GGBR3,GGBR3.SA,0.301587,1.0
2021-11-08,GGBR3,GGBR3.SA,1.285714,1.0
2022-03-08,GGBR3,GGBR3.SA,0.15873,1.0
2022-05-17,GGBR3,GGBR3.SA,0.452381,1.0
2022-08-16,GGBR3,GGBR3.SA,0.563492,1.0
2022-11-22,GGBR3,GGBR3.SA,1.706349,1.0
2023-03-15,GGBR3,GGBR3.SA,0.15873,1.0
2023-03-22,GGBR3,GGBR3.SA,0.0,1.05
2023-05-16,GGBR3,GGBR3.SA,0.425,1.0
2023-08-21,GGBR3,GGBR3.SA,0.358333,1.0
2023-11-20,GGBR3,GGBR3.SA,0.391667,1.0
2024-03-04,GGBR3,GGBR3.SA,0.083333,1.0
2024-04-18,GGBR3,GGBR3.SA,0.0,1.2
2024-05-16,GGBR3,GGBR3.SA,0.28,1.0
2024-08-12,GGBR3,GGBR3.SA,0.12,1.0
2024-11-19,GGBR3,GGBR3.SA,0.3,1.0
2025-03-06,GGBR3,GGBR3.SA,0.1,1.0
2025-05-09,GGBR3,GGBR3.SA,0.12,1.0
2025-08-12,GGBR3,GGBR3.SA,0.12,1.0
2025-11-11,GGBR3,GGBR3.SA,0.28,1.0
2026-03-11,GGBR3,GGBR3.SA,0.1,1.0
2026-05-14,GGBR3,GGBR3.SA,0.18,1.0
