ticker,strategy,family,params,start,end,candles,trades,exposure,total_return,cagr,max_drawdown,sharpe,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown,excess_total_return,train_cagr,train_total_return,train_trades,train_max_drawdown,train_ratio,fast,slow,signal_window,lookback,exit_lookback,rsi_period,lower,upper,trend_window,sma_window,stop_pct,window,num_std,exit_z,atr_period,atr_mult,max_hold,streak_rsi_period,rank_period,ibs_lower,ibs_upper,range_mult,volume_window,volume_mult,streak_length
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=10;atr_mult=3;trend_window=0;volume_window=20;volume_mult=0;max_hold=20,2024-04-15,2026-07-17,565,51,0.8194690265486726,0.43192461446107666,0.17272951948492787,-0.22563675833984187,0.7122693135615963,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.1624995954924653,,,,,0.7,,,,,,,,,0,,,,,,10,3.0,20,,,,,0.25,20,0.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=1;atr_period=10;atr_mult=3;trend_window=200;volume_window=20;volume_mult=1;max_hold=20,2024-04-15,2026-07-17,565,15,0.21946902654867256,0.4409742775234924,0.17601303465618967,-0.07632775188468921,1.1948262462538148,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.15344993243004956,,,,,0.7,,,,,,,,,200,,,,,,10,3.0,20,,,,,1.0,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=14;atr_mult=3;trend_window=0;volume_window=20;volume_mult=1;max_hold=20,2024-04-15,2026-07-17,565,43,0.6460176991150443,0.4271857188492867,0.17100548700847962,-0.2513672265257133,0.7697162459654178,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.16723849110425526,,,,,0.7,,,,,,,,,0,,,,,,14,3.0,20,,,,,0.25,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.5;atr_period=10;atr_mult=3;trend_window=200;volume_window=20;volume_mult=1;max_hold=20,2024-04-15,2026-07-17,565,23,0.34690265486725663,0.4237305519623966,0.1697464731163294,-0.11043205420392321,0.9582576262491356,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.17069365799114533,,,,,0.7,,,,,,,,,200,,,,,,10,3.0,20,,,,,0.5,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=1;atr_period=14;atr_mult=2;trend_window=200;volume_window=20;volume_mult=1;max_hold=20,2024-04-15,2026-07-17,565,15,0.19469026548672566,0.4478859398907771,0.17851309537183213,-0.07393805442141277,1.242227470173785,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.14653827006276487,,,,,0.7,,,,,,,,,200,,,,,,14,2.0,20,,,,,1.0,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=1;atr_period=10;atr_mult=2;trend_window=200;volume_window=20;volume_mult=1;max_hold=20,2024-04-15,2026-07-17,565,15,0.19469026548672566,0.4478859398907771,0.17851309537183213,-0.07393805442141277,1.242227470173785,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.14653827006276487,,,,,0.7,,,,,,,,,200,,,,,,10,2.0,20,,,,,1.0,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=10;atr_mult=3;trend_window=200;volume_window=20;volume_mult=1;max_hold=20,2024-04-15,2026-07-17,565,25,0.3911504424778761,0.4972386133511175,0.19617496290669423,-0.142527751921953,1.002602704708072,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.09718559660242443,,,,,0.7,,,,,,,,,200,,,,,,10,3.0,20,,,,,0.25,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=1;atr_period=14;atr_mult=3;trend_window=200;volume_window=20;volume_mult=1;max_hold=20,2024-04-15,2026-07-17,565,15,0.215929203539823,0.450679354549818,0.1795216351095763,-0.07632775188468921,1.216726348817085,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.14374485540372395,,,,,0.7,,,,,,,,,200,,,,,,14,3.0,20,,,,,1.0,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.5;atr_period=14;atr_mult=3;trend_window=200;volume_window=20;volume_mult=1;max_hold=20,2024-04-15,2026-07-17,565,23,0.3433628318584071,0.4333335459281733,0.1732414831835425,-0.11043205420392321,0.9753869251188418,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.16109066402536865,,,,,0.7,,,,,,,,,200,,,,,,14,3.0,20,,,,,0.5,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.5;atr_period=10;atr_mult=3;trend_window=200;volume_window=0;volume_mult=0;max_hold=20,2024-04-15,2026-07-17,565,25,0.4336283185840708,0.46588006181087915,0.18499088961250076,-0.12794895009087737,0.949111110764784,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.1285441481426628,,,,,0.7,,,,,,,,,200,,,,,,10,3.0,20,,,,,0.5,0,0.0,
