strategy,full_cagr,full_return,full_mdd,train_cagr,test_cagr,test_return,test_mdd,test_sharpe,full_sharpe,full_trades
top1_short_roc_filter_w2_1_1_trend0_vol21_equal_monthly_posscore,0.1123260846898777,15.85702387915427,-0.7848238106361625,0.04927067336491442,0.27216326443755,5.923886219106187,-0.3258064792776363,0.9405236198141705,0.49205843475365,383
top1_short_roc_filter_w1_1_1_trend0_vol21_equal_monthly_posscore,0.13766342989784697,29.64362382784483,-0.6502609584295391,0.08895427741481265,0.258045153714898,5.3298173754993385,-0.28938930728251444,0.9137010916000283,0.5650827281952119,383
top1_short_roc_filter_w2_1_1_trend0_vol63_equal_monthly_posscore,0.1112691487170534,15.437109406544216,-0.7701801449972915,0.053921531896571784,0.25521684130871924,5.216328287989195,-0.29259720142306034,0.8975983784485891,0.48838808036128456,382
top1_short_roc_filter_w1_1_2_trend0_vol21_equal_monthly_posscore,0.14047878509941447,31.72076187279567,-0.6458900882693694,0.0977002563066185,0.24522073405619893,4.82936879215986,-0.28938930728251444,0.8770554817308783,0.571342623275573,391
top1_short_roc_filter_w1_1_2_trend200_vol21_equal_monthly_posscore,0.16601404001541242,57.88456373215357,-0.5979690463885955,0.1334059655101958,0.24439677339716104,4.798434772924654,-0.28938930728251444,0.875467841390644,0.6479146701277774,362
top1_short_roc_filter_w1_1_1_trend200_vol21_equal_monthly_posscore,0.15769054653790882,47.690308739361505,-0.5682014974173518,0.12183006956038778,0.24439677339716104,4.798434772924654,-0.28938930728251444,0.875467841390644,0.6245169673628944,362
top1_short_roc_filter_w2_1_1_trend200_vol21_equal_monthly_posscore,0.13809530135446235,29.953801375454564,-0.5979473134320898,0.09468581158920242,0.24439677339716104,4.798434772924654,-0.28938930728251444,0.875467841390644,0.5721578907167095,361
top1_short_roc_filter_w1_1_1_trend0_vol63_equal_monthly_posscore,0.1330920296060183,26.538496871217234,-0.6227305774692042,0.08895264659311097,0.2414604254140631,4.689360827585191,-0.28938930728251444,0.8704229865441925,0.5511976713312241,381
top1_short_roc_filter_w1_1_1_trend200_vol63_equal_monthly_posscore,0.14610851576501682,36.28806025719606,-0.60922120373324,0.11260214961537107,0.226990283311425,4.17766872800146,-0.28938930728251444,0.8319959118403706,0.5900131197418529,361
top1_short_roc_filter_w2_1_1_trend200_vol63_equal_monthly_posscore,0.12648175401040196,22.578357763222893,-0.6380474153126268,0.08538581401032963,0.226990283311425,4.17766872800146,-0.28938930728251444,0.8319959118403706,0.5371978216852111,362
top2_short_roc_filter_w1_1_2_trend200_vol21_inv_vol_monthly_posscore,0.1607639731989965,51.23915004101465,-0.5271802447868708,0.13983056076463818,0.20975066415358068,3.621007559456933,-0.3005247602580712,0.8831493439015257,0.6938570172512712,645
top1_short_roc_filter_w1_1_2_trend0_vol63_equal_monthly_posscore,0.13048353081306852,24.904780116229215,-0.6267424681321142,0.09768021538584915,0.20972071633038203,3.620088096870437,-0.3274552866218705,0.7811185480451808,0.5425236495359332,390
top1_short_roc_filter_w1_1_1_trend0_vol63_equal_monthly_posall_windows,0.12957181014863428,24.35607977706731,-0.6076601683674728,0.09656878498422228,0.20929616800073436,3.6070707709701955,-0.3109007012950047,0.81747686031273,0.5629332847825295,297
top1_short_roc_filter_w2_1_1_trend0_vol63_equal_monthly_posall_windows,0.12957181014863428,24.35607977706731,-0.6076601683674728,0.09656878498422228,0.20929616800073436,3.6070707709701955,-0.3109007012950047,0.81747686031273,0.5629332847825295,297
top1_short_roc_filter_w1_1_2_trend0_vol63_equal_monthly_posall_windows,0.12957181014863428,24.35607977706731,-0.6076601683674728,0.09656878498422228,0.20929616800073436,3.6070707709701955,-0.3109007012950047,0.81747686031273,0.5629332847825295,297
top1_short_roc_filter_w1_1_2_trend200_vol63_equal_monthly_posscore,0.1488555134048959,38.73358799652581,-0.6361437859291595,0.12409323396789573,0.20787362336950577,3.563687069226086,-0.32606482732154685,0.778819181723033,0.5978560309446334,363
top1_short_roc_filter_w1_1_1_trend200_vol63_equal_monthly_posall_windows,0.12789315303449822,23.37493033640135,-0.6076601683674728,0.09656878498422228,0.20341758970014534,3.43009655746853,-0.33343764659813646,0.7996688288816591,0.5577800516718313,294
top1_short_roc_filter_w2_1_1_trend200_vol63_equal_monthly_posall_windows,0.12789315303449822,23.37493033640135,-0.6076601683674728,0.09656878498422228,0.20341758970014534,3.43009655746853,-0.33343764659813646,0.7996688288816591,0.5577800516718313,294
top1_short_roc_filter_w1_1_2_trend200_vol63_equal_monthly_posall_windows,0.12789315303449822,23.37493033640135,-0.6076601683674728,0.09656878498422228,0.20341758970014534,3.43009655746853,-0.33343764659813646,0.7996688288816591,0.5577800516718313,294
top2_short_roc_filter_w1_1_1_trend200_vol21_inv_vol_monthly_posscore,0.14810517467655382,38.050690248551625,-0.4664529070808008,0.12473061780139472,0.20298432118221332,3.417291852053153,-0.31391047504616143,0.8591929581392656,0.6512359725659183,642
top2_short_roc_filter_w1_1_2_trend200_vol63_inv_vol_monthly_posscore,0.17370983079016633,69.11511841715037,-0.5148809056133772,0.163346971144259,0.19773127156122405,3.264603097026182,-0.30157637457318576,0.8458206844314266,0.734290161534448,645
top2_short_roc_filter_w1_1_1_trend200_vol63_inv_vol_monthly_posscore,0.16222334668768812,53.010192094804616,-0.4552044775475165,0.1474922396471099,0.19664135068196154,3.2335081683014213,-0.301536546423664,0.8405170331735117,0.6958998900839996,645
top2_short_roc_filter_w2_1_1_trend200_vol21_inv_vol_monthly_posscore,0.13322721839016927,26.62581423041505,-0.504157471701866,0.10660347943158444,0.19623181702743286,3.2218757822428525,-0.31391047504616143,0.835923450786004,0.6035490614337439,627
top2_short_roc_filter_w2_1_1_trend200_vol63_inv_vol_monthly_posscore,0.14223193647817878,33.08197440542319,-0.4936592045614775,0.1218310466439756,0.19035481178977975,3.0580007749503926,-0.301536546423664,0.8186251472338516,0.6325647653740242,630
top2_short_roc_filter_w1_1_2_trend200_vol63_equal_monthly_posscore,0.16941467385646436,62.61538574187972,-0.5076903869120006,0.16215243437449467,0.18562619677015157,2.930218584734203,-0.2973140158612615,0.784058730283864,0.7126532444884622,643
top2_short_roc_filter_w1_1_2_trend200_vol21_equal_monthly_posscore,0.14997360834746276,39.77255102800548,-0.5075952314458692,0.13529682058001957,0.18385450209532084,2.883257225939345,-0.3329105013632525,0.77543876844572,0.653825851937788,643
top2_short_roc_filter_w1_1_1_trend200_vol63_equal_monthly_posscore,0.1575812415200437,47.5684687422611,-0.4490481676831758,0.14725543868326696,0.18141752201860273,2.8194645025666243,-0.29722633703704515,0.7701987055543846,0.6737661648606537,643
top2_short_roc_filter_w1_1_1_trend200_vol21_equal_monthly_posscore,0.13727313841160993,29.365884426274082,-0.44907229029634654,0.12072842892235669,0.17568022623823976,2.67288973296973,-0.35173023588308805,0.7489507590945276,0.6114020095196252,640
