ticker,strategy,family,params,start,end,candles,trades,exposure,total_return,cagr,max_drawdown,sharpe,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown,excess_total_return,train_cagr,train_total_return,train_trades,train_max_drawdown,train_ratio,fast,slow,signal_window,lookback,exit_lookback,rsi_period,lower,upper,trend_window,sma_window,stop_pct,window,num_std,exit_z,atr_period,atr_mult,max_hold,streak_rsi_period,rank_period,ibs_lower,ibs_upper,range_mult,volume_window,volume_mult,streak_length
TUPY3,chandelier_breakout,chandelier_breakout,lookback=5;atr_period=10;atr_mult=2;volume_window=0;volume_mult=0,2018-07-02,2026-07-17,1999,129,0.43271635817908954,0.4468261238483102,0.04700711238798605,-0.40564929996615473,0.30714834136125324,0.20489914825561706,0.023451242819145124,-0.5707748680991283,0.24192697559269316,0.08921576095658046,3.853853903290566,245,-0.6248842000962523,0.7,,,,5,,,,,,,,,,,10,2.0,,,,,,,0,0.0,
TUPY3,rsi2_trend_reversion,rsi2_trend_reversion,rsi_period=3;lower=10;upper=50;trend_window=200;sma_window=3;max_hold=5,2018-07-02,2026-07-17,1999,22,0.01250625312656328,0.16163179547314832,0.01880723682005936,-0.033310477431434005,0.5312771220764003,0.20489914825561706,0.023451242819145124,-0.5707748680991283,-0.04326735278246874,0.005886418355308454,0.1146017062906437,116,-0.24612123171665468,0.7,,,,,,3,10.0,50.0,200,3,,,,,,,5,,,,,,,,
TUPY3,down_streak_reversion,down_streak_reversion,streak_length=2;ibs_lower=0.2;ibs_upper=0.8;trend_window=200;max_hold=5,2018-07-02,2026-07-17,1999,102,0.09304652326163082,-0.05159834024582888,-0.006566670432154864,-0.20026668740469,-0.021179673969039747,0.20489914825561706,0.023451242819145124,-0.5707748680991283,-0.25649748850144594,0.03502420356265312,0.8896204372336425,150,-0.14670721914983786,0.7,,,,,,,,,200,,,,,,,,5,,,0.2,0.8,,,,2
TUPY3,rsi_ibs_reversion,rsi_ibs_reversion,rsi_period=2;lower=20;upper=50;ibs_lower=0.1;ibs_upper=0.8;trend_window=200;max_hold=10,2018-07-02,2026-07-17,1999,78,0.06603301650825413,-0.19750950696214664,-0.026992936081776442,-0.2177003041528892,-0.3212065735180077,0.20489914825561706,0.023451242819145124,-0.5707748680991283,-0.4024086552177637,0.03579959139796185,0.915961433678155,186,-0.1602026743262137,0.7,,,,,,2,20.0,50.0,200,,,,,,,,10,,,0.1,0.8,,,,
TUPY3,range_expansion_breakout,range_expansion_breakout,range_mult=1;atr_period=10;atr_mult=3;trend_window=0;volume_window=0;volume_mult=0;max_hold=10,2018-07-02,2026-07-17,1999,171,0.41420710355177587,-0.3894062304837387,-0.0595064463523538,-0.6328974526104794,-0.1360268919175179,0.20489914825561706,0.023451242819145124,-0.5707748680991283,-0.5943053787393557,0.08666025660849441,3.6475978871276995,385,-0.4414802845811605,0.7,,,,,,,,,0,,,,,,10,3.0,10,,,,,1.0,0,0.0,
TUPY3,ibs_reversion,ibs_reversion,ibs_lower=0.1;ibs_upper=0.9;max_hold=5;trend_window=200,2018-07-02,2026-07-17,1999,146,0.13856928464232116,-0.4725188114416401,-0.07646530201762558,-0.5185243159550857,-0.498740838018841,0.20489914825561706,0.023451242819145124,-0.5707748680991283,-0.6774179596972572,0.03719711072566234,0.9643164835913272,366,-0.45633617047932107,0.7,,,,,,,,,200,,,,,,,,5,,,0.1,0.9,,,,
