interval,strategy,status,tests,tickers_tested,winning_rows,winning_tickers_count,winning_tickers,best_ticker,best_label,best_return,best_cagr,best_mdd,best_bh_return,best_excess,best_win_ticker,best_win_label,best_win_return,best_win_cagr,best_win_mdd,best_win_bh_return,best_win_excess
1d_full,atr_breakout,SUPEROU,416,7,135,5,GGBR3;LOGG3;MLAS3;PETR4;TUPY3,GGBR3,atr_breakout_5_10x4,116.33404129091188,0.1967067341134398,-0.8302761583240518,103.70928235908642,12.624758931825454,GGBR3,atr_breakout_5_10x4,116.33404129091188,0.1967067341134398,-0.8302761583240518,103.70928235908642,12.624758931825454
1d_full,breakout,SUPEROU,167,7,63,6,BBSE3;GGBR3;LOGG3;MLAS3;PETR4;TUPY3,GGBR3,legacy_breakout_5_55,232.73660230794812,0.2281945689450519,-0.8052924040983814,103.70928235908642,129.02731994886173,GGBR3,legacy_breakout_5_55,232.73660230794812,0.2281945689450519,-0.8052924040983814,103.70928235908642,129.02731994886173
1d_full,chandelier_breakout,SUPEROU,364,7,90,4,LOGG3;MLAS3;PETR4;TUPY3,PETR4,chandelier_breakout,83.56591189315654,0.1820279452957571,-0.3567530636902052,14.43078147110415,69.13513042205238,PETR4,chandelier_breakout,83.56591189315654,0.1820279452957571,-0.3567530636902052,14.43078147110415,69.13513042205238
1d_full,down_streak_reversion,SUPEROU,168,7,48,2,MLAS3;TUPY3,GGBR3,down_streak_reversion,1.4754805352849054,0.0347497791026756,-0.2688009008483527,103.70928235908642,-102.23380182380151,TUPY3,down_streak_reversion,0.7919322267874391,0.0222252545101584,-0.2003583829550139,-0.7964597346931884,1.5883919614806277
1d_full,ema_cross,SUPEROU,112,7,29,2,MLAS3;TUPY3,GGBR3,ema_cross_20_52,48.19609941583043,0.1581415046106313,-0.5260239810577584,103.70928235908642,-55.513182943255984,MLAS3,ema_cross_10_200,0.300131931869853,0.0540548498449753,-0.2195791861575742,-0.8432598291934688,1.1433917610633215
1d_full,ibs_reversion,SUPEROU,210,7,45,2,MLAS3;TUPY3,PETR4,ibs_reversion,5.684945333896711,0.0742229018988149,-0.7089861789341958,14.43078147110415,-8.74583613720744,TUPY3,ibs_reversion,0.493690450059207,0.0152362969923474,-0.5173484596134954,-0.7964597346931884,1.2901501847523953
1d_full,keltner_breakout,SUPEROU,2441,7,629,4,LOGG3;MLAS3;PETR4;TUPY3,GGBR3,keltner_w40_atr20x1_exit0_tw0,85.74947712120765,0.1831640974801422,-0.6649592679742411,103.70928235908642,-17.95980523787877,PETR4,keltner_w10_atr20x1_exit1_tw0,24.970384305006423,0.1305912924222367,-0.5271051844416248,14.43078147110415,10.539602833902272
1d_full,range_expansion_breakout,SUPEROU,2374,7,562,4,LOGG3;MLAS3;PETR4;TUPY3,PETR4,range_expansion_breakout,34.439303626593485,0.1439142362212233,-0.6951794326752335,14.43078147110415,20.00852215548933,PETR4,range_expansion_breakout,34.439303626593485,0.1439142362212233,-0.6951794326752335,14.43078147110415,20.00852215548933
1d_full,rsi2_trend_reversion,SUPEROU,734,7,165,2,MLAS3;TUPY3,GGBR3,rsi2_trend_reversion,1.2473079178491453,0.0309857382111531,-0.2926322446613689,103.70928235908642,-102.46197444123727,TUPY3,rsi2_trend_reversion,0.2948389997985519,0.0097850396510936,-0.2461212317166546,-0.7964597346931884,1.0912987344917404
1d_full,rsi_ibs_reversion,SUPEROU,931,7,242,2,MLAS3;TUPY3,PETR4,rsi_ibs_reversion,1.649858422774911,0.037407661777975,-0.2570814784890416,14.43078147110415,-12.78092304832924,TUPY3,rsi_ibs_reversion,1.1836266389301624,0.029869464746278,-0.2111786301486339,-0.7964597346931884,1.980086373623351
