strategy,signal_mode,lookback,skip,top_n,trend_window,vol_window,rebalance,score,weighting,absolute_momentum,max_weight,target_vol,full_start,full_end,full_candles,full_trades,full_exposure,full_avg_positions,full_total_return,full_cagr,full_max_drawdown,full_volatility,full_sharpe,full_turnover,train_end,train_total_return,train_cagr,train_max_drawdown,train_sharpe,test_start,test_total_return,test_cagr,test_max_drawdown,test_sharpe,test_trades,test_exposure
top1_risk_adjusted_lb21_skip0_trend0_vol21_equal_monthly_abs_cap1_adjusted,adjusted,21,0,1,0,21,monthly,risk_adjusted,equal,True,1.0,0.0,2000-01-03,2026-07-17,6662,441,0.8949264485139597,0.8949264485139597,87.89027422167287,0.18425158807947684,-0.8153937754513765,0.5955889467510957,0.47029908477626214,435.89248718641784,2018-07-02,10.678619762571056,0.14212855372171251,-0.8153937754513765,0.3951343461575839,2018-07-03,6.607731299587325,0.2871573007404242,-0.2924810244551135,0.9292062455758806,135,0.9469469469469469
top1_momentum_lb21_skip0_trend200_vol21_equal_monthly_abs_cap1_adjusted,adjusted,21,0,1,200,21,monthly,momentum,equal,True,1.0,0.0,2000-01-03,2026-07-17,6662,374,0.7970579405583909,0.7970579405583909,28.22052574394052,0.13562647519427218,-0.44701841935215003,0.33943221037915905,0.5443831234692739,370.00937257161087,2018-07-02,3.3569540152487605,0.08283254470916557,-0.44701841935215003,0.4046429929943577,2018-07-03,5.699650323722198,0.26696363408824975,-0.4026436327440588,0.8577683766302907,126,0.8853853853853854
top1_momentum_lb21_skip0_trend200_vol63_equal_monthly_abs_cap1_adjusted,adjusted,21,0,1,200,63,monthly,momentum,equal,True,1.0,0.0,2000-01-03,2026-07-17,6662,374,0.7970579405583909,0.7970579405583909,28.22052574394052,0.13562647519427218,-0.44701841935215003,0.33943221037915905,0.5443831234692739,370.00937257161087,2018-07-02,3.3569540152487605,0.08283254470916557,-0.44701841935215003,0.4046429929943577,2018-07-03,5.699650323722198,0.26696363408824975,-0.4026436327440588,0.8577683766302907,126,0.8853853853853854
top1_risk_adjusted_lb21_skip0_trend200_vol21_equal_monthly_abs_cap1_adjusted,adjusted,21,0,1,200,21,monthly,risk_adjusted,equal,True,1.0,0.0,2000-01-03,2026-07-17,6662,364,0.7970579405583909,0.7970579405583909,41.975774478349294,0.15225661965525994,-0.5184817104650635,0.3164131619417301,0.6056959028145927,360.0097776206983,2018-07-02,6.007805383616174,0.1110190753709388,-0.5184817104650635,0.4871342961141702,2018-07-03,5.130143676737929,0.25303863135009386,-0.28938930728251444,0.8970266708750404,121,0.8853853853853854
top1_risk_adjusted_lb21_skip0_trend0_vol63_equal_monthly_abs_cap1_adjusted,adjusted,21,0,1,0,63,monthly,risk_adjusted,equal,True,1.0,0.0,2000-01-03,2026-07-17,6662,446,0.8884719303512458,0.8884719303512458,72.65125915303082,0.17588819291634472,-0.7689961136009335,0.5949134160756661,0.4583151062580202,440.0030833753671,2018-07-02,12.834621388669298,0.15263899576367024,-0.7689961136009335,0.408225475604011,2018-07-03,4.317226182919555,0.23105681840656533,-0.3021217825801076,0.7896507064206653,140,0.9469469469469469
top1_risk_adjusted_lb21_skip0_trend200_vol63_equal_monthly_abs_cap1_adjusted,adjusted,21,0,1,200,63,monthly,risk_adjusted,equal,True,1.0,0.0,2000-01-03,2026-07-17,6662,379,0.7970579405583909,0.7970579405583909,25.271678752199303,0.131082859140081,-0.5955346129743779,0.3208664569011601,0.5442221438496948,374.07174016726543,2018-07-02,4.4669399559802105,0.09620206386714814,-0.5955346129743779,0.4440011987820465,2018-07-03,3.803723370176015,0.21560084928757828,-0.29072906559383105,0.7942983447569694,129,0.8853853853853854
top1_momentum_lb21_skip0_trend0_vol63_equal_monthly_abs_cap1_adjusted,adjusted,21,0,1,0,63,monthly,momentum,equal,True,1.0,0.0,2000-01-03,2026-07-17,6662,441,0.8884719303512458,0.8884719303512458,43.920793063956054,0.15418033605965986,-0.6963893099322264,0.6104028081895212,0.43147724763886797,437.83823288660966,2018-07-02,14.010072149234134,0.15773259876142198,-0.666312663958619,0.41787050913770585,2018-07-03,1.9877206493012154,0.14586689537276443,-0.6963522982703154,0.5463589558688172,143,0.9469469469469469
top1_momentum_lb21_skip0_trend0_vol21_equal_monthly_abs_cap1_adjusted,adjusted,21,0,1,0,21,monthly,momentum,equal,True,1.0,0.0,2000-01-03,2026-07-17,6662,445,0.8949264485139597,0.8949264485139597,30.46372630271709,0.13879631828404726,-0.6963821278201947,0.6126151796970439,0.41060640713133983,440.65230590243044,2018-07-02,9.513481141089294,0.1356563063721996,-0.6663001842720986,0.3915133464145915,2018-07-03,1.9877206493012154,0.14586689537276443,-0.6963522982703154,0.5463589558688172,143,0.9469469469469469
invvol_all_v63_weekly_adjusted,adjusted,1,0,99,0,63,weekly,all,inv_vol,False,1.0,0.0,2000-01-03,2026-07-17,6662,6619,0.9902431702191534,4.850195136595617,28.048660142838788,0.13537404266369868,-0.6621590351865613,0.27881551147159017,0.5929596771497793,80.9533173512716,2018-07-02,11.066437114773619,0.14414778527300665,-0.6621590351865613,0.6001862203985263,2018-07-03,1.32045372602572,0.11039811189658577,-0.5174332114112911,0.5646998931382516,2199,0.997997997997998
equal_all_weekly_adjusted,adjusted,1,0,99,0,63,weekly,all,equal,False,1.0,0.0,2000-01-03,2026-07-17,6662,6677,0.9902431702191534,4.853947763434404,73.93740974867346,0.17665561006505892,-0.679650676891399,0.29439815825526094,0.6933704388585106,50.206975917927764,2018-07-02,30.724943875600985,0.20554196786172518,-0.679650676891399,0.746156186091613,2018-07-03,1.251865389772365,0.10626117470578134,-0.523027031226508,0.5311858598825698,1944,0.997997997997998
