strategy,weights,short_window,vol_window,trend_window,full_cagr,full_return,full_mdd,full_sharpe,test_cagr,test_return,test_mdd,test_sharpe,trades
top1_short22_riskadj_rocfilter_w2_1_1_trend0_vol18_posscore,2_1_1,22,18,0,0.15399427296792179,43.729030630092446,-0.8377770035348858,0.6055882525251333,0.3935323862430973,13.403250868150913,-0.3076369313041426,1.2183136533660075,362
top1_short22_riskadj_rocfilter_w2_1_1_trend0_vol16_posscore,2_1_1,22,16,0,0.1376539207316827,29.636827949508717,-0.8304299432198565,0.5684365554792804,0.38870438108681804,13.00698508170009,-0.3076863362348775,1.267717335771853,367
top1_short22_riskadj_rocfilter_w1_1_1_trend200_vol18_posscore,1_1_1,22,18,200,0.21820719045957193,187.20552082879905,-0.6457170553521918,0.7839165097900773,0.375008626480853,11.934350255545647,-0.28454969298352173,1.184904533327677,342
top1_short22_riskadj_rocfilter_w2_1_1_trend200_vol18_posscore,2_1_1,22,18,200,0.19526500273473624,112.64020143027706,-0.6876626123050086,0.7274987661019341,0.375008626480853,11.934350255545647,-0.28454969298352173,1.184904533327677,340
top1_short22_riskadj_rocfilter_w2_1_1_trend0_vol21_posscore,2_1_1,22,21,0,0.14147478943740532,32.48754169518246,-0.858809965204479,0.5730913020869289,0.37215905438170105,11.720446222402693,-0.30762705473035834,1.1901455353869483,372
top1_short22_riskadj_rocfilter_w1_1_1_trend200_vol16_posscore,1_1_1,22,16,200,0.20097168366841922,127.95015335701143,-0.5675813051731958,0.7516580814855452,0.37099897091936196,11.634255386541348,-0.28456990808057325,1.2358289620145708,347
top1_short22_riskadj_rocfilter_w2_1_1_trend200_vol16_posscore,2_1_1,22,16,200,0.17858865804498536,77.2736036672256,-0.6707241673318248,0.6941065829487237,0.37099897091936196,11.634255386541348,-0.28456990808057325,1.2358289620145708,343
top1_short22_riskadj_rocfilter_w1_1_1_trend0_vol18_posscore,1_1_1,22,18,0,0.18849071937342599,96.73095680472039,-0.7050565835991042,0.6999572430097135,0.36864026473835065,11.460585740628757,-0.2914790742577734,1.1709473472855758,362
top1_short22_riskadj_rocfilter_w1_1_1_trend0_vol16_posscore,1_1_1,22,16,0,0.17146852530121914,65.64756612428877,-0.6400184078828917,0.664826300070417,0.3637926637219995,11.110210482716374,-0.29147954055951475,1.2186563706086548,369
top1_short22_riskadj_rocfilter_w1_1_1_trend200_vol21_posscore,1_1_1,22,21,200,0.20799145172832678,149.51682703492028,-0.6885707966693214,0.7601021014175235,0.363467979984736,11.087054358801803,-0.2845022486891613,1.1823309710812757,348
top1_short22_riskadj_rocfilter_w2_1_1_trend200_vol21_posscore,2_1_1,22,21,200,0.1847921545703337,88.97324237949971,-0.7281981579286638,0.701923583200412,0.363467979984736,11.087054358801803,-0.2845022486891613,1.1823309710812757,350
top1_short22_riskadj_rocfilter_w1_1_1_trend0_vol21_posscore,1_1_1,22,21,0,0.17853065297798043,77.17144638919264,-0.7407296116913197,0.6759093040151232,0.3570952619976471,10.64033867686314,-0.29149146097435497,1.1678631877191719,368
top1_short21_riskadj_rocfilter_w2_1_1_trend0_vol18_posscore,2_1_1,21,18,0,0.1339397496804411,27.090453140949247,-0.7435464711859547,0.5542919937996121,0.3454745319644861,9.862846389106295,-0.29755360750397775,1.1371371553135763,371
top1_short21_riskadj_rocfilter_w1_1_1_trend0_vol18_posscore,1_1_1,21,18,0,0.16312245120314817,54.12992649030055,-0.555481985042378,0.6382696741266777,0.33063916946468885,8.93659634778807,-0.28457299356473786,1.1135616073690895,370
top1_short22_riskadj_rocfilter_w1_1_2_trend200_vol18_posscore,1_1_2,22,18,200,0.2177595525498639,185.3789981345376,-0.6457317981486025,0.7846673335311067,0.3294165688594801,8.863444745629886,-0.28456364891238817,1.0775068987186889,346
top1_short22_riskadj_rocfilter_w1_1_2_trend200_vol16_posscore,1_1_2,22,16,200,0.20053778912386622,126.71961695462065,-0.5675899271525524,0.7524095730396182,0.32555459302632084,8.635459733715548,-0.284513964941158,1.1214408760377181,351
top1_short22_riskadj_rocfilter_w2_1_1_trend0_vol10_posscore,2_1_1,22,10,0,0.10960288077333846,14.795482709324311,-0.8725860381818269,0.4850752353274558,0.32040858562400754,8.338851215569417,-0.2966329561431825,1.050908109354824,384
top1_short21_riskadj_rocfilter_w2_1_1_trend0_vol16_posscore,2_1_1,21,16,0,0.14472684959148285,35.113432404723696,-0.6869838227201956,0.5901750268736798,0.3201549861594779,8.324443147479455,-0.297617629062076,1.1015676054627668,374
top1_short24_riskadj_rocfilter_w1_1_1_trend200_vol16_posscore,1_1_1,24,16,200,0.18557057861039605,90.55506576940141,-0.6831840351841862,0.709384997579435,0.31893232855714704,8.255251524730902,-0.4201411080975185,1.0764373455446354,324
top1_short24_riskadj_rocfilter_w2_1_1_trend200_vol16_posscore,2_1_1,24,16,200,0.16280874377053478,53.73672499329348,-0.7079972855641115,0.6494863940031963,0.31893232855714704,8.255251524730902,-0.4201411080975185,1.0764373455446354,326
top1_short22_riskadj_rocfilter_w1_1_2_trend200_vol21_posscore,1_1_2,22,21,200,0.20754663830663622,148.05302674236088,-0.6885548903754946,0.7607774000459001,0.3182364670988598,8.216073000003066,-0.2845898480147173,1.0718422209094263,352
top1_short21_riskadj_rocfilter_w1_1_2_trend0_vol18_posscore,1_1_2,21,18,0,0.16577420311474178,57.564013011647646,-0.5767822331675254,0.6434998548879282,0.3170528147905294,8.149764293673941,-0.28457299356473786,1.0750966146677314,379
top1_short21_riskadj_rocfilter_w1_1_2_trend200_vol18_posscore,1_1_2,21,18,200,0.18504256146331133,89.47919870300615,-0.5979149630127107,0.7023969746926247,0.31638143251628614,8.112339154991316,-0.2845729538440672,1.0743735897999156,350
top1_short21_riskadj_rocfilter_w1_1_1_trend200_vol18_posscore,1_1_1,21,18,200,0.17681692249118108,74.21049652588903,-0.5681688396858242,0.6793972062730488,0.31638143251628614,8.112339154991316,-0.2845729538440672,1.0743735897999156,348
top1_short21_riskadj_rocfilter_w2_1_1_trend200_vol18_posscore,2_1_1,21,18,200,0.15356404466191775,43.288635869795264,-0.5980204435125251,0.6175312499100155,0.31638143251628614,8.112339154991316,-0.2845729538440672,1.0743735897999156,348
top1_short22_riskadj_rocfilter_w1_1_2_trend0_vol18_posscore,1_1_2,22,18,0,0.18040705081234987,80.54205928184793,-0.7131874977783821,0.677112623485397,0.3089669259043286,7.707856258214752,-0.2845543145984252,1.0246681676933969,376
top1_short24_riskadj_rocfilter_w2_1_1_trend0_vol16_posscore,2_1_1,24,16,0,0.1515482053572048,41.280142209945105,-0.7567123839530469,0.613200330268681,0.30822259372868,7.668132874229428,-0.4346889637008373,1.040299924107949,341
top1_short21_riskadj_rocfilter_w1_1_1_trend0_vol16_posscore,1_1_1,21,16,0,0.1737440678996589,69.16941005652839,-0.4574369217407175,0.6754006762040556,0.30568769999288303,7.534038819516402,-0.28938930728251444,1.0773148926497405,376
top1_short22_riskadj_rocfilter_w1_1_2_trend0_vol16_posscore,1_1_2,22,16,0,0.15830290007433434,48.37834477007699,-0.679171455667011,0.6269714121139053,0.3051626757909034,7.506493617976048,-0.2845157850522132,1.064311232859969,381
top1_short24_riskadj_rocfilter_w1_1_1_trend200_vol21_posscore,1_1_1,24,21,200,0.18432228139248164,88.03118454850727,-0.6831583553271365,0.7009685178095392,0.3049355121202646,7.494599708171519,-0.39118908096707905,1.0343071697466073,328
top1_short24_riskadj_rocfilter_w1_1_1_trend200_vol18_posscore,1_1_1,24,18,200,0.17834683127344797,76.84855043178035,-0.6831390835181574,0.6844523096949547,0.3048276357805004,7.488956584681059,-0.40022079845188063,1.03933668990364,321
top1_short24_riskadj_rocfilter_w2_1_1_trend200_vol18_posscore,2_1_1,24,18,200,0.1555041239259769,45.30814975116247,-0.7079773945338456,0.624356468612495,0.3048276357805004,7.488956584681059,-0.40022079845188063,1.03933668990364,325
top1_short22_riskadj_rocfilter_w1_1_1_trend200_vol10_posscore,1_1_1,22,10,200,0.17112924718768596,65.13726370667996,-0.683153340504669,0.6615740698163182,0.30291479263859133,7.389437434728906,-0.2740150407218489,1.015662003741745,365
top1_short22_riskadj_rocfilter_w2_1_1_trend200_vol10_posscore,2_1_1,22,10,200,0.14929860728163868,39.14223785857564,-0.7587053510066014,0.6042258935847847,0.30291479263859133,7.389437434728906,-0.2740150407218489,1.015662003741745,361
top1_short22_riskadj_rocfilter_w1_1_2_trend0_vol21_posscore,1_1_2,22,21,0,0.1650724996380608,56.63577529770711,-0.7489289037083433,0.6383106818356751,0.2978881817805623,7.132772013066566,-0.2845586681620702,1.017228622800161,382
top1_short24_riskadj_rocfilter_w1_1_1_trend0_vol16_posscore,1_1_1,24,16,0,0.17632390773485151,73.37886409406546,-0.7157347719529987,0.6765745061127357,0.29787558347938137,7.1321374653321445,-0.42006471974671455,1.0263727247975223,341
top1_short22_riskadj_rocfilter_w1_1_1_trend0_vol10_posscore,1_1_1,22,10,0,0.14255563599994736,33.33919626183038,-0.7362320232827088,0.5786781216538396,0.29687256456308697,7.081756591660101,-0.2801890446524895,1.0013937842979714,385
top1_short22_riskadj_rocfilter_w2_1_1_trend0_vol14_posscore,2_1_1,22,14,0,0.12234442538490597,20.385037385121556,-0.8008666981029707,0.5223813907670404,0.29471556351255,6.97433694696528,-0.3077111640086537,0.9886008324058977,368
top1_short24_riskadj_rocfilter_w1_1_2_trend200_vol16_posscore,1_1_2,24,16,200,0.1766937834838742,74.0019474429972,-0.6742673481274817,0.6804997253949515,0.2944629230524234,6.961837502020587,-0.42016141156142417,1.0139145096621083,327
top1_short24_riskadj_rocfilter_w2_1_1_trend0_vol18_posscore,2_1_1,24,18,0,0.14430295732811693,34.76025439463153,-0.7567062232064705,0.588930108377476,0.29421236743895696,6.949458151935965,-0.41524038848445244,1.0036336236806123,340
top1_short20_riskadj_rocfilter_w2_1_1_trend0_vol18_posscore,2_1_1,20,18,0,0.13070384354089049,25.039074988016246,-0.7249774197806123,0.5416579006568407,0.29363380021321106,6.920936907153856,-0.3088742949866736,0.9715836459409795,372
top1_short21_riskadj_rocfilter_w1_1_2_trend0_vol16_posscore,1_1_2,21,16,0,0.17640796745116472,73.52003006087423,-0.48347681663243514,0.6804102992434358,0.2923190479329494,6.8564573486437395,-0.28938930728251444,1.0374506665197742,386
top1_short24_riskadj_rocfilter_w2_1_1_trend200_vol21_posscore,2_1_1,24,21,200,0.15806266148725667,48.107306440293186,-0.7079861934410485,0.631694296393955,0.29191047087058664,6.836513284739073,-0.4003078554781597,1.0007457271827325,332
top1_short21_riskadj_rocfilter_w1_1_2_trend200_vol16_posscore,1_1_2,21,16,200,0.19585440811262056,114.13658101023776,-0.5093158603279606,0.7416721920213379,0.2916442219647448,6.823540621227314,-0.28938930728251444,1.036553956225997,357
top1_short21_riskadj_rocfilter_w1_1_1_trend200_vol16_posscore,1_1_1,21,16,200,0.18754526957142303,94.68878011770299,-0.47300926582736214,0.7180221182872079,0.2916442219647448,6.823540621227314,-0.28938930728251444,1.036553956225997,355
top1_short21_riskadj_rocfilter_w2_1_1_trend200_vol16_posscore,2_1_1,21,16,200,0.1643242861827059,55.66161364278498,-0.5093912245040879,0.6558963244329284,0.2916442219647448,6.823540621227314,-0.28938930728251444,1.036553956225997,354
top1_short20_riskadj_rocfilter_w1_1_1_trend200_vol18_posscore,1_1_1,20,18,200,0.17963587096201872,79.14018069476874,-0.5467783410512977,0.6836328319524732,0.291266681875499,6.805177663213358,-0.3059879087585665,0.9882780429479626,348
top1_short20_riskadj_rocfilter_w2_1_1_trend200_vol18_posscore,2_1_1,20,18,200,0.16440438970468163,55.76514485565891,-0.576004787921679,0.6451538204732037,0.291266681875499,6.805177663213358,-0.3059879087585665,0.9882780429479626,343
top1_short24_riskadj_rocfilter_w1_1_2_trend0_vol16_posscore,1_1_2,24,16,0,0.17972319972226103,79.2977578907949,-0.7119373438386843,0.6761353491123557,0.28826995963437296,6.660755344765094,-0.3776775626848392,1.0006772512072568,349
top1_short20_riskadj_rocfilter_w1_1_1_trend0_vol18_posscore,1_1_1,20,18,0,0.16302833912731352,54.01168172693214,-0.584713819524671,0.6314017539055858,0.2865203367723088,6.5775214887888405,-0.30888175757507463,0.9637596331321138,376
top1_short21_riskadj_rocfilter_w2_1_1_trend0_vol10_posscore,2_1_1,21,10,0,0.11041582441229791,15.105450612184875,-0.7709641019707726,0.4853828587999243,0.2844044118809099,6.477920424534621,-0.29782147776034507,0.9400894731633288,381
top1_short24_riskadj_rocfilter_w1_1_1_trend0_vol21_posscore,1_1_1,24,21,0,0.1750954781663403,71.34502588616522,-0.7157014420584914,0.6688709690651125,0.28418161279642806,6.467499813749149,-0.3912014278666972,0.9844596271212688,345
top1_short24_riskadj_rocfilter_w1_1_1_trend0_vol18_posscore,1_1_1,24,18,0,0.1691538505181942,62.23995742339159,-0.7157387100898432,0.652672231581941,0.2839636740345721,6.45731883073429,-0.40019855711908303,0.9890581616130371,338
