ticker,label,strategy,params,year,start,end,strategy_return,buy_hold_return,excess_return,trades,exposure,start_equity,end_equity,bh_start_equity,bh_end_equity
GGBR3,breakout_10_55,breakout,lookback=10;exit_lookback=55,2025,2025-01-02,2025-12-30,0.027390814944349806,0.08456152108633797,-0.05717070614198816,4,0.76,1082264.8268359134,1111908.9424285546,601603.356620222,652475.8515466746
GGBR3,breakout_10_55,breakout,lookback=10;exit_lookback=55,2026,2026-01-02,2026-07-17,0.09414358210442009,0.17275355099655543,-0.07860996889213534,4,0.8592592592592593,1111908.9424285546,1216588.0332427162,652475.8515466746,765193.3718408641
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2000,2000-01-03,2000-12-29,2.226584266907345,2.7099655428050626,-0.4833812758977176,3,0.3192307692307692,10000.0,32265.84266907345,9975.052524008677,37007.10115174286
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2001,2001-01-01,2001-12-31,0.16430892623104087,0.4230763271372273,-0.25876740090618644,3,0.4904214559386973,32265.84266907345,37567.40863196861,37007.10115174286,52663.929585018086
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2002,2002-01-01,2002-12-31,0.7622592192478286,0.4378381571006935,0.32442106214713506,8,0.6053639846743295,37567.40863196861,66203.51220493714,52663.929585018086,75722.20746020309
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2003,2003-01-01,2003-12-31,0.4246472309043148,0.9980443157725578,-0.573397084868243,4,0.5862068965517241,66203.51220493714,94316.65033890371,75722.20746020309,151296.32619360916
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2004,2004-01-01,2004-12-31,0.547865051485994,0.6085269257765804,-0.06066187429058645,4,0.2988505747126437,94316.65033890371,145989.44683281367,151296.32619360916,243364.21445349685
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2005,2005-01-03,2005-12-29,0.16506781720023467,0.09385740790858854,0.07121040929164613,4,0.8353413654618473,145989.44683281367,170087.60615577592,238672.8796098613,261074.0974281215
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2006,2006-01-02,2006-12-28,0.16593745833847584,0.5833614449130697,-0.4174239865745939,1,0.6162790697674418,170087.60615577592,198311.51121614108,259578.7486169719,411006.9824788951
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2007,2007-01-02,2007-12-28,0.41092027137676856,0.36612025397867654,0.04480001739809203,2,0.9183673469387755,198056.86139390597,279442.44062592083,410479.2067144298,560763.9581296825
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2008,2008-01-02,2008-12-30,-0.38316673763728815,-0.41003670050090457,0.026869962863616426,2,0.8514056224899599,268593.68460632855,165677.51872574294,538993.1127164745,317986.1551854991
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2009,2009-01-02,2009-12-30,0.6872766786727749,0.7404816623758093,-0.05320498370303439,3,0.5967741935483871,176950.55638061964,298564.5470591915,339625.02494791977,591111.1280057811
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2010,2010-01-04,2010-12-30,-0.1015764542795563,-0.2549978439427546,0.1534213896631983,3,0.8825910931174089,298564.5470591915,268237.4189953371,594013.9581296825,442541.67953471176
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2011,2011-01-03,2011-12-29,-0.2848692690741008,-0.28488026715632153,1.0998082220714522e-05,0,1.0,273995.43546910724,195942.5560373827,452041.7067144298,323263.94453982345
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2012,2012-01-02,2012-12-28,0.31921616352010673,0.23775094001323693,0.0814652235068698,2,0.7551020408163265,199141.43272347888,262710.59687536524,328541.7021844768,406652.8007123851
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2013,2013-01-02,2013-12-30,-0.07195397721018604,-0.07195573522198473,1.7580117986915056e-06,0,1.0,277201.0792438345,257255.35910528465,429083.3658311748,398208.35677126877
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2014,2014-01-02,2014-12-30,-0.4629135253530394,-0.4629258100821997,1.2284729160261243e-05,0,1.0,255209.65262335105,137069.65262335105,395041.7021844768,212166.70218447677
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2015,2015-01-02,2015-12-30,-0.5781539437169188,-0.5781817842154169,2.784049849813286e-05,0,1.0,140649.65945165916,59332.50415724082,217708.37942103378,91833.36016873352
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2016,2016-01-04,2016-12-29,1.7729488482818065,1.3723715907875778,0.4005772574942288,4,0.5662650602409639,56775.37617605491,157435.2139781578,87875.04986266128,208472.27183321945
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2017,2017-01-02,2017-12-29,0.8286127511235222,0.35202080547764303,0.47659194564587914,4,0.8385826771653543,152851.80665479734,279506.7626812297,202402.8029773616,273652.8007123851
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2018,2018-01-02,2018-12-28,0.06276625765455535,0.1249999496941423,-0.06223369203958695,2,0.6260162601626016,293252.8940670329,311659.2807739883,287111.1461255931,323000.02494791977
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2019,2019-01-02,2019-12-30,0.09226992652820654,0.3776167135306676,-0.2853467870024611,1,0.8991935483870968,316242.43674360804,345422.10314704175,327750.0385377788,451513.93094996444
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2020,2020-01-02,2020-12-30,0.09431862867170948,0.1503120013433703,-0.055993372671660824,2,0.4959677419354839,345422.10314704175,378001.8422287685,465236.1325357341,535166.7067144298
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2021,2021-01-04,2021-12-30,0.18050150400382092,0.05990565741564158,0.12059584658817935,3,0.7449392712550608,378001.8422287685,446231.74326727627,559444.4552991771,592958.3431814098
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2022,2022-01-03,2022-12-29,0.14413789034774038,0.0951742187792266,0.04896367156851378,1,0.868,444444.4643709445,508505.75184210384,590583.3522413158,646791.6614148997
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2023,2023-01-02,2023-12-28,0.066964664694811,-0.05064990577488204,0.11761457046969304,3,0.8387096774193549,508505.75184210384,542557.6690095931,649694.4915388011,616787.526759901
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2024,2024-01-02,2024-12-30,0.10808483995211948,0.00927274084584484,0.09881209910627464,2,0.8844621513944223,536220.5874666243,594177.9038419859,609583.3431814098,615235.8515466746
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2025,2025-01-02,2025-12-30,0.0923901320517393,0.08456152108633797,0.007828610965401328,0,1.0,579822.5791845457,633392.4638419859,601603.356620222,652475.8515466746
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,2026,2026-01-02,2026-07-17,0.41245191429351724,0.17275355099655543,0.2396983632969618,4,0.5925925925925926,633392.4638419859,894636.3980527004,652475.8515466746,765193.3718408641
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2000,2000-01-03,2000-12-29,2.1574995030525828,2.7099655428050626,-0.5524660397524799,13,0.49230769230769234,10000.0,31574.995030525828,9975.052524008677,37007.10115174286
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2001,2001-01-01,2001-12-31,0.2872443247235612,0.4230763271372273,-0.1358320024136661,8,0.632183908045977,31574.995030525828,40644.73315621902,37007.10115174286,52663.929585018086
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2002,2002-01-01,2002-12-31,0.29536737673461455,0.4378381571006935,-0.14247078036607896,16,0.5478927203065134,40644.73315621902,52649.86136664984,52663.929585018086,75722.20746020309
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2003,2003-01-01,2003-12-31,0.22612180849126529,0.9980443157725578,-0.7719225072812925,22,0.6819923371647509,52649.86136664984,64555.14323569111,75722.20746020309,151296.32619360916
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2004,2004-01-01,2004-12-31,0.33115818364370675,0.6085269257765804,-0.27736874213287366,13,0.8122605363984674,64555.14323569111,85933.1072144819,151296.32619360916,243364.21445349685
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2005,2005-01-03,2005-12-29,-0.04521765920779364,0.09385740790858854,-0.13907506711638218,7,0.7751004016064257,85933.1072144819,82047.41325779067,238672.8796098613,261074.0974281215
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2006,2006-01-02,2006-12-28,0.6021388894155255,0.5833614449130697,0.018777444502455776,2,0.9457364341085271,81577.4914614688,130698.47157138214,259578.7486169719,411006.9824788951
