strategy,signal_mode,lookback,skip,top_n,trend_window,vol_window,rebalance,score,weighting,absolute_momentum,max_weight,target_vol,roc_windows,roc_weights,positive_rule,full_start,full_end,full_candles,full_trades,full_exposure,full_avg_positions,full_total_return,full_cagr,full_max_drawdown,full_volatility,full_sharpe,full_turnover,train_end,train_total_return,train_cagr,train_max_drawdown,train_sharpe,test_start,test_total_return,test_cagr,test_max_drawdown,test_sharpe,test_trades,test_exposure
top2_roc_combo_risk_adjusted_roc12_6_3_w2_1_1_skip0_trend200_vol63_inv_vol_monthly_target0.25_adjusted,adjusted,252,0,2,200,63,monthly,roc_combo_risk_adjusted,inv_vol,True,1.0,0.25,"252,126,63","2,1,1",score,2000-01-03,2026-07-17,6662,622,0.8988291804262984,1.6317922545782046,20.076768942026156,0.12173044798492771,-0.4911397345495788,0.2479116264397026,0.587506108153863,127.13075502658612,2018-07-02,9.58779735241101,0.13608892087812774,-0.4911397345495788,0.6406496845737568,2018-07-03,0.8167271683513282,0.07710158377664134,-0.4792157971879285,0.4226771735137549,205,0.96996996996997
top3_roc_combo_risk_adjusted_roc12_6_3_w2_1_1_skip0_trend200_vol63_inv_vol_monthly_target0.25_adjusted,adjusted,252,0,3,200,63,monthly,roc_combo_risk_adjusted,inv_vol,True,1.0,0.25,"252,126,63","2,1,1",score,2000-01-03,2026-07-17,6662,804,0.8988291804262984,2.1820774542179526,17.703499956376916,0.1166918071650287,-0.5484205012276793,0.24120259284212328,0.5785048129761609,124.24539724458096,2018-07-02,8.565510679108673,0.12986857115836936,-0.5484205012276793,0.62768872383736,2018-07-03,0.7834105606305333,0.07462430441530787,-0.5072198762600952,0.419634516671325,288,0.96996996996997
top3_roc_combo_risk_adjusted_roc12_6_3_w1_1_1_skip0_trend200_vol63_inv_vol_monthly_target0.35_adjusted,adjusted,252,0,3,200,63,monthly,roc_combo_risk_adjusted,inv_vol,True,1.0,0.35,"252,126,63","1,1,1",score,2000-01-03,2026-07-17,6662,814,0.9118883218252777,2.2472230561392976,22.836445306137854,0.12694400457308563,-0.5794647389666969,0.2577420057674533,0.5928017911959781,131.68709512159091,2018-07-02,11.340111349843264,0.14553609412837565,-0.5794647389666969,0.6474831160413083,2018-07-03,0.7709449607431602,0.07368698965621534,-0.5070646879769936,0.41462278877253816,288,0.96996996996997
top2_roc_combo_risk_adjusted_roc12_6_3_w1_1_1_skip0_trend200_vol63_inv_vol_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_combo_risk_adjusted,inv_vol,True,1.0,0.0,"252,126,63","1,1,1",all_windows,2000-01-03,2026-07-17,6662,511,0.8009606724707296,1.322425697988592,38.623763461302595,0.14873568436934037,-0.7021243564749027,0.28905591150631066,0.6240044537368848,168.38006587809946,2018-07-02,19.565247667001366,0.1776128670190973,-0.5901879463051997,0.7036540754055313,2018-07-03,0.7566346667038062,0.07260381917425307,-0.6008934774598719,0.39160373026188383,186,0.9269269269269269
top2_roc_combo_risk_adjusted_roc12_6_3_w1_1_1_skip0_trend200_vol63_equal_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_combo_risk_adjusted,equal,True,1.0,0.0,"252,126,63","1,1,1",all_windows,2000-01-03,2026-07-17,6662,509,0.8009606724707296,1.322425697988592,39.53230739628555,0.1497175240328512,-0.7122370888884852,0.2923035362174079,0.623236288435839,167.05763846552406,2018-07-02,20.160185913726135,0.17943019271092164,-0.6076277817799075,0.7044015836470057,2018-07-03,0.7435307052872275,0.07160515993771877,-0.5981517762820926,0.3870336257822429,181,0.9269269269269269
top2_roc_combo_roc12_6_3_w1_1_1_skip0_trend200_vol63_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_combo,inv_vol,True,1.0,0.0,"252,126,63","1,1,1",score,2000-01-03,2026-07-17,6662,612,0.9118883218252777,1.6639147403182228,55.43107868018986,0.16414541092756618,-0.5777869370583714,0.2950421462739952,0.6627463882562511,143.06694216585063,2018-07-02,28.7822288956894,0.20142987166872972,-0.5777869370583714,0.7650608000333055,2018-07-03,0.7284583131703617,0.07044832602587081,-0.567504807056254,0.3811028643462752,205,0.96996996996997
top3_roc_combo_risk_adjusted_roc12_6_3_w1_1_1_skip0_trend200_vol63_inv_vol_monthly_target0.25_adjusted,adjusted,252,0,3,200,63,monthly,roc_combo_risk_adjusted,inv_vol,True,1.0,0.25,"252,126,63","1,1,1",score,2000-01-03,2026-07-17,6662,827,0.9118883218252777,2.2472230561392976,21.682902037097655,0.12483929294086615,-0.5072818681793188,0.24178930273363006,0.6077310410513179,123.24498701017953,2018-07-02,11.19771739774054,0.1448174271888525,-0.4969310185355271,0.6784466651943637,2018-07-03,0.7019559424318476,0.06839262795580647,-0.5070646879769936,0.39732817518087665,289,0.96996996996997
top2_roc_combo_roc12_6_3_w1_1_2_skip0_trend200_vol63_inv_vol_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_combo,inv_vol,True,1.0,0.0,"252,126,63","1,1,2",all_windows,2000-01-03,2026-07-17,6662,516,0.8009606724707296,1.322425697988592,46.90824267530225,0.15698431173370198,-0.6415369327378085,0.29125595262619014,0.6460904173781079,175.45640402331946,2018-07-02,24.816372405921285,0.19218229769278028,-0.5901979140525884,0.7407988273435783,2018-07-03,0.6938185593466499,0.0677558143415784,-0.5704174544863022,0.3756286476839941,197,0.9269269269269269
top3_roc_combo_risk_adjusted_roc12_6_3_w2_1_1_skip0_trend200_vol63_equal_monthly_posscore_adjusted,adjusted,252,0,3,200,63,monthly,roc_combo_risk_adjusted,equal,True,1.0,0.0,"252,126,63","2,1,1",score,2000-01-03,2026-07-17,6662,787,0.8988291804262984,2.1820774542179526,20.06150990634162,0.12169983260089756,-0.6773420133672519,0.26990714912905106,0.5605772757180473,130.20409751564418,2018-07-02,10.408866302074655,0.14068628680100992,-0.6773420133672519,0.6151358830895194,2018-07-03,0.6921252859306901,0.06762296589801964,-0.516887776868395,0.3846929250842536,266,0.96996996996997
top2_roc_combo_roc12_6_3_w1_1_2_skip0_trend200_vol63_equal_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_combo,equal,True,1.0,0.0,"252,126,63","1,1,2",all_windows,2000-01-03,2026-07-17,6662,511,0.8009606724707296,1.322425697988592,42.148215426040174,0.15243052207984875,-0.6548069275026349,0.2938150978614026,0.6296305061298586,171.18986409739986,2018-07-02,22.730923275311934,0.18676496834097445,-0.6076287747624615,0.7217035233350005,2018-07-03,0.6554881607517993,0.06471964983714273,-0.5750128661750131,0.3647608991310502,184,0.9269269269269269
top2_roc_combo_roc12_6_3_w1_1_1_skip0_trend200_vol63_inv_vol_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_combo,inv_vol,True,1.0,0.0,"252,126,63","1,1,1",all_windows,2000-01-03,2026-07-17,6662,510,0.8009606724707296,1.322425697988592,38.799851839842326,0.14892765949825604,-0.654883335449925,0.29215992451213174,0.6209828205247132,170.74301768466782,2018-07-02,20.99602614090669,0.1819033760709141,-0.5902129273198427,0.7114187990558877,2018-07-03,0.6484050656173688,0.06415186818862018,-0.5671902965750535,0.3623415540324521,195,0.9269269269269269
