ticker,strategy,start,end,candles,trades,exposure,final_equity,total_return,cagr,max_drawdown,annual_volatility,sharpe,benchmark_final_equity,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown,excess_total_return
BBSE3,buy_and_hold,2013-04-29,2026-07-17,3289,1,1.0,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,0.2738864784242934,0.665899144274145,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,0.0
VALE3,buy_and_hold,2000-01-03,2026-07-17,6662,1,1.0,566536.9745495663,55.65369745495663,0.164318155524231,-0.8408029096476701,0.38958674251306535,0.5852750657108211,566536.9745495663,55.65369745495663,0.164318155524231,-0.8408029096476701,0.0
GGBR3,buy_and_hold,2000-05-19,2026-07-17,5856,1,1.0,352978.9038749614,34.297890387496146,0.14594648298089452,-0.9122995153080269,0.4048058827453829,0.5391787201735541,352978.9038749614,34.297890387496146,0.14594648298089452,-0.9122995153080269,0.0
LOGG3,buy_and_hold,2018-12-21,2026-07-17,1881,1,1.0,27318.97998076661,1.731897998076661,0.14197325208063627,-0.6230028750733505,0.45829203137991126,0.4914611884499961,27318.97998076661,1.731897998076661,0.14197325208063627,-0.6230028750733505,0.0
