strategy,signal_mode,lookback,skip,top_n,trend_window,vol_window,rebalance,score,weighting,absolute_momentum,max_weight,target_vol,roc_windows,roc_weights,positive_rule,short_window,short_weight,full_start,full_end,full_candles,full_trades,full_exposure,full_avg_positions,full_total_return,full_cagr,full_max_drawdown,full_volatility,full_sharpe,full_turnover,train_end,train_total_return,train_cagr,train_max_drawdown,train_sharpe,test_start,test_total_return,test_cagr,test_max_drawdown,test_sharpe,test_trades,test_exposure
top1_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_2_short21_trend200_vol63_equal_monthly_posscore_adjusted,adjusted,252,0,1,200,63,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","1,1,2",score,21,1.0,2000-01-03,2026-07-17,6662,363,0.7815971179825878,0.7815971179825878,38.73358799652581,0.1488555134048959,-0.6361437859291595,0.31510660904264937,0.5978560309446334,358.13465370547345,2018-07-02,7.700568086732559,0.12409323396789573,-0.6361437859291595,0.524669453487793,2018-07-03,3.563687069226086,0.20787362336950577,-0.32606482732154685,0.778819181723033,125,0.8853853853853854
top1_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_1_short21_trend200_vol63_equal_monthly_posall_windows_adjusted,adjusted,252,0,1,200,63,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","1,1,1",all_windows,21,1.0,2000-01-03,2026-07-17,6662,294,0.6742719903932753,0.6742719903932753,23.37493033640135,0.12789315303449822,-0.6076601683674728,0.2923506605441125,0.5577800516718313,288.24584963502787,2018-07-02,4.500863097262267,0.09656878498422228,-0.6076601683674728,0.45870759461702043,2018-07-03,3.43009655746853,0.20341758970014534,-0.33343764659813646,0.7996688288816591,108,0.8218218218218218
top1_short_risk_adjusted_roc_filter_roc12_6_3_w2_1_1_short21_trend200_vol63_equal_monthly_posall_windows_adjusted,adjusted,252,0,1,200,63,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","2,1,1",all_windows,21,1.0,2000-01-03,2026-07-17,6662,294,0.6742719903932753,0.6742719903932753,23.37493033640135,0.12789315303449822,-0.6076601683674728,0.2923506605441125,0.5577800516718313,288.24584963502787,2018-07-02,4.500863097262267,0.09656878498422228,-0.6076601683674728,0.45870759461702043,2018-07-03,3.43009655746853,0.20341758970014534,-0.33343764659813646,0.7996688288816591,108,0.8218218218218218
top1_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_2_short21_trend200_vol63_equal_monthly_posall_windows_adjusted,adjusted,252,0,1,200,63,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","1,1,2",all_windows,21,1.0,2000-01-03,2026-07-17,6662,294,0.6742719903932753,0.6742719903932753,23.37493033640135,0.12789315303449822,-0.6076601683674728,0.2923506605441125,0.5577800516718313,288.24584963502787,2018-07-02,4.500863097262267,0.09656878498422228,-0.6076601683674728,0.45870759461702043,2018-07-03,3.43009655746853,0.20341758970014534,-0.33343764659813646,0.7996688288816591,108,0.8218218218218218
top2_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_1_short21_trend200_vol21_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,21,monthly,short_risk_adjusted_roc_filter,inv_vol,True,1.0,0.0,"252,126,63","1,1,1",score,21,1.0,2000-01-03,2026-07-17,6662,642,0.7817472230561393,1.3068147703392374,38.050690248551625,0.14810517467655382,-0.4664529070808008,0.26675475704174056,0.6512359725659183,312.28282806881253,2018-07-02,7.792261222712623,0.12473061780139472,-0.4664529070808008,0.56724926490182,2018-07-03,3.417291852053153,0.20298432118221332,-0.31391047504616143,0.8591929581392656,236,0.8853853853853854
top2_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_2_short21_trend200_vol63_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,short_risk_adjusted_roc_filter,inv_vol,True,1.0,0.0,"252,126,63","1,1,2",score,21,1.0,2000-01-03,2026-07-17,6662,645,0.7815971179825878,1.3099669768838187,69.11511841715037,0.17370983079016633,-0.5148809056133772,0.26655025607855026,0.734290161534448,303.09428367135405,2018-07-02,15.414931774182488,0.163346971144259,-0.5148809056133772,0.6904215465190525,2018-07-03,3.264603097026182,0.19773127156122405,-0.30157637457318576,0.8458206844314266,234,0.8853853853853854
top2_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_1_short21_trend200_vol63_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,short_risk_adjusted_roc_filter,inv_vol,True,1.0,0.0,"252,126,63","1,1,1",score,21,1.0,2000-01-03,2026-07-17,6662,645,0.7817472230561393,1.3068147703392374,53.010192094804616,0.16222334668768812,-0.4552044775475165,0.26750470726536746,0.6958998900839996,305.13748000788434,2018-07-02,11.735701953601895,0.1474922396471099,-0.4552044775475165,0.6388422548272893,2018-07-03,3.2335081683014213,0.19664135068196154,-0.301536546423664,0.8405170331735117,236,0.8853853853853854
top2_short_risk_adjusted_roc_filter_roc12_6_3_w2_1_1_short21_trend200_vol21_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,21,monthly,short_risk_adjusted_roc_filter,inv_vol,True,1.0,0.0,"252,126,63","2,1,1",score,21,1.0,2000-01-03,2026-07-17,6662,627,0.7719903932752927,1.2815971179825878,26.62581423041505,0.13322721839016927,-0.504157471701866,0.26580512927169697,0.6035490614337439,306.8542912235994,2018-07-02,5.5102345919841635,0.10660347943158444,-0.504157471701866,0.5090079069991579,2018-07-03,3.2218757822428525,0.19623181702743286,-0.31391047504616143,0.835923450786004,235,0.8853853853853854
top2_short_risk_adjusted_roc_filter_roc12_6_3_w2_1_1_short21_trend200_vol63_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,short_risk_adjusted_roc_filter,inv_vol,True,1.0,0.0,"252,126,63","2,1,1",score,21,1.0,2000-01-03,2026-07-17,6662,630,0.7719903932752927,1.2815971179825878,33.08197440542319,0.14223193647817878,-0.4936592045614775,0.26638652468050994,0.6325647653740242,302.18311956105043,2018-07-02,7.382381866135589,0.1218310466439756,-0.4936592045614775,0.5581708206978053,2018-07-03,3.0580007749503926,0.19035481178977975,-0.301536546423664,0.8186251472338516,235,0.8853853853853854
top2_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_2_short21_trend200_vol63_equal_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","1,1,2",score,21,1.0,2000-01-03,2026-07-17,6662,643,0.7815971179825878,1.3099669768838187,62.61538574187972,0.16941467385646436,-0.5076903869120006,0.2713156668279608,0.7126532444884622,299.6349418218261,2018-07-02,15.105995917246133,0.16215243437449467,-0.5076903869120006,0.6828262822930169,2018-07-03,2.930218584734203,0.18562619677015157,-0.2973140158612615,0.784058730283864,233,0.8853853853853854
