rank,trading_strategy,strategy_params,management_strategy,start,end,candles,trades,exposure,avg_positions,initial_equity,final_equity,total_return,cagr,average_annual_return,max_drawdown,annual_volatility,sharpe,turnover
30,buy_and_hold,,top1_roc_combo_risk_adjusted_roc12_6_3_w1_1_2_skip0_trend0_vol63_equal_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,66,0.9714017815283638,0.980309423347398,10000.0,54812.121111111104,4.481212111111111,0.21945810405767663,0.3516830186949268,-0.6357434362080938,0.37488697407104554,0.7180819578757222,64.94755423956389
31,buy_and_hold,,top1_roc_combo_risk_adjusted_roc12_6_3_w1_1_2_skip0_trend200_vol63_equal_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,66,0.9714017815283638,0.980309423347398,10000.0,54812.121111111104,4.481212111111111,0.21945810405767663,0.3516830186949268,-0.6357434362080938,0.37488697407104554,0.7180819578757222,64.94755423956389
32,buy_and_hold,,top1_roc_combo_risk_adjusted_roc12_6_3_w1_1_1_skip0_trend200_vol63_inv_vol_monthly_target0.35_adjusted,2018-01-02,2026-07-31,2133,87,0.9714017815283638,0.9896858884200657,10000.0,54243.63984126984,4.424363984126984,0.21797636118477337,0.317026437005228,-0.5581838311204186,0.3234943898923855,0.7719112913943018,60.20562861406546
33,buy_and_hold,,top1_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_1_short21_trend0_vol63_equal_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,152,0.919831223628692,0.9587435536802625,10000.0,52489.87057758006,4.248987057758006,0.21331711054219316,0.2595820829543796,-0.49948824956199145,0.34346066319977986,0.7350615253167228,148.59990001263344
34,buy_and_hold,,top1_risk_adjusted_lb21_skip0_trend200_vol63_equal_monthly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,153,0.9118612283169245,0.9681200187529302,10000.0,52249.77779020212,4.224977779020212,0.21266858742749983,0.2511087618956061,-0.4924128632492055,0.3403731680396564,0.737181201606077,144.5806695131578
35,buy_and_hold,,top1_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_2_short21_trend0_vol63_equal_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,151,0.8921706516643225,0.9418659165494608,10000.0,50808.46502333629,4.080846502333629,0.20871914087761612,0.2642973456404624,-0.46497928777641173,0.3376894502091915,0.7306768720879242,146.57742679771658
36,buy_and_hold,,top1_risk_adjusted_lb252_skip0_trend0_vol63_equal_weekly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,117,0.9910923581809657,0.9976558837318331,10000.0,50796.96476190474,4.079696476190474,0.20868723219078134,0.3283396948697581,-0.7122287783986152,0.4030087633161954,0.6725480919193554,110.89361883065052
37,buy_and_hold,,top1_momentum_lb126_skip21_trend0_vol21_equal_monthly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,72,0.9620253164556962,0.9718706047819972,10000.0,50785.563174603194,4.078556317460319,0.2086555909854273,0.29739934526234496,-0.7065696827987547,0.4121280019959068,0.6675831744509448,70.83788847128871
38,buy_and_hold,,top1_momentum_lb126_skip21_trend0_vol63_equal_monthly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,72,0.9620253164556962,0.9718706047819972,10000.0,50785.563174603194,4.078556317460319,0.2086555909854273,0.29739934526234496,-0.7065696827987547,0.4121280019959068,0.6675831744509448,70.83788847128871
39,buy_and_hold,,top2_voltarget_lb252_trend200_vol63_target0.3_monthly_adjusted,2018-01-02,2026-07-31,2133,206,0.9714017815283638,1.8345053914674168,10000.0,49780.29936507934,3.9780299365079346,0.20584084781285217,0.25134923904816364,-0.5433632335896303,0.286613473882429,0.798157264866393,45.158462979840664
40,buy_and_hold,,top1_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_1_short21_trend0_vol63_equal_monthly_posall_windows_adjusted,2018-01-02,2026-07-31,2133,134,0.8241912798874824,0.8715424285044538,10000.0,49650.25164015383,3.9650251640153833,0.2054730531877833,0.2459517472047957,-0.4571342740673112,0.3204337373787492,0.7439065988046888,128.74885558621432
41,buy_and_hold,,top1_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_1_short21_trend200_vol63_equal_monthly_posall_windows_adjusted,2018-01-02,2026-07-31,2133,134,0.8241912798874824,0.8715424285044538,10000.0,49650.25164015383,3.9650251640153833,0.2054730531877833,0.2459517472047957,-0.4571342740673112,0.3204337373787492,0.7439065988046888,128.74885558621432
42,buy_and_hold,,top1_short_risk_adjusted_roc_filter_roc12_6_3_w2_1_1_short21_trend0_vol63_equal_monthly_posall_windows_adjusted,2018-01-02,2026-07-31,2133,134,0.8241912798874824,0.8715424285044538,10000.0,49650.25164015383,3.9650251640153833,0.2054730531877833,0.2459517472047957,-0.4571342740673112,0.3204337373787492,0.7439065988046888,128.74885558621432
43,buy_and_hold,,top1_short_risk_adjusted_roc_filter_roc12_6_3_w2_1_1_short21_trend200_vol63_equal_monthly_posall_windows_adjusted,2018-01-02,2026-07-31,2133,134,0.8241912798874824,0.8715424285044538,10000.0,49650.25164015383,3.9650251640153833,0.2054730531877833,0.2459517472047957,-0.4571342740673112,0.3204337373787492,0.7439065988046888,128.74885558621432
44,buy_and_hold,,top1_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_2_short21_trend0_vol63_equal_monthly_posall_windows_adjusted,2018-01-02,2026-07-31,2133,134,0.8241912798874824,0.8715424285044538,10000.0,49650.25164015383,3.9650251640153833,0.2054730531877833,0.2459517472047957,-0.4571342740673112,0.3204337373787492,0.7439065988046888,128.74885558621432
45,buy_and_hold,,top1_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_2_short21_trend200_vol63_equal_monthly_posall_windows_adjusted,2018-01-02,2026-07-31,2133,134,0.8241912798874824,0.8715424285044538,10000.0,49650.25164015383,3.9650251640153833,0.2054730531877833,0.2459517472047957,-0.4571342740673112,0.3204337373787492,0.7439065988046888,128.74885558621432
46,buy_and_hold,,top2_roc_combo_roc12_6_3_w1_1_1_skip0_trend200_vol63_score_inv_vol_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,220,0.9714017815283638,1.8743553680262541,10000.0,49229.66342778433,3.922966342778433,0.20427771114870663,0.271654625510157,-0.6059723486616393,0.3178908978288249,0.7451791029654473,47.83473134646329
47,buy_and_hold,,top2_roc_combo_risk_adjusted_roc12_6_3_w2_1_1_skip0_trend200_vol63_score_inv_vol_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,224,0.9714017815283638,1.86685419596812,10000.0,48798.580334123675,3.8798580334123676,0.20304314325166506,0.25376308872035874,-0.5872215617847935,0.30465698558290594,0.7606066794904863,49.28971379515913
48,buy_and_hold,,top1_roc_combo_risk_adjusted_roc12_6_3_w2_1_1_skip0_trend0_vol63_equal_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,71,0.9901547116736991,1.0,10000.0,48727.2037625585,3.8727203762558498,0.2028378007196121,0.3101430719256175,-0.6878810472736523,0.39528423278656266,0.6655263413407764,68.91796460488209
49,buy_and_hold,,top1_momentum_lb126_skip0_trend200_vol21_equal_weekly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,185,0.9582747304266291,0.9676511954992968,10000.0,48654.82412698411,3.8654824126984106,0.20262930096420972,0.33665485996540545,-0.5886328895151804,0.37660889557715177,0.6798227680873093,180.73037361677638
