ticker,label,strategy,params,full_return,full_cagr,full_mdd,benchmark_return,excess_full_return,years,positive_years,positive_gt5_years,negative_years,beat_bh_years,avg_year_return,median_year_return,std_year_return,avg_excess_year_return,median_excess_year_return,worst_year,worst_year_return,best_year,best_year_return
GGBR3,legacy_rsi_21_45_70,rsi_reversion,rsi_period=21;lower=45;upper=70,135.7953134595569,0.2036476776792648,-0.8453425690508973,103.70928235908642,32.08603110047048,26,20,20,6,17,0.2859401776893779,0.15422340828939063,0.6144800639408357,-0.010660981150910196,0.0039282257319497305,2015,-0.5781539437169188,2000,2.226584266907345
GGBR3,legacy_rsi_atr_21_45_75,rsi_reversion_atr,rsi_period=21;lower=45;upper=75;atr_period=14;atr_mult=2,218.7694728533523,0.2253459701869899,-0.8886262123933522,103.70928235908642,115.0601904942659,26,19,19,7,14,0.28731104294942406,0.22072204759274006,0.5378147826372616,-0.009290115890864025,0.00816629300693733,2015,-0.5965199425292382,2000,2.1468612812585532
GGBR3,legacy_rsi_14_40_80,rsi_reversion,rsi_period=14;lower=40;upper=80,82.25723229760091,0.1813334053696986,-0.8624194653036462,103.70928235908642,-21.452050061485508,26,19,18,7,16,0.2502458086309523,0.17420136750347814,0.5250373511004042,-0.0463553502093358,6.628825099619373e-05,2015,-0.5780897987030851,2000,1.9500128226248488
GGBR3,legacy_rsi_7_50_90,rsi_reversion,rsi_period=7;lower=50;upper=90,87.54740252316218,0.1840791212809651,-0.8669181676475614,103.70928235908642,-16.16187983592424,26,19,18,7,17,0.2652265643453088,0.14773246452704558,0.5880301760107332,-0.0313745944949793,1.03738559035782e-05,2015,-0.5781481416546246,2000,2.277788416314598
GGBR3,legacy_rsi_14_50_80,rsi_reversion,rsi_period=14;lower=50;upper=80,84.479890590511,0.1825069026784009,-0.8488488660705478,103.70928235908642,-19.22939176857541,26,19,18,7,18,0.27438196242962815,0.16753413153390484,0.6414765282850476,-0.02221919641065995,1.3072377667566748e-05,2015,-0.5781636438896802,2000,2.4570422832448995
GGBR3,keltner_w40_atr20x1.5_exit0.5_tw0,keltner_breakout,window=40;atr_period=20;atr_mult=1.5;exit_z=0.5;trend_window=0,50.810188872037465,0.1604033411017926,-0.5230769254266151,103.70928235908642,-52.89909348704895,26,19,16,7,10,0.21540189428593343,0.07312872019950467,0.5326048941551587,-0.08119926455435467,-0.08607112671913386,2011,-0.25504381368338847,2000,2.4363282738040493
GGBR3,atr_breakout_10_20x3,atr_breakout,lookback=10;atr_period=20;atr_mult=3,84.570647065301,0.1825541930143064,-0.678693912361549,103.70928235908642,-19.138635293785413,26,19,16,7,13,0.2289675746993357,0.12417590165760017,0.529642744590758,-0.06763358414095241,-0.015027302921537422,2015,-0.45934975837721803,2000,1.957070267875026
GGBR3,keltner_w20_atr14x1_exit1_tw0,keltner_breakout,window=20;atr_period=14;atr_mult=1;exit_z=1;trend_window=0,63.26547122220737,0.1698628278049008,-0.7202552180899588,103.70928235908642,-40.44381113687905,26,19,15,7,9,0.22228369250833377,0.09044638211281553,0.5442666825158056,-0.07431746633195432,-0.12974620969397305,2015,-0.32281517161267836,2000,2.470435040071413
GGBR3,keltner_w20_atr20x1_exit1_tw0,keltner_breakout,window=20;atr_period=20;atr_mult=1;exit_z=1;trend_window=0,61.48326633916059,0.1686235911771336,-0.7202547860478612,103.70928235908642,-42.22601601992582,26,19,15,7,9,0.22059201876816667,0.09044535916497254,0.5425079547981644,-0.07600914007212142,-0.06249476252280489,2015,-0.32281519050894547,2000,2.470435040071413
GGBR3,atr_breakout_10_14x3,atr_breakout,lookback=10;atr_period=14;atr_mult=3,75.52520881852915,0.1775857188967431,-0.7070416666166672,103.70928235908642,-28.184073540557264,26,19,15,7,14,0.2277215402031237,0.11389367116395333,0.5380122435248358,-0.06887961863716438,0.015938671127071036,2015,-0.4593491274462459,2000,1.957070267875026
GGBR3,keltner_w40_atr20x1.5_exit1_tw0,keltner_breakout,window=40;atr_period=20;atr_mult=1.5;exit_z=1;trend_window=0,34.74090517865559,0.1442796177122551,-0.608302095252887,103.70928235908642,-68.96837718043082,26,19,14,7,9,0.20255941398799995,0.07732643086084012,0.5320860727560172,-0.09404174485228814,-0.10479886555569945,2011,-0.3133902180930038,2000,2.4363282738040493
GGBR3,keltner_w20_atr10x1.5_exit0.5_tw0,keltner_breakout,window=20;atr_period=10;atr_mult=1.5;exit_z=0.5;trend_window=0,65.60807259326342,0.1714423571542114,-0.640540012535953,103.70928235908642,-38.101209765823,26,19,13,7,11,0.20639990685517712,0.0930699170684004,0.4298488050585372,-0.09020125198511098,-0.08038045129252547,2015,-0.22951247530385954,2000,1.8412034813700147
GGBR3,keltner_w40_atr20x1.5_exit1_tw50,keltner_breakout,window=40;atr_period=20;atr_mult=1.5;exit_z=1;trend_window=50,32.6026720309139,0.1416224390281097,-0.608301088100955,103.70928235908642,-71.10661032817251,26,19,13,7,9,0.2055438527884328,0.04495162765816996,0.5692151264343731,-0.0910573060518553,-0.07179063988401291,2011,-0.3133884878082416,2000,2.650897328394426
GGBR3,atr_breakout_5_14x3,atr_breakout,lookback=5;atr_period=14;atr_mult=3,75.97984629217244,0.1778486195329531,-0.8775457365144416,103.70928235908642,-27.729436066913976,26,19,12,7,11,0.2611403229817116,0.041415687643737265,0.6318549773979844,-0.03546083585857651,-0.046259615276747934,2015,-0.5779199369488787,2016,2.090135155739977
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,116.33404129091188,0.1967067341134398,-0.8302761583240518,103.70928235908642,12.624758931825454,26,18,18,8,13,0.27288285715740107,0.10793885436923634,0.6105086217663056,-0.023718301682887008,-0.0033424288903284305,2015,-0.5557166510676677,2000,2.1574995030525828
GGBR3,legacy_rsi_atr_14_45_80,rsi_reversion_atr,rsi_period=14;lower=45;upper=80;atr_period=14;atr_mult=3,104.79695331590364,0.1920479606159315,-0.8859644708826273,103.70928235908642,1.0876709568172205,26,18,18,8,14,0.29147982155214114,0.16987220106573508,0.6667715055953186,-0.005121337288146954,0.0030531072277285576,2015,-0.5810708780258712,2000,2.4055104546130597
