ticker,label,strategy,params,full_return,full_cagr,full_mdd,full_trades,years,positive_years,positive_gt5_years,negative_years,beat_bh_years,avg_year_return,median_year_return,std_year_return,worst_year,worst_year_return,best_year,best_year_return,avg_bh_year_return,median_bh_year_return,avg_excess_year_return,median_excess_year_return,avg_year_mdd,worst_year_mdd,year,strategy_return,buy_hold_return,excess_return,year_mdd,trades,exposure
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2000,2.3990034011841455,2.7099655428050626,-0.3109621416209172,-0.19999986057226782,3,0.5384615384615384
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2001,0.38406648461107573,0.4230763271372273,-0.039009842526151584,-0.2437482301406313,4,0.8160919540229885
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2002,0.44066580684794476,0.4378381571006935,0.0028276497472512485,-0.21273696545718979,4,0.896551724137931
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2003,0.9980276393017649,0.9980443157725578,-1.6676470792953424e-05,-0.18027397021514313,0,1.0
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2004,0.6085218367744882,0.6085269257765804,-5.089002092173445e-06,-0.19521643613024187,0,1.0
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2005,-0.12569071099955975,0.09385740790858854,-0.2195481189081483,-0.4491380208238098,8,0.8674698795180723
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2006,0.5506574263905519,0.5833614449130697,-0.03270401852251781,-0.18965520397619962,2,0.9728682170542635
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2007,0.3661095406740906,0.36612025397867654,-1.071330458590758e-05,-0.20948629340395997,0,1.0
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2008,-0.036666623791052344,-0.41003670050090457,0.3733700767098522,-0.48351217790782297,6,0.7389558232931727
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2009,0.8927972037747349,0.7404816623758093,0.15231554139892567,-0.2977128219810895,2,0.9274193548387096
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2010,-0.3345304949425181,-0.2549978439427546,-0.07953265099976348,-0.36336250011758753,8,0.8582995951417004
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2011,-0.20559043783206965,-0.28488026715632153,0.07928982932425188,-0.37120118456080986,10,0.7670682730923695
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2012,0.15959022602985318,0.23775094001323693,-0.07816071398338376,-0.20178333389572423,2,0.9795918367346939
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2013,-0.1322303540487625,-0.07195573522198473,-0.06027461882677776,-0.37201840723092217,8,0.7580645161290323
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2014,-0.41328387193160243,-0.4629258100821997,0.04964193815059725,-0.4346001819309683,14,0.6048387096774194
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2015,-0.47836789280610237,-0.5781817842154169,0.09981389140931451,-0.5033330394375918,5,0.7276422764227642
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2016,1.8551488965858276,1.3723715907875778,0.48277730579824985,-0.33276504325079115,1,0.9196787148594378
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2017,0.35880973061715316,0.35202080547764303,0.006788925139510127,-0.2681920585034945,2,0.937007874015748
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2018,0.14307562969377607,0.1249999496941423,0.018075679999633776,-0.2696430722600174,3,0.9186991869918699
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2019,0.26593944543091697,0.3776167135306676,-0.11167726809975065,-0.2708269038279498,7,0.8911290322580645
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2020,0.5787672273943603,0.1503120013433703,0.42845522605098996,-0.41461967375824094,2,0.9435483870967742
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2021,0.13174028215938027,0.05990565741564158,0.0718346247437387,-0.24473611907804027,2,0.7044534412955465
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2022,0.04891573306590358,0.0951742187792266,-0.04625848571332303,-0.27741275852925373,4,0.92
GGBR3,legacy_breakout_5_55,breakout,lookback=5;exit_lookback=55,232.73660230794812,0.2281945689450519,-0.8052924040983814,115,26,17,15,9,12,0.32126681985822836,0.15133292786181463,0.6528961534136996,2015,-0.47836789280610237,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.024665661017940273,-7.901153339040512e-06,-0.2918884746676079,-0.5033330394375918,2023,-0.03270255940636502,-0.05064990577488204,0.017947346368517025,-0.2182983953279648,4,0.842741935483871
