ticker,strategy,label,params,start,end,candles,trades,exposure,total_return,cagr,max_drawdown,sharpe,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown,excess_total_return,fast,slow,signal_window,lookback,exit_lookback,rsi_period,lower,upper,trend_window,sma_window,stop_pct,window,num_std,exit_z,atr_period,atr_mult,max_hold,streak_rsi_period,rank_period,ibs_lower,ibs_upper,range_mult,volume_window,volume_mult,streak_length
MLAS3,keltner_breakout,keltner_w40_atr20x2_exit0.5_tw50,window=40;atr_period=20;atr_mult=2;exit_z=0.5;trend_window=50,2021-07-22,2026-07-17,1245,10,0.20321285140562248,0.29364119499401853,0.05299725715057502,-0.3069514696486799,0.3222544793579754,-0.8432598291934688,-0.3104400983129125,-0.9211179920945977,1.1369010241874873,,,,,,,,,50,,,40,,0.5,20,2.0,,,,,,,,,
MLAS3,rsi_ibs_reversion,rsi_ibs_reversion,rsi_period=3;lower=5;upper=70;ibs_lower=0.1;ibs_upper=0.8;trend_window=0;max_hold=5,2021-07-22,2026-07-17,1245,18,0.017670682730923693,0.29180517889300917,0.05269732937907334,-0.08109867101652213,0.7440510272163102,-0.8432598291934688,-0.3104400983129125,-0.9211179920945977,1.135065008086478,,,,,,3,5.0,70.0,0,,,,,,,,5,,,0.1,0.8,,,,
MLAS3,rsi_ibs_reversion,rsi_ibs_reversion,rsi_period=2;lower=20;upper=70;ibs_lower=0.2;ibs_upper=0.8;trend_window=200;max_hold=5,2021-07-22,2026-07-17,1245,28,0.03132530120481928,0.28265484631191895,0.05119744847349561,-0.09972968168382668,0.5839721447428596,-0.8432598291934688,-0.3104400983129125,-0.9211179920945977,1.1259146755053877,,,,,,2,20.0,70.0,200,,,,,,,,5,,,0.2,0.8,,,,
MLAS3,rsi_ibs_reversion,rsi_ibs_reversion,rsi_period=2;lower=5;upper=70;ibs_lower=0.2;ibs_upper=0.8;trend_window=200;max_hold=5,2021-07-22,2026-07-17,1245,14,0.013654618473895583,0.27751131933494655,0.05035058572681006,-0.06060463637195812,0.7195024660774682,-0.8432598291934688,-0.3104400983129125,-0.9211179920945977,1.1207711485284153,,,,,,2,5.0,70.0,200,,,,,,,,5,,,0.2,0.8,,,,
MLAS3,rsi_ibs_reversion,rsi_ibs_reversion,rsi_period=2;lower=5;upper=70;ibs_lower=0.2;ibs_upper=0.8;trend_window=200;max_hold=10,2021-07-22,2026-07-17,1245,14,0.013654618473895583,0.27751131933494655,0.05035058572681006,-0.06060463637195812,0.7195024660774682,-0.8432598291934688,-0.3104400983129125,-0.9211179920945977,1.1207711485284153,,,,,,2,5.0,70.0,200,,,,,,,,10,,,0.2,0.8,,,,
MLAS3,keltner_breakout,keltner_w40_atr10x2_exit0.5_tw0,window=40;atr_period=10;atr_mult=2;exit_z=0.5;trend_window=0,2021-07-22,2026-07-17,1245,10,0.18473895582329317,0.27359577914047883,0.049704077284022485,-0.27893481739764514,0.3135803356478949,-0.8432598291934688,-0.3104400983129125,-0.9211179920945977,1.1168556083339476,,,,,,,,,0,,,40,,0.5,10,2.0,,,,,,,,,
MLAS3,keltner_breakout,keltner_w40_atr10x2_exit0.5_tw50,window=40;atr_period=10;atr_mult=2;exit_z=0.5;trend_window=50,2021-07-22,2026-07-17,1245,10,0.18473895582329317,0.27359577914047883,0.049704077284022485,-0.27893481739764514,0.3135803356478949,-0.8432598291934688,-0.3104400983129125,-0.9211179920945977,1.1168556083339476,,,,,,,,,50,,,40,,0.5,10,2.0,,,,,,,,,
MLAS3,rsi_ibs_reversion,rsi_ibs_reversion,rsi_period=3;lower=5;upper=70;ibs_lower=0.1;ibs_upper=0.8;trend_window=0;max_hold=3,2021-07-22,2026-07-17,1245,18,0.015261044176706828,0.27089140995635774,0.04925662116397067,-0.08108887588725333,0.7442034906969868,-0.8432598291934688,-0.3104400983129125,-0.9211179920945977,1.1141512391498265,,,,,,3,5.0,70.0,0,,,,,,,,3,,,0.1,0.8,,,,
MLAS3,rsi_ibs_reversion,rsi_ibs_reversion,rsi_period=2;lower=20;upper=70;ibs_lower=0.2;ibs_upper=0.8;trend_window=200;max_hold=10,2021-07-22,2026-07-17,1245,28,0.0321285140562249,0.2664183552185264,0.048514850578707414,-0.09972968168382668,0.5550275479179531,-0.8432598291934688,-0.3104400983129125,-0.9211179920945977,1.1096781844119952,,,,,,2,20.0,70.0,200,,,,,,,,10,,,0.2,0.8,,,,
MLAS3,down_streak_reversion,down_streak_reversion,streak_length=4;ibs_lower=0.2;ibs_upper=0.8;trend_window=0;max_hold=5,2021-07-22,2026-07-17,1245,40,0.05381526104417671,0.26534331240872633,0.04833626316938555,-0.2388069491749265,0.39193596843559475,-0.8432598291934688,-0.3104400983129125,-0.9211179920945977,1.108603141602195,,,,,,,,,0,,,,,,,,5,,,0.2,0.8,,,,4
