ticker,strategy,label,params,start,end,candles,trades,exposure,total_return,benchmark_total_return,excess_total_return,cagr,benchmark_cagr,max_drawdown,benchmark_max_drawdown,sharpe,final_equity,benchmark_final_equity,train_ratio
PETR4,breakout,breakout_5_55,lookback=5;exit_lookback=55,2018-07-02,2026-07-17,1999,35,0.9089544772386193,6.708952393077103,3.8987021880250587,2.8102502050520446,0.2891639629449707,0.21848328922685778,-0.40720811891674413,-0.5983653896843235,0.9724641016952894,77089.52393077103,48987.021880250584,0.7
PETR4,rsi_reversion_atr,rsi_atr_21_45_75_atr14x2,rsi_period=21;lower=45;upper=75;atr_period=14;atr_mult=2,2018-07-02,2026-07-17,1999,11,0.9379689844922461,5.276679016509815,3.8987021880250587,1.3779768284847567,0.2566286701518241,0.21848328922685778,-0.5299821040555797,-0.5983653896843235,0.8598503201281087,62766.79016509815,48987.021880250584,0.7
PETR4,rsi_cross_reversion,rsi_cross_10_35_85,rsi_period=10;lower=35;upper=85,2018-07-02,2026-07-17,1999,9,0.9054527263631816,5.18625628427429,3.8987021880250587,1.287554096249231,0.2543630017996068,0.21848328922685778,-0.6146736826422765,-0.5983653896843235,0.8300580624655558,61862.5628427429,48987.021880250584,0.7
PETR4,rsi_reversion,rsi_21_45_70,rsi_period=21;lower=45;upper=70,2018-07-02,2026-07-17,1999,15,0.8049024512256128,5.173882206235759,3.8987021880250587,1.2751800182107003,0.2540506995597993,0.21848328922685778,-0.6007073675794781,-0.5983653896843235,0.8631756717253025,61738.82206235759,48987.021880250584,0.7
PETR4,rsi_reversion,rsi_14_40_80,rsi_period=14;lower=40;upper=80,2018-07-02,2026-07-17,1999,9,0.9139569784892446,5.0402878153647634,3.8987021880250587,1.1415856273397047,0.2506436196201127,0.21848328922685778,-0.6008808496903821,-0.5983653896843235,0.8294228840451034,60402.87815364763,48987.021880250584,0.7
TUPY3,rsi_reversion,rsi_21_45_70,rsi_period=21;lower=45;upper=70,2018-07-02,2026-07-17,1999,17,0.8854427213606804,1.2509777381943556,0.20489914825561706,1.0460785899387386,0.1061688995441743,0.023451242819145124,-0.5383369975923736,-0.5707748680991283,0.46363249021793873,22509.777381943557,12048.99148255617,0.7
TUPY3,rsi_reversion_atr,rsi_atr_21_45_75_atr14x2,rsi_period=21;lower=45;upper=75;atr_period=14;atr_mult=2,2018-07-02,2026-07-17,1999,35,0.9404702351175588,0.7583191837488907,0.20489914825561706,0.5534200354932737,0.07270608036077131,0.023451242819145124,-0.5652226700834071,-0.5707748680991283,0.37397986429737246,17583.191837488906,12048.99148255617,0.7
TUPY3,rsi_reversion_atr,rsi_atr_14_45_80_atr14x3,rsi_period=14;lower=45;upper=80;atr_period=14;atr_mult=3,2018-07-02,2026-07-17,1999,31,0.9444722361180591,0.6729616189361296,0.20489914825561706,0.46806247068051254,0.06608804262776724,0.023451242819145124,-0.5636270164256927,-0.5707748680991283,0.35639680172430177,16729.616189361295,12048.99148255617,0.7
PETR4,rsi_reversion,rsi_14_50_80,rsi_period=14;lower=50;upper=80,2018-07-02,2026-07-17,1999,9,0.9459729864932466,4.341980792160922,3.8987021880250587,0.4432786041358634,0.23168093853674776,0.21848328922685778,-0.5986192384266371,-0.5983653896843235,0.7785140412510209,53419.80792160922,48987.021880250584,0.7
LOGG3,rsi_reversion,rsi_21_45_70,rsi_period=21;lower=45;upper=70,2024-04-15,2026-07-17,565,5,0.9504424778761061,0.9225439805760882,0.594424209953542,0.32811977062254627,0.33654994225746404,0.2300315243270643,-0.2625750801829464,-0.26260718465613897,1.1575040186231458,19225.43980576088,15944.242099535419,0.7
LOGG3,rsi_reversion_hold,rsi_hold_14_50_85_max40,rsi_period=14;lower=50;upper=85;max_hold=40,2024-04-15,2026-07-17,565,27,0.9185840707964602,0.8907928011772692,0.594424209953542,0.2963685912237273,0.32670832587892273,0.2300315243270643,-0.2532945665412133,-0.26260718465613897,1.1120069242700785,18907.928011772692,15944.242099535419,0.7
TUPY3,rsi_cross_reversion,rsi_cross_10_35_85,rsi_period=10;lower=35;upper=85,2018-07-02,2026-07-17,1999,9,0.9389694847423712,0.5002666569396745,0.20489914825561706,0.2953675086840575,0.051740481080637446,0.023451242819145124,-0.574103894817743,-0.5707748680991283,0.31884650656238483,15002.666569396744,12048.99148255617,0.7
MLAS3,rsi_reversion_atr,rsi_atr_21_45_75_atr14x2,rsi_period=21;lower=45;upper=75;atr_period=14;atr_mult=2,2025-01-17,2026-07-17,374,5,0.839572192513369,0.7908927561275636,0.5008811842721252,0.29001157185543835,0.4767005102897208,0.3121030106576579,-0.3188496582433543,-0.3503408357073504,1.0733909225653067,17908.927561275636,15008.811842721252,0.7
MLAS3,rsi_reversion_trend_entry,rsi_trend_21_50_75_ma200,rsi_period=21;lower=50;upper=75;trend_window=200,2025-01-17,2026-07-17,374,3,0.9625668449197861,0.7861773532581515,0.5008811842721252,0.2852961689860263,0.4740983821224434,0.3121030106576579,-0.3503634373698077,-0.3503408357073504,1.044830408184593,17861.773532581516,15008.811842721252,0.7
TUPY3,rsi_reversion,rsi_14_40_80,rsi_period=14;lower=40;upper=80,2018-07-02,2026-07-17,1999,9,0.9439719859929965,0.4719982873903048,0.20489914825561706,0.26709913913468775,0.04925541686365609,0.023451242819145124,-0.5738765667661565,-0.5707748680991283,0.31174297428551223,14719.982873903049,12048.99148255617,0.7
PETR4,rsi_reversion_hold,rsi_hold_14_50_85_max40,rsi_period=14;lower=50;upper=85;max_hold=40,2018-07-02,2026-07-17,1999,81,0.7943971985992997,4.142850916695719,3.8987021880250587,0.24414872867065984,0.2258757517442498,0.21848328922685778,-0.6342010655614048,-0.5983653896843235,0.7459841005885995,51428.509166957185,48987.021880250584,0.7
MLAS3,rsi_cross_reversion,rsi_cross_10_35_85,rsi_period=10;lower=35;upper=85,2025-01-17,2026-07-17,374,3,0.8288770053475936,0.7349704912581518,0.5008811842721252,0.2340893069860266,0.4456923789801315,0.3121030106576579,-0.3503634373698077,-0.3503408357073504,1.0291550162975345,17349.704912581517,15008.811842721252,0.7
MLAS3,rsi_reversion_hold,rsi_hold_7_50_85_max40,rsi_period=7;lower=50;upper=85;max_hold=40,2025-01-17,2026-07-17,374,20,0.8663101604278075,0.7290832770369831,0.5008811842721252,0.2282020927648578,0.4424088908927599,0.3121030106576579,-0.33553400299932246,-0.3503408357073504,1.038656399142933,17290.83277036983,15008.811842721252,0.7
LOGG3,rsi_reversion_hold,rsi_hold_7_50_85_max40,rsi_period=7;lower=50;upper=85;max_hold=40,2024-04-15,2026-07-17,565,27,0.8973451327433628,0.8017950039354313,0.594424209953542,0.2073707939818894,0.2986222952438866,0.2300315243270643,-0.25922761131634875,-0.26260718465613897,1.0776707394828087,18017.950039354313,15944.242099535419,0.7
MLAS3,rsi_reversion,rsi_14_40_80,rsi_period=14;lower=40;upper=80,2025-01-17,2026-07-17,374,3,0.8368983957219251,0.6864936639877852,0.5008811842721252,0.18561247971565997,0.41854395132507216,0.3121030106576579,-0.3503634373698077,-0.3503408357073504,0.9857270766526938,16864.93663987785,15008.811842721252,0.7
PETR4,rsi_reversion,rsi_7_50_90,rsi_period=7;lower=50;upper=90,2018-07-02,2026-07-17,1999,13,0.9444722361180591,4.084059659790469,3.8987021880250587,0.1853574717654105,0.22412419041241938,0.21848328922685778,-0.5986665606076171,-0.5983653896843235,0.7515438494785571,50840.596597904696,48987.021880250584,0.7
MLAS3,rsi_reversion_atr,rsi_atr_14_45_80_atr14x3,rsi_period=14;lower=45;upper=80;atr_period=14;atr_mult=3,2025-01-17,2026-07-17,374,3,0.8422459893048129,0.6605377715746625,0.5008811842721252,0.1596565873025373,0.4039018242008863,0.3121030106576579,-0.3503634373698077,-0.3503408357073504,0.9630388092934188,16605.377715746625,15008.811842721252,0.7
MLAS3,rsi_reversion,rsi_14_50_80,rsi_period=14;lower=50;upper=80,2025-01-17,2026-07-17,374,3,0.9652406417112299,0.6585521944169017,0.5008811842721252,0.15767101014477647,0.4027786210244346,0.3121030106576579,-0.3503634373698077,-0.3503408357073504,0.9403191464268342,16585.521944169017,15008.811842721252,0.7
TUPY3,rsi_reversion_trend_entry,rsi_trend_21_50_75_ma200,rsi_period=21;lower=50;upper=75;trend_window=200,2018-07-02,2026-07-17,1999,7,0.9564782391195598,0.35998579104859885,0.20489914825561706,0.1550866427929818,0.038978467781712656,0.023451242819145124,-0.5738765667661565,-0.5707748680991283,0.28257243768478524,13599.85791048599,12048.99148255617,0.7
MLAS3,rsi_reversion,rsi_7_50_90,rsi_period=7;lower=50;upper=90,2025-01-17,2026-07-17,374,3,0.9786096256684492,0.6319722018221252,0.5008811842721252,0.13109101754999997,0.38769966796380473,0.3121030106576579,-0.3503634373698077,-0.3503408357073504,0.9170918016244746,16319.722018221251,15008.811842721252,0.7
MLAS3,rsi_reversion_hold,rsi_hold_14_50_85_max40,rsi_period=14;lower=50;upper=85;max_hold=40,2025-01-17,2026-07-17,374,18,0.8743315508021391,0.5950210494380643,0.5008811842721252,0.09413986516593909,0.3666012743600482,0.3121030106576579,-0.3849958177324825,-0.3503408357073504,0.9156163174256984,15950.210494380644,15008.811842721252,0.7
MLAS3,rsi_reversion,rsi_21_45_70,rsi_period=21;lower=45;upper=70,2025-01-17,2026-07-17,374,3,0.8368983957219251,0.5926291456507844,0.5008811842721252,0.09174796137865915,0.36522999938976963,0.3121030106576579,-0.3503634373698077,-0.3503408357073504,0.905768258064972,15926.291456507844,15008.811842721252,0.7
MLAS3,rsi_cross_reversion,rsi_cross_14_55_80,rsi_period=14;lower=55;upper=80,2025-01-17,2026-07-17,374,3,0.9518716577540107,0.5874633429863609,0.5008811842721252,0.08658215871423569,0.36226612362356647,0.3121030106576579,-0.3503634373698077,-0.3503408357073504,0.8818954442931892,15874.633429863608,15008.811842721252,0.7
LOGG3,rsi_reversion_atr,rsi_atr_14_45_80_atr14x3,rsi_period=14;lower=45;upper=80;atr_period=14;atr_mult=3,2024-04-15,2026-07-17,565,1,0.9982300884955753,0.6404225355171778,0.594424209953542,0.04599832556363581,0.2456557315586405,0.2300315243270643,-0.2625750801829464,-0.26260718465613897,0.933042733202278,16404.225355171777,15944.242099535419,0.7
LOGG3,rsi_reversion,rsi_14_50_80,rsi_period=14;lower=50;upper=80,2024-04-15,2026-07-17,565,1,0.9982300884955753,0.6404225355171778,0.594424209953542,0.04599832556363581,0.2456557315586405,0.2300315243270643,-0.2625750801829464,-0.26260718465613897,0.933042733202278,16404.225355171777,15944.242099535419,0.7
LOGG3,rsi_reversion,rsi_14_40_80,rsi_period=14;lower=40;upper=80,2024-04-15,2026-07-17,565,1,0.9982300884955753,0.6404225355171778,0.594424209953542,0.04599832556363581,0.2456557315586405,0.2300315243270643,-0.2625750801829464,-0.26260718465613897,0.933042733202278,16404.225355171777,15944.242099535419,0.7
LOGG3,rsi_reversion,rsi_7_50_90,rsi_period=7;lower=50;upper=90,2024-04-15,2026-07-17,565,1,0.9982300884955753,0.6404225355171778,0.594424209953542,0.04599832556363581,0.2456557315586405,0.2300315243270643,-0.2625750801829464,-0.26260718465613897,0.933042733202278,16404.225355171777,15944.242099535419,0.7
LOGG3,rsi_cross_reversion,rsi_cross_10_35_85,rsi_period=10;lower=35;upper=85,2024-04-15,2026-07-17,565,1,0.9982300884955753,0.6404225355171778,0.594424209953542,0.04599832556363581,0.2456557315586405,0.2300315243270643,-0.2625750801829464,-0.26260718465613897,0.933042733202278,16404.225355171777,15944.242099535419,0.7
LOGG3,rsi_cross_reversion,rsi_cross_14_55_80,rsi_period=14;lower=55;upper=80,2024-04-15,2026-07-17,565,1,0.9982300884955753,0.6404225355171778,0.594424209953542,0.04599832556363581,0.2456557315586405,0.2300315243270643,-0.2625750801829464,-0.26260718465613897,0.933042733202278,16404.225355171777,15944.242099535419,0.7
LOGG3,rsi_reversion_trend_entry,rsi_trend_21_50_80_ma50,rsi_period=21;lower=50;upper=80;trend_window=50,2024-04-15,2026-07-17,565,1,0.9982300884955753,0.6404225355171778,0.594424209953542,0.04599832556363581,0.2456557315586405,0.2300315243270643,-0.2625750801829464,-0.26260718465613897,0.933042733202278,16404.225355171777,15944.242099535419,0.7
LOGG3,rsi_reversion_trend_entry,rsi_trend_21_50_75_ma200,rsi_period=21;lower=50;upper=75;trend_window=200,2024-04-15,2026-07-17,565,1,0.9982300884955753,0.6404225355171778,0.594424209953542,0.04599832556363581,0.2456557315586405,0.2300315243270643,-0.2625750801829464,-0.26260718465613897,0.933042733202278,16404.225355171777,15944.242099535419,0.7
TUPY3,rsi_reversion,rsi_14_50_80,rsi_period=14;lower=50;upper=80,2018-07-02,2026-07-17,1999,9,0.9644822411205602,0.24936489920598315,0.20489914825561706,0.04446575095036609,0.02807414080480597,0.023451242819145124,-0.602033338470346,-0.5707748680991283,0.25419986170231496,12493.648992059832,12048.99148255617,0.7
MLAS3,rsi_reversion_trend_entry,rsi_trend_21_50_80_ma50,rsi_period=21;lower=50;upper=80;trend_window=50,2025-01-17,2026-07-17,374,1,0.9973262032085561,0.5404165484268812,0.5008811842721252,0.039535364154756,0.33512427300594316,0.3121030106576579,-0.3503634373698077,-0.3503408357073504,0.82891376439039,15404.165484268813,15008.811842721252,0.7
LOGG3,rsi_reversion_atr,rsi_atr_21_45_75_atr14x2,rsi_period=21;lower=45;upper=75;atr_period=14;atr_mult=2,2024-04-15,2026-07-17,565,3,0.9964601769911504,0.6011536552395873,0.594424209953542,0.006729445286045355,0.23233282350086482,0.2300315243270643,-0.2977572157698555,-0.26260718465613897,0.8749059068448045,16011.536552395874,15944.242099535419,0.7
TUPY3,rsi_reversion_trend_entry,rsi_trend_21_50_80_ma50,rsi_period=21;lower=50;upper=80;trend_window=50,2018-07-02,2026-07-17,1999,3,0.984992496248124,0.20552270501121672,0.20489914825561706,0.0006235567555996635,0.02351709654414047,0.023451242819145124,-0.5742933305718887,-0.5707748680991283,0.23964501857356754,12055.227050112167,12048.99148255617,0.7
PETR4,rsi_reversion_atr,rsi_atr_14_45_80_atr14x3,rsi_period=14;lower=45;upper=80;atr_period=14;atr_mult=3,2018-07-02,2026-07-17,1999,23,0.9259629814907454,3.8975564173229458,3.8987021880250587,-0.0011457707021129693,0.2184478432452397,0.21848328922685778,-0.6388568273824695,-0.5983653896843235,0.7288543223473015,48975.56417322945,48987.021880250584,0.7
TUPY3,rsi_reversion,rsi_7_50_90,rsi_period=7;lower=50;upper=90,2018-07-02,2026-07-17,1999,9,0.9699849924962481,0.13686002146501353,0.20489914825561706,-0.06803912679060353,0.016079783774704648,0.023451242819145124,-0.6020064138609269,-0.5707748680991283,0.22301459398034013,11368.600214650136,12048.99148255617,0.7
TUPY3,rsi_cross_reversion,rsi_cross_14_55_80,rsi_period=14;lower=55;upper=80,2018-07-02,2026-07-17,1999,9,0.943471735867934,0.10162964765781357,0.20489914825561706,-0.10326950059780349,0.012109767535660287,0.023451242819145124,-0.6019092432788884,-0.5707748680991283,0.20975033025063652,11016.296476578136,12048.99148255617,0.7
TUPY3,breakout,breakout_5_55,lookback=5;exit_lookback=55,2018-07-02,2026-07-17,1999,49,0.822911455727864,0.09630351249027513,0.20489914825561706,-0.10859563576534192,0.011499933624862013,0.023451242819145124,-0.5501756946088956,-0.5707748680991283,0.1968714985552482,10963.035124902752,12048.99148255617,0.7
PETR4,rsi_cross_reversion,rsi_cross_14_55_80,rsi_period=14;lower=55;upper=80,2018-07-02,2026-07-17,1999,9,0.9314657328664332,3.7863226158481256,3.8987021880250587,-0.11237957217693317,0.21497160540574223,0.21848328922685778,-0.6145855314072617,-0.5983653896843235,0.7343022430411716,47863.22615848125,48987.021880250584,0.7
