ticker,strategy,label,params,window,start,end,candles,trades,exposure,total_return,benchmark_total_return,excess_total_return,cagr,benchmark_cagr,max_drawdown,benchmark_max_drawdown,sharpe,final_equity,benchmark_final_equity,train_ratio
LOGG3,rsi_reversion,rsi_21_45_70,rsi_period=21;lower=45;upper=70,60/40,2023-07-12,2026-07-17,753,7,0.9030544488711819,1.3023307000356237,0.5877339792777261,0.7145967207578976,0.31870276140074405,0.16575365043519863,-0.2553635440886407,-0.255116202123422,1.0987667415813667,23023.30700035624,15877.33979277726,0.6
LOGG3,rsi_reversion,rsi_21_45_70,rsi_period=21;lower=45;upper=70,70/30,2024-04-15,2026-07-17,565,5,0.9504424778761061,0.9225439805760882,0.594424209953542,0.32811977062254627,0.33654994225746404,0.2300315243270643,-0.2625750801829464,-0.26260718465613897,1.1575040186231458,19225.43980576088,15944.242099535419,0.7
LOGG3,rsi_reversion,rsi_21_45_70,rsi_period=21;lower=45;upper=70,80/20,2025-01-14,2026-07-17,377,5,0.9257294429708223,1.07976636747241,0.8455223381075576,0.23424402936485245,0.6277033392343927,0.5033126773664556,-0.15398678054460835,-0.15406477359624293,1.7494620587634027,20797.663674724103,18455.223381075575,0.8
LOGG3,rsi_reversion,rsi_21_45_70,rsi_period=21;lower=45;upper=70,full,2018-12-21,2026-07-17,1881,17,0.8277511961722488,2.3718729527811404,1.3939800300655643,0.9778929227155762,0.1741688238476169,0.12222755962907006,-0.5363068371776875,-0.6031642100266548,0.6067261568005926,33718.7295278114,23939.800300655643,
PETR4,breakout,breakout_5_55,lookback=5;exit_lookback=55,60/40,2015-11-03,2026-07-17,2665,45,0.899812382739212,25.024916906372503,9.621445846186075,15.403471060186428,0.3559743079402542,0.2470525998528703,-0.4072018976527161,-0.5974726504733368,1.0370987603524424,260249.16906372504,106214.45846186075,0.6
PETR4,breakout,breakout_5_55,lookback=5;exit_lookback=55,70/30,2018-07-02,2026-07-17,1999,35,0.9089544772386193,6.708952393077103,3.8987021880250587,2.8102502050520446,0.2891639629449707,0.21848328922685778,-0.40720811891674413,-0.5983653896843235,0.9724641016952894,77089.52393077103,48987.021880250584,0.7
PETR4,breakout,breakout_5_55,lookback=5;exit_lookback=55,80/20,2021-03-16,2026-07-17,1333,21,0.9249812453113279,3.3021866644034654,2.445550039510314,0.8566366248931514,0.3144854140691873,0.2609105959744138,-0.4071842434819344,-0.2553109433368691,1.1271129403378601,43021.86664403466,34455.50039510314,0.8
PETR4,breakout,breakout_5_55,lookback=5;exit_lookback=55,full,2000-01-03,2026-07-17,6662,127,0.8622035424797359,37.78066046413171,14.43078147110415,23.349878993027556,0.14780498859488445,0.10862649779371036,-0.8048630795704581,-0.7873683331028808,0.5737685913341299,387806.60464131704,154307.81471104152,
TUPY3,rsi_reversion,rsi_21_45_70,rsi_period=21;lower=45;upper=70,60/40,2015-11-03,2026-07-17,2665,21,0.8814258911819888,1.4102508155558229,0.1371842881641987,1.2730665273916242,0.08567344489003581,0.012084410412811275,-0.5380607692174274,-0.5271693407635448,0.41296891569790806,24102.50815555823,11371.842881641987,0.6
TUPY3,rsi_reversion,rsi_21_45_70,rsi_period=21;lower=45;upper=70,70/30,2018-07-02,2026-07-17,1999,17,0.8854427213606804,1.2509777381943556,0.20489914825561706,1.0460785899387386,0.1061688995441743,0.023451242819145124,-0.5383369975923736,-0.5707748680991283,0.46363249021793873,22509.777381943557,12048.99148255617,0.7
TUPY3,rsi_reversion,rsi_21_45_70,rsi_period=21;lower=45;upper=70,80/20,2021-03-16,2026-07-17,1333,13,0.8837209302325582,0.793436741717896,-0.04196532267099651,0.8354020643888925,0.11568535243816958,-0.008002056864074625,-0.5032146406839442,-0.5305357132538198,0.5059903798624098,17934.36741717896,9580.346773290035,0.8
TUPY3,rsi_reversion,rsi_21_45_70,rsi_period=21;lower=45;upper=70,full,2000-01-03,2026-07-17,6662,53,0.7637346142299609,4.6004059869595215,-0.7964597346931884,5.39686572165271,0.06708051848336583,-0.058227531998499504,-0.9135653516336827,-0.8013653718245024,0.36118977849018613,56004.059869595214,2035.402653068116,
MLAS3,rsi_reversion_atr,rsi_atr_21_45_75_atr14x2,rsi_period=21;lower=45;upper=75;atr_period=14;atr_mult=2,60/40,2024-07-19,2026-07-17,498,5,0.8795180722891566,0.041659349594477035,-0.12631116468950498,0.16797051428398202,0.02068866955292803,-0.06550345369132848,-0.573863061218215,-0.5935288894012423,0.2937525249724158,10416.59349594477,8736.88835310495,0.6
MLAS3,rsi_reversion_atr,rsi_atr_21_45_75_atr14x2,rsi_period=21;lower=45;upper=75;atr_period=14;atr_mult=2,70/30,2025-01-17,2026-07-17,374,5,0.839572192513369,0.7908927561275636,0.5008811842721252,0.29001157185543835,0.4767005102897208,0.3121030106576579,-0.3188496582433543,-0.3503408357073504,1.0733909225653067,17908.927561275636,15008.811842721252,0.7
MLAS3,rsi_reversion_atr,rsi_atr_21_45_75_atr14x2,rsi_period=21;lower=45;upper=75;atr_period=14;atr_mult=2,80/20,2025-07-21,2026-07-17,249,5,0.7590361445783133,0.963088674156672,0.6724518341524479,0.2906368400042241,0.9787396492221407,0.6826086937261007,-0.1834756340808622,-0.198197225656351,1.776648102819269,19630.88674156672,16724.51834152448,0.8
MLAS3,rsi_reversion_atr,rsi_atr_21_45_75_atr14x2,rsi_period=21;lower=45;upper=75;atr_period=14;atr_mult=2,full,2021-07-22,2026-07-17,1245,21,0.9285140562248996,-0.7614125008310992,-0.8432598291934688,0.08184732836236952,-0.24981101218609592,-0.3104400983129125,-0.8940355651003948,-0.9211179920945977,-0.15560195585090442,2385.8749916890074,1567.4017080653118,
