rank,ticker,strategy,params,test_total_return,test_benchmark_total_return,test_excess_total_return,test_max_drawdown,test_trades,test_exposure,train_total_return,train_benchmark_total_return,train_excess_total_return,source_file
1,GGBR3,rsi_reversion,rsi_period=14;lower=40.0;upper=80.0,3.9222055096928194,2.508794543975277,1.4134109657175427,-0.5225626849293556,11,0.8994497248624312,15.554430784258926,33.56154323001994,-18.007112445761017,train_test_rsi_reversion_excess_raw_events_raw_1d.csv
2,GGBR3,macd,fast=20;slow=50;signal_window=5,2.502198801943783,2.508794543975277,-0.006595742031493934,-0.4076257916005951,153,0.5757878939469735,36.01184736565871,33.56154323001994,2.450304135638767,train_test_macd_excess_raw_events_raw_1d.csv
3,GGBR3,atr_breakout,lookback=10;atr_period=10;atr_mult=5.0,2.27188680079757,2.508794543975277,-0.2369077431777069,-0.4415202857124504,31,0.7663831915957979,24.470419624872594,33.56154323001994,-9.091123605147349,train_test_atr_breakout_excess_raw_events_raw_1d.csv
4,GGBR3,breakout,lookback=10;exit_lookback=55,1.629505876962475,2.508794543975277,-0.8792886670128017,-0.38239506164070025,31,0.8034017008504252,71.45758611407108,33.56154323001994,37.896042884051134,train_test_breakout_excess_raw_events_raw_1d.csv
5,BBSE3,rsi_reversion,rsi_period=14;lower=40.0;upper=80.0,1.0507792939816527,0.8821820176484423,0.16859727633321042,-0.20680848852253997,6,0.9321175278622087,1.8159034977553503,1.740078001166963,0.07582549658838733,train_test_rsi_reversion_excess_raw_events_raw_1d.csv
6,VALE3,atr_breakout,lookback=20;atr_period=10;atr_mult=5.0,0.96773083783062,1.438434766531,-0.47070392870038,-0.49191001459510153,36,0.6348174087043522,8.73886090936918,17.187421256987548,-8.448560347618368,train_test_atr_breakout_excess_raw_events_raw_1d.csv
7,BBSE3,breakout,lookback=5;exit_lookback=55,0.9340727585424407,0.8821820176484423,0.051890740893998366,-0.21490792462855635,13,0.9037487335359676,1.904771958803122,1.740078001166963,0.16469395763615902,train_test_breakout_excess_raw_events_raw_1d.csv
8,GGBR3,sma_cross,fast=20;slow=50,0.8582808185546251,2.508794543975277,-1.6505137254206517,-0.5649652259353006,44,0.5387693846923461,58.06988253428022,33.56154323001994,24.508339304260275,train_test_sma_cross_excess_raw_events_raw_1d.csv
9,GGBR3,price_sma,sma_window=50,0.8160254076142981,2.508794543975277,-1.6927691363609787,-0.5082971491011371,161,0.5447723861930965,19.185299084101803,33.56154323001994,-14.37624414591814,train_test_price_sma_excess_raw_events_raw_1d.csv
10,GGBR3,sma_stop,sma_window=50;stop_pct=0.3,0.8160254076142981,2.508794543975277,-1.6927691363609787,-0.5082971491011371,161,0.5447723861930965,19.185299084101803,33.56154323001994,-14.37624414591814,train_test_sma_stop_excess_raw_events_raw_1d.csv
11,GGBR3,roc_trend,lookback=40;sma_window=50,0.7622723600817467,2.508794543975277,-1.74652218389353,-0.49960963199448627,161,0.4817408704352176,32.86725929512996,33.56154323001994,-0.694283934889981,train_test_roc_trend_excess_raw_events_raw_1d.csv
12,BBSE3,sma_cross,fast=10;slow=50,0.7439117022192634,0.8821820176484423,-0.1382703154291789,-0.13037971743143517,27,0.5521783181357649,1.756174892400038,1.740078001166963,0.016096891233075006,train_test_sma_cross_excess_raw_events_raw_1d.csv
13,VALE3,rsi_reversion,rsi_period=14;lower=40.0;upper=80.0,0.6261582723985248,1.438434766531,-0.8122764941324752,-0.41851937089529934,5,0.9194597298649325,18.11872577138078,17.187421256987548,0.9313045143932328,train_test_rsi_reversion_excess_raw_events_raw_1d.csv
14,VALE3,sma_cross,fast=150;slow=300,0.575337060905015,1.438434766531,-0.863097705625985,-0.4012699949985933,7,0.42471235617808906,28.654355396091216,17.187421256987548,11.466934139103667,train_test_sma_cross_excess_raw_events_raw_1d.csv
15,LOGG3,bollinger_reversion,window=10;num_std=1.5;exit_z=0.0,0.5219466418339722,0.594424209953542,-0.07247756811956974,-0.08108534667778045,49,0.2761061946902655,0.1211147581655927,0.5849445096186769,-0.46382975145308425,train_test_bollinger_reversion_excess_raw_events_raw_1d.csv
16,BBSE3,atr_breakout,lookback=20;atr_period=10;atr_mult=4.0,0.5197072655184531,0.8821820176484423,-0.36247475212998914,-0.1812088038259605,21,0.48226950354609927,1.6059251774525407,1.740078001166963,-0.13415282371442228,train_test_atr_breakout_excess_raw_events_raw_1d.csv
17,VALE3,roc_trend,lookback=252;sma_window=300,0.4732001279948346,1.438434766531,-0.9652346385361654,-0.48647096167038684,49,0.4147073536768384,16.266081559212452,17.187421256987548,-0.9213396977750961,train_test_roc_trend_excess_raw_events_raw_1d.csv
18,VALE3,breakout,lookback=20;exit_lookback=200,0.45994034677584517,1.438434766531,-0.9784944197551548,-0.5534912970091288,17,0.8539269634817409,15.214512494280427,17.187421256987548,-1.972908762707121,train_test_breakout_excess_raw_events_raw_1d.csv
19,BBSE3,roc_trend,lookback=40;sma_window=50,0.4454497831434374,0.8821820176484423,-0.43673223450500487,-0.21441396747813235,67,0.49341438703140833,0.4171829729585459,1.740078001166963,-1.322895028208417,train_test_roc_trend_excess_raw_events_raw_1d.csv
20,GGBR3,bollinger_reversion,window=40;num_std=2.0;exit_z=0.5,0.4280096464536778,2.508794543975277,-2.080784897521599,-0.522510311307524,40,0.272136068034017,-0.47064183375842017,33.56154323001994,-34.032185063778364,train_test_bollinger_reversion_excess_raw_events_raw_1d.csv
21,BBSE3,momentum,lookback=40,0.4156870951710425,0.8821820176484423,-0.46649492247739976,-0.2363267863807892,69,0.5592705167173252,0.9892440728451486,1.740078001166963,-0.7508339283218144,train_test_momentum_excess_raw_events_raw_1d.csv
22,BBSE3,ema_cross,fast=20;slow=50,0.37410409599826133,0.8821820176484423,-0.508077921650181,-0.25818104221492433,27,0.5623100303951368,1.1083237692235546,1.740078001166963,-0.6317542319434084,train_test_ema_cross_excess_raw_events_raw_1d.csv
23,VALE3,bollinger_reversion,window=10;num_std=2.0;exit_z=0.0,0.3643100064618492,1.438434766531,-1.0741247600691508,-0.3192902059978714,99,0.20060030015007504,2.3799696928889467,17.187421256987548,-14.807451564098601,train_test_bollinger_reversion_excess_raw_events_raw_1d.csv
