ticker,strategy,fast,slow,signal_window,lookback,exit_lookback,rsi_period,lower,upper,trend_window,sma_window,stop_pct,window,num_std,exit_z,atr_period,atr_mult,start,end,candles,trades,exposure,final_equity,total_return,cagr,max_drawdown,annual_volatility,sharpe,benchmark_final_equity,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown,excess_total_return
BBSE3,atr_breakout,,,,10,,,,,,,,,,,20,4.0,2013-04-29,2026-07-17,3289,61,0.739738522347218,45455.133289051846,3.5455133289051846,0.12139357219959068,-0.5185362478718394,0.2231152660170889,0.6252085355138922,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-2.0749807418449135
BBSE3,atr_breakout,,,,10,,,,,,,,,,,20,5.0,2013-04-29,2026-07-17,3289,45,0.8005472788081484,45369.58092740912,3.536958092740912,0.12123372754384154,-0.4754719532016901,0.2321237994767344,0.6091459162346068,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-2.083535978009186
BBSE3,atr_breakout,,,,10,,,,,,,,,,,10,4.0,2013-04-29,2026-07-17,3289,63,0.7573730617208878,43618.729316315366,3.3618729316315363,0.11789973201137927,-0.527480627215954,0.2253032174789309,0.6074452242541797,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-2.2586211391185618
BBSE3,atr_breakout,,,,10,,,,,,,,,,,14,4.0,2013-04-29,2026-07-17,3289,63,0.7412587412587412,42518.27050357357,3.251827050357357,0.11574032920091226,-0.5366842288872816,0.22314687023238286,0.6024815306798437,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-2.368667020392741
BBSE3,atr_breakout,,,,20,,,,,,,,,,,20,4.0,2013-04-29,2026-07-17,3289,53,0.6345393736698085,41271.90733193142,3.1271907331931423,0.11323132829638483,-0.40271036503499913,0.20697941969685027,0.6219047391481027,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-2.4933033375569558
BBSE3,atr_breakout,,,,20,,,,,,,,,,,20,5.0,2013-04-29,2026-07-17,3289,41,0.7163271511097598,40888.683907786515,3.088868390778652,0.11244579118093845,-0.39866445016769525,0.21925439556293966,0.5957975910382597,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-2.5316256799714463
BBSE3,atr_breakout,,,,20,,,,,,,,,,,10,4.0,2013-04-29,2026-07-17,3289,55,0.6354515050167224,40332.154014237625,3.033215401423763,0.11129280407896647,-0.3882287123260276,0.2069204778364781,0.6135858639234932,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-2.587278669326335
BBSE3,atr_breakout,,,,20,,,,,,,,,,,14,4.0,2013-04-29,2026-07-17,3289,55,0.6357555487990271,40281.55337127305,3.0281553371273047,0.1111872444161921,-0.4001776837722584,0.20691029108663148,0.6131442405008816,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-2.5923387336227934
BBSE3,atr_breakout,,,,10,,,,,,,,,,,14,5.0,2013-04-29,2026-07-17,3289,51,0.7935542718151414,37959.147495129546,2.7959147495129546,0.10620542719875492,-0.4754719532016901,0.2313895437720466,0.5520091506063595,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-2.8245793212371435
BBSE3,atr_breakout,,,,20,,,,,,,,,,,10,3.0,2013-04-29,2026-07-17,3289,71,0.5366372757677106,36732.922519381515,2.6732922519381517,0.10346022744475825,-0.3994863953155591,0.19182202232911996,0.6093419549719697,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-2.9472018188119464
