rank,ticker,strategy,params,test_total_return,test_benchmark_total_return,test_excess_total_return,test_max_drawdown,test_trades,test_exposure,train_total_return,train_benchmark_total_return,train_excess_total_return,source_file
1,GGBR3,rsi_reversion,rsi_period=14;lower=50.0;upper=80.0,3.395319648559094,1.9106350848749591,1.484684563684135,-0.4599808123174577,5,0.9375,52.86801467953166,69.24327989479197,-16.375265215260306,train_test_rsi_reversion_excess_raw_events_raw_1wk.csv
2,GGBR3,macd,fast=4;slow=13;signal_window=4,1.8932062604360707,1.9106350848749591,-0.01742882443888849,-0.33019865476036403,82,0.5673076923076923,44.23408951317967,69.24327989479197,-25.0091903816123,train_test_macd_excess_raw_events_raw_1wk.csv
3,GGBR3,bollinger_reversion,window=20;num_std=2.0;exit_z=0.0,1.881484235106747,1.9106350848749591,-0.02915084976821225,-0.14615803721449716,16,0.20432692307692307,0.7664238311618083,69.24327989479197,-68.47685606363017,train_test_bollinger_reversion_excess_raw_events_raw_1wk.csv
4,VALE3,macd,fast=20;slow=52;signal_window=4,1.1703265619790009,1.2570305704380362,-0.08670400845903536,-0.42689088187937263,34,0.5096153846153846,11.620182568646108,31.30739801106226,-19.687215442416154,train_test_macd_excess_raw_events_raw_1wk.csv
5,VALE3,sma_cross,fast=39;slow=52,1.160551317908745,1.2570305704380362,-0.09647925252929124,-0.3406100963413189,13,0.5144230769230769,56.14047786704444,31.30739801106226,24.833079855982177,train_test_sma_cross_excess_raw_events_raw_1wk.csv
6,GGBR3,atr_breakout,lookback=4;atr_period=10;atr_mult=4.0,1.1382186713892684,1.9106350848749591,-0.7724164134856908,-0.5162445367268281,11,0.8028846153846154,92.94617879031776,69.24327989479197,23.70289889552579,train_test_atr_breakout_excess_raw_events_raw_1wk.csv
7,GGBR3,breakout,lookback=4;exit_lookback=8,0.9912288030223939,1.9106350848749591,-0.9194062818525652,-0.43560234741822834,25,0.5528846153846154,111.23450386492344,69.24327989479197,41.99122397013147,train_test_breakout_excess_raw_events_raw_1wk.csv
8,VALE3,breakout,lookback=26;exit_lookback=104,0.9475262078947235,1.2570305704380362,-0.3095043625433127,-0.39900792088767356,5,0.7716346153846154,41.29719763076276,31.30739801106226,9.989799619700499,train_test_breakout_excess_raw_events_raw_1wk.csv
9,GGBR3,roc_trend,lookback=8;sma_window=13,0.8877081987896527,1.9106350848749591,-1.0229268860853065,-0.4304585658022828,76,0.4831730769230769,43.654788580328,69.24327989479197,-25.588491314463965,train_test_roc_trend_excess_raw_events_raw_1wk.csv
10,BBSE3,atr_breakout,lookback=4;atr_period=5;atr_mult=4.0,0.8721105901484367,0.8978749218940629,-0.0257643317456262,-0.16600072090740614,5,0.8605769230769231,1.8672182486203615,2.5505489637087115,-0.6833307150883501,train_test_atr_breakout_excess_raw_events_raw_1wk.csv
11,BBSE3,macd,fast=8;slow=13;signal_window=9,0.800425793080221,0.8978749218940629,-0.09744912881384193,-0.1100292958349558,19,0.5432692307692307,2.3147895639542746,2.5505489637087115,-0.23575939975443694,train_test_macd_excess_raw_events_raw_1wk.csv
12,BBSE3,rsi_reversion,rsi_period=5;lower=50.0;upper=80.0,0.7435601649706953,0.8978749218940629,-0.1543147569233676,-0.13630653317966301,14,0.7403846153846154,2.333000720528368,2.5505489637087115,-0.21754824318034371,train_test_rsi_reversion_excess_raw_events_raw_1wk.csv
13,GGBR3,ema_cross,fast=4;slow=13,0.725639780394493,1.9106350848749591,-1.1849953044804662,-0.40289621462234815,41,0.5072115384615384,58.717680828507596,69.24327989479197,-10.525599066284371,train_test_ema_cross_excess_raw_events_raw_1wk.csv
14,GGBR3,momentum,lookback=8,0.6983055689067594,1.9106350848749591,-1.2123295159681997,-0.5468842984951023,86,0.5600961538461539,73.24497365263564,69.24327989479197,4.001693757843668,train_test_momentum_excess_raw_events_raw_1wk.csv
15,VALE3,bollinger_reversion,window=20;num_std=1.5;exit_z=0.0,0.6551072439335774,1.2570305704380362,-0.6019233265044588,-0.28415054434343245,23,0.2860576923076923,0.9181423480380655,31.30739801106226,-30.389255663024194,train_test_bollinger_reversion_excess_raw_events_raw_1wk.csv
16,BBSE3,sma_cross,fast=26;slow=39,0.6473710908284938,0.8978749218940629,-0.25050383106556917,-0.1847570580172947,5,0.75,1.2818685518660073,2.5505489637087115,-1.2686804118427042,train_test_sma_cross_excess_raw_events_raw_1wk.csv
17,BBSE3,price_sma,sma_window=13,0.6027808884257801,0.8978749218940629,-0.2950940334682828,-0.20448917360346108,29,0.5528846153846154,1.015021091397832,2.5505489637087115,-1.5355278723108796,train_test_price_sma_excess_raw_events_raw_1wk.csv
18,BBSE3,sma_stop,sma_window=13;stop_pct=0.1,0.6027808884257801,0.8978749218940629,-0.2950940334682828,-0.20448917360346108,29,0.5528846153846154,1.1955406656838856,2.5505489637087115,-1.355008298024826,train_test_sma_stop_excess_raw_events_raw_1wk.csv
19,GGBR3,price_sma,sma_window=8,0.5849425785799633,1.9106350848749591,-1.3256925062949958,-0.5845955437705701,95,0.5625,59.35227545252145,69.24327989479197,-9.891004442270521,train_test_price_sma_excess_raw_events_raw_1wk.csv
20,GGBR3,sma_stop,sma_window=8;stop_pct=0.3,0.5849425785799633,1.9106350848749591,-1.3256925062949958,-0.5845955437705701,95,0.5625,46.73164966580836,69.24327989479197,-22.511630228983606,train_test_sma_stop_excess_raw_events_raw_1wk.csv
21,LOGG3,atr_breakout,lookback=4;atr_period=10;atr_mult=3.0,0.557618564232828,0.598464081227857,-0.04084551699502903,-0.1833694958298041,3,0.8333333333333334,1.3248463240224266,1.1204829492626462,0.2043633747597804,train_test_atr_breakout_excess_raw_events_raw_1wk.csv
22,VALE3,momentum,lookback=52,0.4888080212285546,1.2570305704380362,-0.7682225492094816,-0.38440187696005257,31,0.46634615384615385,61.1057047222524,31.30739801106226,29.798306711190136,train_test_momentum_excess_raw_events_raw_1wk.csv
