ticker,interval,reference_rows,candidate_rows,reference_start,reference_end,candidate_start,candidate_end,shared_dates,dates_only_reference,dates_only_candidate,first_only_reference,first_only_candidate,ohlc_values_compared,ohlc_differences_gt_0_01,ohlc_differences_gt_0_02,ohlc_difference_p95,ohlc_difference_max,max_difference_date,max_difference_field,volume_different_rows,candidate_price_status,candidate_action_status,candidate_warnings,candidate_warning_reviews
BBDC3,1d,6541,6586,2000-01-03,2026-07-21,2000-01-03,2026-07-28,6541,0,45,,2000-03-13,26164,15561,15313,0.22291658371134937,1.9846666663419121,2012-10-10,raw_high,4529,price_verified,unverified,0,0
BBDC3,1wk,1384,1387,2000-01-03,2026-07-20,2000-01-03,2026-07-27,1312,72,75,2000-03-06,2000-03-08,5248,3128,3070,0.22257585951017855,1.7957959700486654,2012-10-08,raw_high,1064,price_verified,unverified,0,0
BBSE3,1d,3278,3288,2013-04-29,2026-07-17,2013-04-29,2026-07-28,3278,0,10,,2013-07-26,13112,353,321,1.8310546892053026e-06,1.3900005340576165,2016-04-12,raw_open,286,price_verified,unverified,0,0
BBSE3,1wk,690,692,2013-04-29,2026-07-13,2013-04-29,2026-07-27,656,34,36,2014-03-03,2014-03-05,2624,77,71,1.8310546892053026e-06,0.769999694824218,2016-04-04,raw_open,142,price_verified,unverified,0,0
CSMG3,1d,5053,5069,2006-02-08,2026-07-21,2006-02-08,2026-07-28,5053,0,16,,2009-12-30,20212,10163,10116,0.2381700515747074,0.8566678365071603,2018-10-29,raw_open,2591,price_verified,unverified,0,0
CSMG3,1wk,1068,1069,2006-02-06,2026-07-20,2006-02-08,2026-07-27,1009,59,60,2006-02-06,2006-02-08,4036,2024,2016,0.23844210306803326,2.6466670481363934,2020-11-16,raw_close,566,price_verified,unverified,0,0
FLRY3,1d,4078,4117,2009-12-17,2026-07-21,2009-12-17,2026-07-28,4078,0,39,,2009-12-29,16312,12571,12546,0.26799191066196926,1.1770493280319947,2018-10-29,raw_high,3194,price_verified,unverified,0,0
FLRY3,1wk,867,868,2009-12-14,2026-07-20,2009-12-17,2026-07-27,823,44,45,2009-12-14,2009-12-17,3292,2537,2534,0.2695878346761056,1.1110398065476197,2018-10-29,raw_high,681,price_verified,unverified,0,0
GGBR3,1d,5856,5825,2000-05-19,2026-07-17,2001-02-05,2026-07-28,5784,72,41,2000-05-19,2002-02-28,23136,1649,1540,0.07936494312589204,1.3571434929257329,2008-06-05,raw_close,1298,price_verified,unverified,0,0
GGBR3,1wk,1316,1289,2000-05-15,2026-07-13,2001-02-05,2026-07-27,1147,169,142,2000-05-15,2001-03-01,4588,304,282,0.05555572207011927,0.7222222373599099,2012-07-23,raw_high,404,price_verified,unverified,0,0
IRBR3,1d,2225,2233,2017-07-31,2026-07-21,2017-07-31,2026-07-28,2225,0,8,,2020-11-20,8900,5032,5021,242.57037353515625,315.50468750000005,2020-01-31,raw_high,1399,price_verified,unverified,1,1
