ticker,interval,reference_rows,candidate_rows,reference_start,reference_end,candidate_start,candidate_end,shared_dates,dates_only_reference,dates_only_candidate,first_only_reference,first_only_candidate,ohlc_values_compared,ohlc_differences_gt_0_01,ohlc_differences_gt_0_02,ohlc_difference_p95,ohlc_difference_max,max_difference_date,max_difference_field,volume_different_rows,candidate_price_status,candidate_action_status,candidate_warnings,candidate_warning_reviews
IRBR3,1wk,469,470,2017-07-31,2026-07-20,2017-07-31,2026-07-27,445,24,25,2017-11-20,2017-11-21,1780,1001,1000,244.20306396484375,315.50468750000005,2020-01-27,raw_high,339,price_verified,unverified,1,1
JHSF3,1d,4744,4780,2007-04-12,2026-07-21,2007-04-12,2026-07-28,4744,0,36,,2008-08-07,18976,708,525,4.196166987213701e-07,0.8900001525878904,2007-12-07,raw_open,761,price_verified,unverified,0,0
JHSF3,1wk,1006,1008,2007-04-09,2026-07-20,2007-04-12,2026-07-27,953,53,55,2007-04-09,2007-04-12,3812,157,121,4.5776367230132564e-07,0.4600002288818352,2007-10-01,raw_close,258,price_verified,unverified,0,0
LOGG3,1d,1881,1889,2018-12-21,2026-07-17,2018-12-21,2026-07-28,1881,0,8,,2020-11-20,7524,58,44,9.155273446026513e-07,4.720000076293946,2019-02-18,raw_close,19,price_verified,unverified,0,0
LOGG3,1wk,396,398,2018-12-17,2026-07-13,2018-12-21,2026-07-27,376,20,22,2018-12-17,2018-12-21,1504,7,5,9.155273446026513e-07,4.619999999999999,2019-01-21,raw_low,19,price_verified,unverified,0,0
MLAS3,1d,1245,1252,2021-07-22,2026-07-17,2021-07-22,2026-07-28,1245,0,7,,2026-07-20,4980,6,4,2.0980834936068504e-07,0.2900001907348635,2021-08-11,raw_close,41,price_verified,unverified,0,0
MLAS3,1wk,261,263,2021-07-19,2026-07-13,2021-07-22,2026-07-27,250,11,13,2021-07-19,2021-07-22,1000,0,0,2.0980834936068504e-07,0.009999904632568501,2022-01-10,raw_low,41,price_verified,unverified,0,0
PETR4,1d,6516,6586,2000-01-03,2026-07-17,2000-01-03,2026-07-28,6516,0,70,,2000-03-13,26064,2482,2121,0.06000045776367102,2.700000762939453,2008-06-04,raw_open,3212,price_verified,unverified,0,0
PETR4,1wk,1383,1387,2000-01-03,2026-07-13,2000-01-03,2026-07-27,1311,72,76,2000-03-06,2000-03-08,5244,502,435,0.07450017929077113,2.0700012207031264,2008-06-02,raw_open,791,price_verified,unverified,0,0
TUPY3,1d,4826,4974,2000-12-11,2026-07-17,2000-12-11,2026-07-28,4806,20,168,2003-01-16,2002-02-28,19224,1049,900,0.010000762939451846,3.8000000000000007,2013-04-24,raw_low,318,price_verified,unverified,2,2
TUPY3,1wk,1152,1154,2000-12-11,2026-07-13,2000-12-11,2026-07-27,986,166,168,2000-12-18,2000-12-20,3944,268,250,0.06999916076660284,3.5,2013-04-22,raw_low,167,price_verified,unverified,2,2
VALE3,1d,6538,6580,2000-01-03,2026-07-17,2000-01-03,2026-07-28,6538,0,42,,2000-03-13,26152,673,614,3.051757815342171e-06,3.0,2019-01-28,raw_high,3210,price_verified,unverified,0,0
VALE3,1wk,1385,1387,2000-01-03,2026-07-13,2000-01-03,2026-07-27,1310,75,77,2000-01-31,2000-02-01,5240,155,142,3.051757815342171e-06,2.470001220703125,2018-10-29,raw_open,781,price_verified,unverified,0,0
