year,start,end,strategy_return,buy_hold_return,excess_return,trades,exposure,start_equity,end_equity,bh_start_equity,bh_end_equity
2000,2000-01-03,2000-12-29,2.3990034011841455,2.7099655428050626,-0.3109621416209172,3,0.5384615384615384,10000.0,33990.03401184145,9975.052524008677,37007.10115174286
2001,2001-01-01,2001-12-31,0.38406648461107573,0.4230763271372273,-0.039009842526151584,4,0.8160919540229885,33990.03401184145,47044.4668865803,37007.10115174286,52663.929585018086
2002,2002-01-01,2002-12-31,0.44066580684794476,0.4378381571006935,0.0028276497472512485,4,0.896551724137931,47044.4668865803,67775.35484488663,52663.929585018086,75722.20746020309
2003,2003-01-01,2003-12-31,0.9980276393017649,0.9980443157725578,-1.6676470792953424e-05,0,1.0,67775.35484488663,135417.03224356828,75722.20746020309,151296.32619360916
2004,2004-01-01,2004-12-31,0.6085218367744882,0.6085269257765804,-5.089002092173445e-06,0,1.0,135417.03224356828,217821.25343497453,151296.32619360916,243364.21445349685
2005,2005-01-03,2005-12-29,-0.12569071099955975,0.09385740790858854,-0.2195481189081483,8,0.8674698795180723,213622.33238394913,186771.9895412263,238672.8796098613,261074.0974281215
2006,2006-01-02,2006-12-28,0.5506574263905519,0.5833614449130697,-0.03270401852251781,2,0.9728682170542635,185702.2192503747,287960.52537780005,259578.7486169719,411006.9824788951
2007,2007-01-02,2007-12-28,0.3661095406740906,0.36612025397867654,-1.071330458590758e-05,0,1.0,287590.76488356787,392880.4877172013,410479.2067144298,560763.9581296825
2008,2008-01-02,2008-12-30,-0.036666623791052344,-0.41003670050090457,0.3733700767098522,6,0.7389558232931727,377627.80068259436,363781.4641819232,538993.1127164745,317986.1551854991
2009,2009-01-02,2009-12-30,0.8927972037747349,0.7404816623758093,0.15231554139892567,2,0.9274193548387096,388536.3311901324,735420.481241577,339625.02494791977,591111.1280057811
2010,2010-01-04,2010-12-30,-0.3345304949425181,-0.2549978439427546,-0.07953265099976348,8,0.8582995951417004,739031.9511283567,491803.22673905274,594013.9581296825,442541.67953471176
2011,2011-01-03,2011-12-29,-0.20559043783206965,-0.28488026715632153,0.07928982932425188,10,0.7670682730923695,502360.68551552674,399080.13223077095,452041.7067144298,323263.94453982345
2012,2012-01-02,2012-12-28,0.15959022602985318,0.23775094001323693,-0.07816071398338376,2,0.9795918367346939,405595.66293145454,470324.76645541354,328541.7021844768,406652.8007123851
2013,2013-01-02,2013-12-30,-0.1322303540487625,-0.07195573522198473,-0.06027461882677776,8,0.7580645161290323,496267.31719851657,430645.7141425272,429083.3658311748,398208.35677126877
2014,2014-01-02,2014-12-30,-0.41328387193160243,-0.4629258100821997,0.04964193815059725,14,0.6048387096774194,427221.15577765903,250657.54234677384,395041.7021844768,212166.70218447677
2015,2015-01-02,2015-12-30,-0.47836789280610237,-0.5781817842154169,0.09981389140931451,5,0.7276422764227642,257204.55483418534,134166.1539180245,217708.37942103378,91833.36016873352
2016,2016-01-04,2016-12-29,1.8551488965858276,1.3723715907875778,0.48277730579824985,1,0.9196787148594378,134166.1539180245,383064.346318212,87875.04986266128,208472.27183321945
2017,2017-01-02,2017-12-29,0.35880973061715316,0.35202080547764303,0.006788925139510127,2,0.937007874015748,371911.8570184378,505357.4502485487,202402.8029773616,273652.8007123851
2018,2018-01-02,2018-12-28,0.14307562969377607,0.1249999496941423,0.018075679999633776,3,0.9186991869918699,530211.0677946303,606071.3501899565,287111.1461255931,323000.02494791977
2019,2019-01-02,2019-12-30,0.26593944543091697,0.3776167135306676,-0.11167726809975065,7,0.8911290322580645,606071.3501899565,767249.6289510406,327750.0385377788,451513.93094996444
2020,2020-01-02,2020-12-30,0.5787672273943603,0.1503120013433703,0.42845522605098996,2,0.9435483870967742,790567.4668998397,1248122.0077856425,465236.1325357341,535166.7067144298
2021,2021-01-04,2021-12-30,0.13174028215938027,0.05990565741564158,0.0718346247437387,2,0.7044534412955465,1304742.8285902385,1476630.0169741444,559444.4552991771,592958.3431814098
2022,2022-01-03,2022-12-29,0.04891573306590358,0.0951742187792266,-0.04625848571332303,4,0.92,1470715.6823927693,1542656.818128532,590583.3522413158,646791.6614148997
2023,2023-01-02,2023-12-28,-0.03270255940636502,-0.05064990577488204,0.017947346368517025,4,0.842741935483871,1549580.3080577313,1498905.0659785399,649694.4915388011,616787.526759901
2024,2024-01-02,2024-12-30,-0.10230836847423241,0.00927274084584484,-0.11158110932007725,6,0.896414342629482,1481052.7740702757,1329528.6811309098,609583.3431814098,615235.8515466746
2025,2025-01-02,2025-12-30,0.032472120010234695,0.08456152108633797,-0.05208940107610327,4,0.92,1298182.9627967118,1340337.7157598888,601603.356620222,652475.8515466746
2026,2026-01-02,2026-07-17,0.10579022891554546,0.17275355099655543,-0.06696332208100997,4,0.8740740740740741,1340337.7157598888,1482132.3495342666,652475.8515466746,765193.3718408641
