ticker,strategy,label,params,window,start,end,candles,trades,exposure,total_return,cagr,benchmark_total_return,benchmark_cagr,excess_total_return,max_drawdown,benchmark_max_drawdown,sharpe
MLAS3,rsi_reversion_atr,legacy_rsi_atr_21_45_75,rsi_period=21;lower=45;upper=75;atr_period=14;atr_mult=2,60/40,2024-07-19,2026-07-17,498,5,0.8795180722891566,0.041659349594477035,0.02068866955292803,-0.12631116468950498,-0.06550345369132848,0.16797051428398202,-0.573863061218215,-0.5935288894012423,0.2937525249724158
MLAS3,rsi_reversion_atr,legacy_rsi_atr_21_45_75,rsi_period=21;lower=45;upper=75;atr_period=14;atr_mult=2,70/30,2025-01-17,2026-07-17,374,5,0.839572192513369,0.7908927561275636,0.4767005102897208,0.5008811842721252,0.3121030106576579,0.29001157185543835,-0.3188496582433543,-0.3503408357073504,1.0733909225653067
MLAS3,rsi_reversion_atr,legacy_rsi_atr_21_45_75,rsi_period=21;lower=45;upper=75;atr_period=14;atr_mult=2,80/20,2025-07-21,2026-07-17,249,5,0.7590361445783133,0.963088674156672,0.9787396492221407,0.6724518341524479,0.6826086937261007,0.2906368400042241,-0.1834756340808622,-0.198197225656351,1.776648102819269
MLAS3,rsi_reversion_atr,legacy_rsi_atr_21_45_75,rsi_period=21;lower=45;upper=75;atr_period=14;atr_mult=2,full,2021-07-22,2026-07-17,1245,21,0.9285140562248996,-0.7614125008310992,-0.24981101218609592,-0.8432598291934688,-0.3104400983129125,0.08184732836236952,-0.8940355651003948,-0.9211179920945977,-0.15560195585090442
MLAS3,range_expansion_breakout,new_range_exp_0.5_atr2_ma200,range_mult=0.5;atr_period=14;atr_mult=2;trend_window=200;volume_window=0;volume_mult=0;max_hold=10,60/40,2024-07-19,2026-07-17,498,27,0.23694779116465864,0.49836883630387474,0.22492897869668438,-0.12631116468950498,-0.06550345369132848,0.6246800009933797,-0.19011221042414272,-0.5935288894012423,0.8543593206232037
MLAS3,range_expansion_breakout,new_range_exp_0.5_atr2_ma200,range_mult=0.5;atr_period=14;atr_mult=2;trend_window=200;volume_window=0;volume_mult=0;max_hold=10,70/30,2025-01-17,2026-07-17,374,25,0.3074866310160428,0.7406844785292934,0.4488757274504114,0.5008811842721252,0.3121030106576579,0.23980329425716818,-0.175955484078944,-0.3503408357073504,1.3709298129200302
MLAS3,range_expansion_breakout,new_range_exp_0.5_atr2_ma200,range_mult=0.5;atr_period=14;atr_mult=2;trend_window=200;volume_window=0;volume_mult=0;max_hold=10,80/20,2025-07-21,2026-07-17,249,25,0.46184738955823296,0.7406844785292934,0.7520803489483237,0.6724518341524479,0.6826086937261007,0.06823264437684551,-0.175955484078944,-0.198197225656351,1.6880749080861257
MLAS3,range_expansion_breakout,new_range_exp_0.5_atr2_ma200,range_mult=0.5;atr_period=14;atr_mult=2;trend_window=200;volume_window=0;volume_mult=0;max_hold=10,full,2021-07-22,2026-07-17,1245,45,0.1534136546184739,-0.1819401820510742,-0.03947931136208238,-0.8432598291934688,-0.3104400983129125,0.6613196471423946,-0.5507317937601259,-0.9211179920945977,-0.034775355232469884
LOGG3,rsi_reversion,legacy_rsi_21_45_70,rsi_period=21;lower=45;upper=70,60/40,2023-07-12,2026-07-17,753,7,0.9030544488711819,1.3023307000356237,0.31870276140074405,0.5877339792777261,0.16575365043519863,0.7145967207578976,-0.2553635440886407,-0.255116202123422,1.0987667415813667
LOGG3,rsi_reversion,legacy_rsi_21_45_70,rsi_period=21;lower=45;upper=70,70/30,2024-04-15,2026-07-17,565,5,0.9504424778761061,0.9225439805760882,0.33654994225746404,0.594424209953542,0.2300315243270643,0.32811977062254627,-0.2625750801829464,-0.26260718465613897,1.1575040186231458
