date,side,ticker,shares,raw_open,execution_price,fee,slippage_cost
2018-01-02,BUY,MGLU3,41,24.077380952380953,24.10145833333333,0.3162111333333333,0.9871726190474703
2018-01-08,SELL,MGLU3,41.0,23.363095238095237,23.33973214285714,0.3062172857142857,0.9578869047619492
2018-01-08,BUY,HYPE3,26,35.98,36.01597999999999,0.29965295359999994,0.9354799999998704
2018-01-15,SELL,HYPE3,26.0,36.5,36.4635,0.30337632000000003,0.9489999999999128
2018-01-15,BUY,RADL3,59,16.321644042232275,16.337965686274504,0.3084607921568627,0.9629769984915058
2018-01-22,SELL,RADL3,59.0,16.082202111613874,16.06611990950226,0.3033283438914027,0.948849924585307
2018-01-22,BUY,BRKM5,18,51.0,51.050999999999995,0.29405376,0.9179999999999069
2018-01-29,SELL,BRKM5,18.0,49.5,49.4505,0.28483488,0.8910000000000338
2018-01-29,BUY,RENT3,41,22.65257008275973,22.67522265284249,0.2974989212052935,0.9287553733931055
2018-01-30,SELL,RENT3,41.0,22.927702512914706,22.90477481040179,0.30051064551247153,0.9400358030295735
2018-02-05,BUY,SANB11,26,36.08,36.11608,0.3004857856,0.9380799999999567
2018-02-19,SELL,SANB11,26.0,36.78,36.74322,0.3057035904,0.9562800000000067
2018-02-19,BUY,MGLU3,40,23.6875,23.711187499999998,0.3035032,0.9474999999999056
2018-02-26,SELL,MGLU3,40.0,25.976190476190478,25.95021428571429,0.3321627428571429,1.0390476190475795
2018-02-26,BUY,GOAU4,172,6.04515112877822,6.051196279906997,0.3330578432460811,1.039765994149704
2018-03-12,SELL,GOAU4,172.0,5.7001425035625894,5.694442361059027,0.31342210755268884,0.9804245106127958
2018-03-12,BUY,PETR4,43,22.54,22.562539999999995,0.3104605503999999,0.9692199999998188
2018-03-19,SELL,PETR4,43.0,21.27,21.24873,0.29238252480000004,0.914610000000053
2018-03-19,BUY,SUZB3,31,29.22,29.249219999999994,0.29015226239999997,0.9058199999998493
2018-04-17,SELL,SUZB3,31.0,36.93,36.89307,0.3659792544,1.144829999999942
2018-04-23,BUY,IRBR3,2,470.19999990596,470.6701999058659,0.3012289279397542,0.9403999998118024
2018-05-11,SELL,IRBR3,2.0,474.999999905,474.524999905095,0.30369599993926083,0.9499999998099611
2018-05-14,BUY,SUZB3,27,43.0,43.04299999999999,0.37189152,1.1609999999997882
2018-05-16,SELL,SUZB3,27.0,46.39,46.34361,0.40040879040000005,1.252530000000064
2018-05-21,BUY,MGLU3,38,32.351190476190474,32.38354166666666,0.3937838666666666,1.2293452380950072
2018-06-04,SELL,MGLU3,38.0,34.67559523809524,34.64091964285714,0.42123358285714285,1.3176726190477552
2018-06-04,BUY,IRBR3,2,496.4999999007,496.99649990060067,0.31807775993638443,0.9929999998013272
2018-06-05,SELL,IRBR3,2.0,507.99999989839995,507.49199989850155,0.324794879935041,1.0159999997968043
2018-06-11,BUY,VALE3,26,51.37,51.42136999999999,0.42782579839999996,1.3356199999997784
2018-06-18,SELL,VALE3,26.0,48.62,48.57138,0.4041138816,1.2641199999999913
2018-06-18,BUY,BRKM5,26,48.91,48.95890999999999,0.40733813119999995,1.2716599999997982
2018-06-25,SELL,BRKM5,26.0,50.51,50.459489999999995,0.4198229568,1.3132600000000707
