train_rank,test_rank,strategy,management,train_objective,train_metric,train_cagr,test_start,test_end,test_cagr,test_total_return,test_final_equity,test_max_drawdown,test_calmar,test_sharpe,test_sortino,cdi_total_return,excess_total_return_vs_cdi,excess_sharpe_vs_cdi,excess_t_stat,excess_pvalue_one_sided,excess_pvalue_bonferroni,retention_ratio,reading,trades,fees,slippage,validity,economic_scope
11,2,range_expansion_breakout,top1_momentum_lb126_skip0_trend200_vol21_equal_monthly_abs_cap1_adjusted,cagr,0.39910182698788876,0.39910182698788876,2023-01-02,2026-08-19,0.10685798661837764,0.4452736786450475,1445.2736786450475,-0.40752430003315376,0.26221255176607705,0.4685965131878196,0.6683423367335245,0.560007388597521,-0.11473370995247345,0.11138383640865517,0.21222611404080202,0.4159653173372157,1.0,0.267746172511559,ABAIXO DO CDI,81,25.16101146968746,78.62728442474432,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
12,16,breakout,top1_momentum_lb126_skip0_trend200_vol21_equal_monthly_abs_cap1_adjusted,cagr,0.3901375272710872,0.3901375272710872,2023-01-02,2026-08-19,-0.049842146442736435,-0.16928749810596755,830.7125018940325,-0.5125619479750545,-0.0972412147246681,0.005233706640080836,0.007024253279122751,0.560007388597521,-0.7292948867034885,-0.3748024532243489,-0.7141329545242895,0.7624275150004981,1.0,-0.1277553246194222,PERDA NO TESTE,61,19.06018930442674,59.56218635120773,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
13,14,chaikin_money_flow,top1_risk_adjusted_lb252_skip0_trend200_vol63_equal_weekly_abs_cap1_adjusted,cagr,0.38102285536554525,0.38102285536554525,2023-01-02,2026-08-19,-0.012494890031383599,-0.044588055801343396,955.4119441986566,-0.40326624108569675,-0.030984220245523483,0.08317896821428257,0.11359989448428554,0.560007388597521,-0.6045954443988644,-0.38526750777447283,-0.7340726327757133,0.7685477640330367,1.0,-0.03279301977671724,PERDA NO TESTE,165,56.33229559602683,176.0376611194742,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
14,1,gap_momentum,top1_momentum_lb63_skip0_trend0_vol21_equal_weekly_abs_cap1_adjusted,cagr,0.35734722226569615,0.35734722226569615,2023-01-02,2026-08-19,0.373360624111877,2.1610734656147037,3161.0734656147038,-0.3389746484246673,1.1014411427138084,0.992087242872595,1.4948361160168686,0.560007388597521,1.6010660770171827,0.6860490865008908,1.3071693017929873,0.09557760943813148,1.0,1.0448118828086888,ACIMA DO CDI (NAO SIGNIFICATIVO),217,108.8643939371597,340.2006970321613,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
15,5,ema_cross,top1_risk_adjusted_lb126_skip21_trend200_vol21_equal_monthly_abs_cap1_adjusted,cagr,0.30259046420918434,0.30259046420918434,2023-01-02,2026-08-19,0.023781070505406454,0.08899978140871667,1088.9997814087167,-0.3674713267524088,0.06471544519017515,0.22190295400961252,0.31044919433286006,0.560007388597521,-0.4710076071888043,-0.2478033037736734,-0.4721540746128632,0.6815915912367416,1.0,0.07859160587746189,ABAIXO DO CDI,86,26.99523754700589,84.36031768972573,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
16,7,keltner_breakout,top2_momentum_lb126_skip0_trend200_vol63_inv_vol_weekly_abs_cap1_adjusted,cagr,0.2974372447618756,0.2974372447618756,2023-01-02,2026-08-19,0.007372484103305377,0.027004900826088418,1027.0049008260885,-0.4670341723591235,0.01578574875167024,0.1549919852223017,0.20438961290339755,0.560007388597521,-0.5330024877714326,-0.3449802317267605,-0.6573109381118125,0.7445094976301846,1.0,0.024786687723683334,ABAIXO DO CDI,373,44.61005052757245,139.4055952392021,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
17,23,macd,top1_risk_adjusted_lb126_skip21_trend0_vol21_equal_weekly_abs_cap1_adjusted,cagr,0.28987579714193545,0.28987579714193545,2023-01-02,2026-08-19,-0.15206647822015484,-0.45030531617086156,549.6946838291384,-0.595634719497586,-0.2553015686332421,-0.4552392119355523,-0.6199681589558997,0.560007388597521,-1.0103127047683826,-0.8972891575334162,-1.709657318460478,0.9563353701534073,1.0,-0.5245918414695956,PERDA NO TESTE,264,58.39739849964759,182.49166089513176,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
18,19,connors_rsi_reversion,top1_risk_adjusted_lb63_skip0_trend200_vol63_equal_weekly_abs_cap1_adjusted,cagr,0.2760355604842917,0.2760355604842917,2023-01-02,2026-08-19,-0.07797773934564733,-0.2551066753487309,744.8933246512692,-0.4230556996546678,-0.18432026659680759,-0.20498892456732673,-0.2919862797627035,0.560007388597521,-0.8151140639462519,-0.7005538457960867,-1.3348060648958735,0.9090300860038294,1.0,-0.28249164422453027,PERDA NO TESTE,278,72.73224264678312,227.28756998432223,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
19,22,ibs_reversion,top1_momentum_lb63_skip0_trend200_vol21_equal_monthly_abs_cap1_adjusted,cagr,0.25084140132366883,0.25084140132366883,2023-01-02,2026-08-19,-0.14404661619096937,-0.43120928529348124,568.7907147065188,-0.4990591238724341,-0.2886363745306248,-0.5531713152187573,-0.7688801141029931,0.560007388597521,-0.9912166738910022,-1.0811188893082788,-2.059918818491828,0.9802968488245597,1.0,-0.574253753291313,PERDA NO TESTE,295,61.94677235241606,193.58293802171505,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
20,20,frama_trend,top1_momentum_lb21_skip0_trend0_vol21_equal_monthly_abs_cap1_adjusted,cagr,0.21807064377409202,0.21807064377409202,2023-01-02,2026-08-19,-0.10018035528989311,-0.31814506674153054,681.8549332584695,-0.7005135474978277,-0.143009875608728,-0.2014783342869575,-0.2712055825701021,0.560007388597521,-0.8781524553390515,-0.611034024271326,-1.1642387324678283,0.8778363611283909,1.0,-0.4593940456913306,PERDA NO TESTE,215,77.6660621600985,242.70576767705728,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
21,4,turn_of_month,top1_momentum_lb21_skip0_trend0_vol21_equal_monthly_abs_cap1_adjusted,cagr,0.20919266318232022,0.20919266318232022,2023-01-02,2026-08-19,0.06517688838778324,0.257408868461912,1257.408868461912,-0.31196174343599936,0.20892590120158316,0.38166091483664893,0.6327232980222477,0.560007388597521,-0.30259852013560895,-0.13394958852416233,-0.2552219564924089,0.6007241631731639,1.0,0.3115639305714027,ABAIXO DO CDI,170,59.39906951364271,185.62259466065635,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
22,21,rsi2_trend_reversion,top1_risk_adjusted_lb63_skip0_trend0_vol21_equal_weekly_abs_cap1_adjusted,cagr,0.17003182301544717,0.17003182301544717,2023-01-02,2026-08-19,-0.1067454973620866,-0.3360198092525928,663.9801907474072,-0.4581430247998288,-0.232996011253747,-0.5342233351090572,-0.700987019916634,0.560007388597521,-0.8960271978501138,-1.2133360587143254,-2.3118398958873922,0.9896067460312654,1.0,-0.6277971703708012,PERDA NO TESTE,182,54.976800008109315,171.80239078471482,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
23,25,bollinger_reversion,top1_risk_adjusted_lb126_skip0_trend0_vol63_equal_weekly_abs_cap1_adjusted,cagr,0.12093878071310571,0.12093878071310571,2023-01-02,2026-08-19,-0.3190154390435034,-0.7518695747424142,248.13042525758578,-0.7944979284479741,-0.40153086322917125,-1.2647076550902432,-1.6200177057684575,0.560007388597521,-1.3118769633399352,-1.7126949202211426,-3.2632974332325126,0.999449380610453,1.0,-2.637825825284948,PERDA NO TESTE,195,30.8506022299089,96.40726136674856,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
24,17,mfi_reversal,top1_momentum_lb21_skip0_trend200_vol21_equal_weekly_abs_cap1_adjusted,cagr,0.06152912354835238,0.06152912354835238,2023-01-02,2026-08-19,-0.07075952195728474,-0.23373339314169295,766.266606858307,-0.3422676492558181,-0.20673739429109053,-0.18629235822461213,-0.25331123035887865,0.560007388597521,-0.7937407817392139,-0.6987250452720201,-1.3313215446899571,0.9084583839642946,1.0,-1.1500167380359108,PERDA NO TESTE,195,56.48248115850723,176.50702522643854,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
25,24,rsi_reversion,top1_momentum_lb21_skip0_trend200_vol21_equal_monthly_abs_cap1_adjusted,cagr,0.015954733046015246,0.015954733046015246,2023-01-02,2026-08-19,-0.16732245264263612,-0.4853432439405969,514.656756059403,-0.644131186596276,-0.2597645574759436,-0.5399539445151612,-0.7093272698059337,0.560007388597521,-1.0453506325381179,-0.9932618415214705,-1.8925196657594434,0.9707891120198894,1.0,-10.487323865592694,PERDA NO TESTE,53,13.195863951866945,41.23616972837115,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
