train_rank,test_rank,strategy,management,train_objective,train_metric,train_cagr,test_start,test_end,test_cagr,test_total_return,test_final_equity,test_max_drawdown,test_calmar,test_sharpe,test_sortino,cdi_total_return,excess_total_return_vs_cdi,excess_sharpe_vs_cdi,excess_t_stat,excess_pvalue_one_sided,excess_pvalue_bonferroni,retention_ratio,reading,trades,fees,slippage,validity,economic_scope
1,8,sma_cross,top1_risk_adjusted_lb126_skip0_trend0_vol63_equal_monthly_abs_cap1_adjusted,cagr,0.7021369230030268,0.7021369230030268,2023-01-02,2026-08-19,0.002464893484859232,0.008970772663011273,1008.9707726630113,-0.42060777510023506,0.005860313647962934,0.16136505181515398,0.21990639758153968,0.560007388597521,-0.5510366159345097,-0.24308369098207747,-0.4631615213409251,0.6783757025226472,1.0,0.003510559556271343,ABAIXO DO CDI,49,11.903905700616932,37.19877912788354,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
2,12,momentum,top1_risk_adjusted_lb126_skip0_trend200_vol63_equal_monthly_abs_cap1_adjusted,cagr,0.6059600225788278,0.6059600225788278,2023-01-02,2026-08-19,-0.007808934821961544,-0.028038695657341628,971.9613043426584,-0.42060777510023506,-0.018565835641294545,0.1256569080662107,0.1698566077464646,0.560007388597521,-0.5880460842548626,-0.2831002403596464,-0.5394073847044841,0.7051971066745952,1.0,-0.012886881198413877,PERDA NO TESTE,49,11.735437480674545,36.67231217616012,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
3,13,time_series_momentum_6m,top1_risk_adjusted_lb126_skip0_trend200_vol63_equal_monthly_abs_cap1_adjusted,cagr,0.6059600225788278,0.6059600225788278,2023-01-02,2026-08-19,-0.007808934821961544,-0.028038695657341628,971.9613043426584,-0.42060777510023506,-0.018565835641294545,0.1256569080662107,0.1698566077464646,0.560007388597521,-0.5880460842548626,-0.2831002403596464,-0.5394073847044841,0.7051971066745952,1.0,-0.012886881198413877,PERDA NO TESTE,49,11.735437480674545,36.67231217616012,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
4,9,buy_and_hold,top1_risk_adjusted_lb126_skip0_trend200_vol63_equal_monthly_abs_cap1_adjusted,cagr,0.5961702173433889,0.5961702173433889,2023-01-02,2026-08-19,0.002464893484859232,0.008970772663011273,1008.9707726630113,-0.42060777510023506,0.005860313647962934,0.16136505181515398,0.21990639758153968,0.560007388597521,-0.5510366159345097,-0.24308369098207747,-0.4631615213409251,0.6783757025226472,1.0,0.004134546498889384,ABAIXO DO CDI,49,11.903905700616932,37.19877912788354,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
5,10,sma_stop,top1_risk_adjusted_lb126_skip0_trend0_vol63_equal_monthly_abs_cap1_adjusted,cagr,0.5741434059509365,0.5741434059509365,2023-01-02,2026-08-19,-0.0025946578862833247,-0.009380475177186653,990.6195248228133,-0.4487776205311387,-0.005781611576826151,0.14275868141787454,0.19348866047728536,0.560007388597521,-0.5693878637747076,-0.2670995437311794,-0.5089203250296258,0.694595963657924,1.0,-0.004519180851665222,PERDA NO TESTE,59,13.848997191508465,43.27717970916362,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
6,15,roc_trend,top1_risk_adjusted_lb126_skip0_trend0_vol63_equal_monthly_abs_cap1_adjusted,cagr,0.5623972613946304,0.5623972613946304,2023-01-02,2026-08-19,-0.016706288766769495,-0.05928641208413554,940.7135879158644,-0.4314360141085457,-0.038722517871598756,0.09519571372688264,0.12840634175240961,0.560007388597521,-0.6192938006816565,-0.31458696542826275,-0.5994008767643814,0.7255472037721443,1.0,-0.0297054945206193,PERDA NO TESTE,51,12.027624854286028,37.585401616256405,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
7,11,price_sma,top1_risk_adjusted_lb126_skip0_trend0_vol63_equal_monthly_abs_cap1_adjusted,cagr,0.541766426227503,0.541766426227503,2023-01-02,2026-08-19,-0.0040393913975591555,-0.01457591077513587,985.4240892248641,-0.4314360141085457,-0.009362666225038131,0.1400987460126658,0.1906762086097572,0.560007388597521,-0.5745832993726568,-0.2640206604535194,-0.5030539493087748,0.6925368287899196,1.0,-0.007455964788528444,PERDA NO TESTE,51,12.234828588879596,38.23289097205567,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
8,3,time_series_momentum_3m,top1_risk_adjusted_lb252_skip0_trend0_vol63_equal_monthly_abs_cap1_adjusted,cagr,0.5232319007234612,0.5232319007234612,2023-01-02,2026-08-19,0.08484130609963647,0.34368145535186634,1343.6814553518664,-0.3474085455805146,0.2442119147007967,0.4502812162341122,0.666026223418584,0.560007388597521,-0.21632593324565463,-0.040538346433200576,-0.07724007369968305,0.5307837186749551,1.0,0.16214857309412573,ABAIXO DO CDI,57,18.800561844047092,58.75086323552414,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
9,6,atr_breakout,top1_risk_adjusted_lb252_skip0_trend0_vol63_equal_monthly_abs_cap1_adjusted,cagr,0.48130075133284045,0.48130075133284045,2023-01-02,2026-08-19,0.007482367082164654,0.02741134485541985,1027.4113448554199,-0.34555531405611606,0.021653167460621264,0.14812385302022318,0.21127056805251837,0.560007388597521,-0.5325960437421011,-0.37868075260519696,-0.7215225043299224,0.7647059501128286,1.0,0.015546136301354475,ABAIXO DO CDI,59,19.45745872358929,60.80364798366423,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
10,18,donchian_40_20_trend,top1_risk_adjusted_lb252_skip0_trend200_vol63_equal_weekly_abs_cap1_adjusted,cagr,0.4089504363860377,0.4089504363860377,2023-01-02,2026-08-19,-0.07306341958848361,-0.24060289957497016,759.3971004250299,-0.5054665137537194,-0.1445465082264235,-0.1311328444333237,-0.1745317399595019,0.560007388597521,-0.8006102881724911,-0.5701040054730602,-1.086252382587551,0.8613163261284478,1.0,-0.17866081825014563,PERDA NO TESTE,108,36.24177989346986,113.25472438069097,OUT_OF_SAMPLE_SELECTION__BIASED_UNIVERSE,strict_level1_split_adjusted_no_dividends_no_income_tax
