strategy,signal_mode,lookback,skip,top_n,trend_window,vol_window,rebalance,score,weighting,absolute_momentum,max_weight,target_vol,roc_windows,roc_weights,positive_rule,short_window,short_weight,full_start,full_end,full_candles,full_trades,full_exposure,full_avg_positions,full_total_return,full_cagr,full_max_drawdown,full_volatility,full_sharpe,full_turnover,train_end,train_total_return,train_cagr,train_max_drawdown,train_sharpe,test_start,test_total_return,test_cagr,test_max_drawdown,test_sharpe,test_trades,test_exposure
top2_roc_short_blend_risk_adjusted_roc12_6_3_w2_1_1_short21x2_trend200_vol63_equal_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,equal,True,1.0,0.0,"252,126,63","2,1,1",score,21,2.0,2000-01-03,2026-07-17,6662,652,0.8865205643950765,1.5885619933953767,44.530103247242096,0.15476650509799006,-0.5586974121519533,0.28311091436431646,0.6500773345329205,206.70444923695868,2018-07-02,11.959181044898084,0.14857205646687688,-0.5586974121519533,0.6276727884903384,2018-07-03,2.191509093235929,0.15531152139073656,-0.4931334062986429,0.6615205898701978,222,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w2_1_1_short21x2_trend200_vol63_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,inv_vol,True,1.0,0.0,"252,126,63","2,1,1",score,21,2.0,2000-01-03,2026-07-17,6662,655,0.8865205643950765,1.5885619933953767,36.20683783216305,0.14601433454688828,-0.5579438313278084,0.279428612774677,0.627670115243638,215.90158964344187,2018-07-02,9.73913752383204,0.13696110246149495,-0.5579438313278084,0.594638921783657,2018-07-03,2.1576626766296507,0.15378016942168804,-0.48701009092691905,0.6663395541536116,225,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w2_1_1_short21x2_trend200_vol63_score_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,score_inv_vol,True,1.0,0.0,"252,126,63","2,1,1",score,21,2.0,2000-01-03,2026-07-17,6662,656,0.8865205643950765,1.5885619933953767,30.97559082327214,0.13948909117950414,-0.5534450785729836,0.2841054737105284,0.6018569897689398,221.18896712693814,2018-07-02,8.965004738450165,0.1323709928113075,-0.5534450785729836,0.5742962454485823,2018-07-03,1.9210055898137242,0.14265222167043912,-0.4554597908569483,0.6288528092380119,231,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_1_short21x2_trend200_vol63_equal_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,equal,True,1.0,0.0,"252,126,63","1,1,1",score,21,2.0,2000-01-03,2026-07-17,6662,662,0.8965776043230261,1.6049234464124889,82.78547397035115,0.1816150086097983,-0.5301289117290116,0.2828128160790792,0.7316644915003339,209.27173856118992,2018-07-02,25.086268740152136,0.1928529093469078,-0.5301289117290116,0.7546178259365519,2018-07-03,1.9156128126161098,0.14238957033083421,-0.44746955482006157,0.632402634941851,228,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w2_1_1_short21x1_trend200_vol63_equal_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,equal,True,1.0,0.0,"252,126,63","2,1,1",score,21,1.0,2000-01-03,2026-07-17,6662,617,0.8895226658661063,1.6131792254578206,47.17123952587158,0.1572230379225079,-0.5586495678646966,0.28375462422342873,0.6565789410984062,162.28751441332992,2018-07-02,14.122454782099142,0.15819964123374874,-0.5586495678646966,0.6532930065349888,2018-07-03,1.8977707263709873,0.141517541968055,-0.4878125944416789,0.623267108884434,204,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_1_short21x2_trend200_vol63_score_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,score_inv_vol,True,1.0,0.0,"252,126,63","1,1,1",score,21,2.0,2000-01-03,2026-07-17,6662,672,0.8965776043230261,1.6049234464124889,61.04550978203952,0.16831399993954,-0.5204704663795515,0.28715334642861423,0.6854718189367421,230.95722051998646,2018-07-02,18.795266930695863,0.17518555671880875,-0.5204704663795515,0.6965647270936985,2018-07-03,1.8522574325926282,0.1392716103111482,-0.4485616121738115,0.6180263435182691,233,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w2_1_1_short21x1_trend200_vol63_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,inv_vol,True,1.0,0.0,"252,126,63","2,1,1",score,21,1.0,2000-01-03,2026-07-17,6662,625,0.8895226658661063,1.6131792254578206,41.41979098104828,0.1516913154840136,-0.557968970906858,0.27984633305506873,0.6446670023448794,173.22162787189959,2018-07-02,12.736647116602999,0.15219614045245122,-0.557968970906858,0.638544471866147,2018-07-03,1.816793416568519,0.13749972043327463,-0.4790823139685567,0.6190461717760933,211,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_1_short21x2_trend200_vol63_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,inv_vol,True,1.0,0.0,"252,126,63","1,1,1",score,21,2.0,2000-01-03,2026-07-17,6662,669,0.8965776043230261,1.6049234464124889,64.53822019364135,0.17072773971959632,-0.5289270921456322,0.2798304263861572,0.7033793771031027,218.95088210266633,2018-07-02,20.477945414141082,0.1803811270911937,-0.5289270921456322,0.7219457347187708,2018-07-03,1.7770246934161884,0.13548936876334983,-0.4468631903532353,0.6153838893411944,229,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_2_short21x1_trend200_vol63_inv_vol_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,inv_vol,True,1.0,0.0,"252,126,63","1,1,2",all_windows,21,1.0,2000-01-03,2026-07-17,6662,521,0.8009606724707296,1.312818973281297,63.24961000360511,0.1698519454673144,-0.565359254017763,0.2842231995275527,0.6937295876697969,187.1059106341903,2018-07-02,20.494726931161033,0.1804309770922834,-0.5642542387380425,0.7112581040206368,2018-07-03,1.7181805379120205,0.13246799245071905,-0.48718975618662264,0.6077349513577237,202,0.9269269269269269
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_1_short21x1_trend200_vol63_equal_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,equal,True,1.0,0.0,"252,126,63","1,1,1",score,21,1.0,2000-01-03,2026-07-17,6662,634,0.902731912338637,1.6419993995797058,89.38640996931429,0.18499673971468011,-0.539131243121997,0.28637418524447905,0.7359571534007971,167.74893499742882,2018-07-02,29.84180415053737,0.20370305800413147,-0.539131243121997,0.7810719509619487,2018-07-03,1.6624226694627757,0.12955176717128758,-0.49362319886308526,0.5836017660229482,212,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_1_short21x1_trend200_vol63_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,inv_vol,True,1.0,0.0,"252,126,63","1,1,1",score,21,1.0,2000-01-03,2026-07-17,6662,643,0.902731912338637,1.6419993995797058,73.30654771933828,0.176280786211078,-0.5398343630435327,0.28267819636554814,0.7157268644219574,178.52815966459298,2018-07-02,25.16244112726682,0.1930409874772523,-0.5398343630435327,0.7547905952437043,2018-07-03,1.592001949102177,0.12579124913445106,-0.4868692454260951,0.578452733405157,212,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_2_short21x1_trend200_vol63_equal_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,equal,True,1.0,0.0,"252,126,63","1,1,2",all_windows,21,1.0,2000-01-03,2026-07-17,6662,517,0.8009606724707296,1.312818973281297,64.94786844533782,0.1710026850955475,-0.56782123364819,0.2872219267012201,0.6928958786887165,183.2463784070421,2018-07-02,22.18885277649487,0.1852831073457324,-0.56782123364819,0.7225920679061641,2018-07-03,1.588440644801342,0.12559870637859616,-0.49329307436986136,0.5772043099314155,195,0.9269269269269269
top2_roc_short_blend_risk_adjusted_roc12_6_3_w2_1_1_short21x2_trend200_vol63_inv_vol_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,inv_vol,True,1.0,0.0,"252,126,63","2,1,1",all_windows,21,2.0,2000-01-03,2026-07-17,6662,522,0.7979585709996998,1.293755628940258,28.510575684564323,0.13604927163410863,-0.6329379002440597,0.28141527559335183,0.5937646296856977,204.26632159524578,2018-07-02,9.404273126002519,0.13501529963848347,-0.5736000355861215,0.5825139042811084,2018-07-03,1.5838679393910313,0.12535114157563254,-0.4865483063616035,0.5809337311412712,202,0.9269269269269269
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_1_short21x1_trend200_vol63_inv_vol_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,inv_vol,True,1.0,0.0,"252,126,63","1,1,1",all_windows,21,1.0,2000-01-03,2026-07-17,6662,516,0.8009606724707296,1.3156709696787752,61.501463151664495,0.1686364151389319,-0.5642447077848973,0.28464176575318373,0.6894686001016871,178.9134976490415,2018-07-02,21.785391870020696,0.1841587382516503,-0.5642447077848973,0.7217393813982739,2018-07-03,1.498111717575259,0.12063578323064217,-0.4870352195230344,0.5662551545071218,197,0.9269269269269269
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_2_short21x2_trend200_vol63_score_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,score_inv_vol,True,1.0,0.0,"252,126,63","1,1,2",score,21,2.0,2000-01-03,2026-07-17,6662,675,0.887271089762834,1.580906634644251,77.6144070343588,0.17878164121207707,-0.5292589027046508,0.2839534840231567,0.7212920827284578,238.87818438711878,2018-07-02,28.274311253037716,0.20031293809382,-0.5292589027046508,0.7770807754992393,2018-07-03,1.4437392015079422,0.11757211564335712,-0.44944125633760534,0.5451335244239313,232,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_2_short21x2_trend200_vol63_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,inv_vol,True,1.0,0.0,"252,126,63","1,1,2",score,21,2.0,2000-01-03,2026-07-17,6662,670,0.887271089762834,1.580906634644251,87.34338196426494,0.18397619232232287,-0.5382470167886738,0.2760256840276502,0.7499492696563463,224.3635659216245,2018-07-02,31.939526128959592,0.2079934610403451,-0.5382470167886738,0.8132101408053517,2018-07-03,1.441666596101507,0.11745415617277999,-0.4471529267443084,0.553277118956608,231,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_2_short21x2_trend200_vol63_equal_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,equal,True,1.0,0.0,"252,126,63","1,1,2",score,21,2.0,2000-01-03,2026-07-17,6662,664,0.887271089762834,1.580906634644251,98.00429096632624,0.18907064837050847,-0.5562370312226417,0.27877531374138276,0.7607015134143413,216.899044757022,2018-07-02,35.85892913233789,0.2153591155210508,-0.5562370312226417,0.8307906323151448,2018-07-03,1.440381431424024,0.1173809687583196,-0.4473421153219883,0.5484897922965983,227,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w2_1_1_short21x2_trend200_vol63_score_inv_vol_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,score_inv_vol,True,1.0,0.0,"252,126,63","2,1,1",all_windows,21,2.0,2000-01-03,2026-07-17,6662,519,0.7979585709996998,1.293755628940258,23.379484641474058,0.12790109420415274,-0.6579899619741042,0.28441970114311677,0.5652011437313321,206.5595979044956,2018-07-02,8.101348729603961,0.1268337947161191,-0.584299984538198,0.5550230253794486,2018-07-03,1.4382371082056653,0.11725877891541536,-0.45508199355379164,0.5498839126938606,206,0.9269269269269269
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_2_short21x1_trend200_vol63_score_inv_vol_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,score_inv_vol,True,1.0,0.0,"252,126,63","1,1,2",all_windows,21,1.0,2000-01-03,2026-07-17,6662,519,0.8009606724707296,1.312818973281297,48.21952122806625,0.1581622790256456,-0.6024547437608014,0.2874746870004435,0.6541954644645884,188.75477823097395,2018-07-02,17.403791761321134,0.17056322817121594,-0.5641582226135646,0.6799662835677317,2018-07-03,1.437239562459896,0.11720190375497741,-0.47948300274998645,0.5495205342305882,201,0.9269269269269269
top2_roc_short_blend_risk_adjusted_roc12_6_3_w2_1_1_short21x2_trend200_vol63_equal_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,equal,True,1.0,0.0,"252,126,63","2,1,1",all_windows,21,2.0,2000-01-03,2026-07-17,6662,520,0.7979585709996998,1.293755628940258,29.947939715146447,0.13808717863079312,-0.6146854241012218,0.284114172648754,0.5971333756172432,200.39090140911296,2018-07-02,10.621622695018633,0.14182645745942457,-0.5678539108614122,0.6017342924967204,2018-07-03,1.426157896675202,0.11656870686882015,-0.49326601016401606,0.5448430364575707,195,0.9269269269269269
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_1_short21x1_trend200_vol63_equal_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,equal,True,1.0,0.0,"252,126,63","1,1,1",all_windows,21,1.0,2000-01-03,2026-07-17,6662,511,0.8009606724707296,1.3156709696787752,63.44795038871246,0.16998784066869055,-0.5678362483444436,0.2876489223158754,0.6892767612099578,175.6895750732903,2018-07-02,23.44249556428977,0.18866232802292715,-0.5678362483444436,0.732051506101932,2018-07-03,1.402014630648135,0.11518036526131481,-0.493300566059208,0.5411438335948889,191,0.9269269269269269
top2_roc_short_blend_risk_adjusted_roc12_6_3_w2_1_1_short21x1_trend200_vol63_equal_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,equal,True,1.0,0.0,"252,126,63","2,1,1",all_windows,21,1.0,2000-01-03,2026-07-17,6662,517,0.8009606724707296,1.312818973281297,38.9077201752066,0.14904485644853627,-0.634302414659679,0.2860370359084179,0.6284350698128741,179.24048342028584,2018-07-02,14.44164168739849,0.1595084399285298,-0.5678353163876446,0.6511732841201374,2018-07-03,1.357465269504989,0.11258619590481866,-0.4875097811981618,0.5316797313141175,188,0.9269269269269269
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_2_short21x1_trend200_vol63_score_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,score_inv_vol,True,1.0,0.0,"252,126,63","1,1,2",score,21,1.0,2000-01-03,2026-07-17,6662,667,0.8994296007205044,1.6269888922245572,75.95374839510974,0.17783356852365562,-0.4973254250246726,0.2889753559861595,0.7108724268224906,200.33657634739487,2018-07-02,28.78739051951386,0.20144112955490634,-0.4973254250246726,0.7676377499036057,2018-07-03,1.3529956646044003,0.11232356100845697,-0.47963870311723245,0.5291994476168284,224,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_1_short21x1_trend200_vol63_score_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,score_inv_vol,True,1.0,0.0,"252,126,63","1,1,1",score,21,1.0,2000-01-03,2026-07-17,6662,648,0.902731912338637,1.6419993995797058,62.17959461428814,0.1691117753469109,-0.5369876661512052,0.2885573132190605,0.685767075702571,185.00591194341698,2018-07-02,23.46773547286191,0.1887286646805444,-0.5369876661512052,0.7329108984943843,2018-07-03,1.3518315020211848,0.11225508287589747,-0.4862734953514356,0.5285918258473365,218,0.96996996996997
top2_roc_short_blend_risk_adjusted_roc12_6_3_w2_1_1_short21x1_trend200_vol63_inv_vol_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,inv_vol,True,1.0,0.0,"252,126,63","2,1,1",all_windows,21,1.0,2000-01-03,2026-07-17,6662,516,0.8009606724707296,1.312818973281297,35.571999019314624,0.14527131810366445,-0.652581192983988,0.2831551742288473,0.6202954894939914,182.77095542234287,2018-07-02,13.178054268253257,0.15416826924257676,-0.5642565137028515,0.6373500293532187,2018-07-03,1.345211640581168,0.11186512556874129,-0.47932328150485115,0.5350600566309721,188,0.9269269269269269
top2_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_2_short21x1_trend200_vol63_inv_vol_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_short_blend_risk_adjusted,inv_vol,True,1.0,0.0,"252,126,63","1,1,2",score,21,1.0,2000-01-03,2026-07-17,6662,660,0.8994296007205044,1.6269888922245572,76.06849642014188,0.1778997086144738,-0.4929398069508881,0.28342994281204165,0.719471055815752,197.85168109462074,2018-07-02,29.389233714699444,0.202741305907697,-0.4929398069508881,0.783519597812608,2018-07-03,1.309120821735136,0.10972201080058896,-0.48698814408210633,0.5211833022470744,223,0.96996996996997
