ticker,strategy,fast,slow,lookback,exit_lookback,rsi_period,lower,upper,trend_window,sma_window,stop_pct,start,end,candles,trades,exposure,final_equity,total_return,cagr,max_drawdown,annual_volatility,sharpe,benchmark_final_equity,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown,excess_total_return
BBSE3,trend_pullback,,,,,5,50.0,80.0,200,,,2013-04-29,2026-07-17,3289,162,0.4363028276071754,34703.26126587361,2.470326126587361,0.09872448344595175,-0.34762312845413,0.15840580476642022,0.6734297795596788,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-3.167707750391938
BBSE3,trend_pullback,,,,,5,40.0,80.0,200,,,2013-04-29,2026-07-17,3289,124,0.34721799939191245,30997.330668148228,2.0997330668148226,0.08937545100676814,-0.3376728092403629,0.14255054010736967,0.6716053215780333,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-3.5383008101644764
BBSE3,trend_pullback,,,,,14,40.0,80.0,200,,,2013-04-29,2026-07-17,3289,36,0.3089084828215263,26102.62124531789,1.610262124531789,0.07530014114262462,-0.36931029360744794,0.12948381175733562,0.625508453209284,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.02777175244751
BBSE3,trend_pullback,,,,,5,40.0,80.0,50,,,2013-04-29,2026-07-17,3289,126,0.20766190331407722,24107.416862829617,1.4107416862829618,0.06884965681475941,-0.24629118450627907,0.11234122155262027,0.6486191652972827,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.227292190696337
BBSE3,trend_pullback,,,,,5,50.0,60.0,200,,,2013-04-29,2026-07-17,3289,314,0.3064761325630891,23821.846203634515,1.3821846203634514,0.06788631207827867,-0.2634894623841033,0.1344158929678252,0.5555549334847811,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.255849256615848
BBSE3,trend_pullback,,,,,5,50.0,80.0,100,,,2013-04-29,2026-07-17,3289,182,0.4025539677713591,23758.17030094006,1.375817030094006,0.06767005280257354,-0.2824194941306203,0.1538001074584959,0.502482058133576,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.262216846885293
BBSE3,trend_pullback,,,,,2,40.0,70.0,100,,,2013-04-29,2026-07-17,3289,476,0.27972027972027974,23406.48988479629,1.340648988479629,0.06646591971645299,-0.17397588871732494,0.12904221880139524,0.5629547369446843,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.2973848884996695
BBSE3,trend_pullback,,,,,5,50.0,80.0,50,,,2013-04-29,2026-07-17,3289,196,0.30039525691699603,23266.510843417083,1.3266510843417083,0.06598198147578094,-0.31675582900356136,0.1381712530937095,0.5313854178964926,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.311382792637591
BBSE3,trend_pullback,,,,,2,50.0,80.0,100,,,2013-04-29,2026-07-17,3289,446,0.3715415019762846,23195.37423227715,1.319537423227715,0.06573501434465578,-0.30904914033718855,0.15063650351613503,0.497792245658606,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.3184964537515835
BBSE3,trend_pullback,,,,,5,30.0,80.0,200,,,2013-04-29,2026-07-17,3289,80,0.23350562480997264,23094.46898563068,1.3094468985630678,0.06538349498434326,-0.32427092563257165,0.11176072271271066,0.622568944579827,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.328586978416231
BBSE3,trend_pullback,,,,,2,50.0,70.0,100,,,2013-04-29,2026-07-17,3289,576,0.32046214654910304,23013.789286701114,1.3013789286701116,0.06510141168150563,-0.30539646055061276,0.14087042899500113,0.5179963372612331,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.336654948309187
BBSE3,trend_pullback,,,,,14,50.0,80.0,200,,,2013-04-29,2026-07-17,3289,76,0.48859835816357555,21901.103435161556,1.1901103435161557,0.06111491935009705,-0.5578699495954045,0.1650829604940015,0.4422076887362656,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.447923533463143
BBSE3,trend_pullback,,,,,5,50.0,70.0,200,,,2013-04-29,2026-07-17,3289,210,0.37245363332319853,21747.452764210542,1.1747452764210542,0.0605497793619989,-0.3339255325843772,0.14875783864888495,0.4693951558834249,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.463288600558245
