ticker,chart_type,interval,status,ready_for_backtest,rows,start,end,corporate_actions,price_status,split_status,split_verified_from,action_status,file,issues
LOGG3,candles,4h,faltando,nao,0,,,13,unverified,unverified,,unverified,data/candles/logg3_4h.csv,arquivo inexistente
LOGG3,candles,1d,ok_retorno_preco,sim,1892,2018-12-21,2026-07-31,13,price_verified,verified,2017-01-01,unverified,data/candles/logg3_1d.csv,
LOGG3,candles,1sem,ok_retorno_preco,sim,398,2018-12-21,2026-07-27,13,price_verified,verified,2017-01-01,unverified,data/candles/logg3_1wk.csv,
LOGG3,heikin_ashi,4h,faltando,nao,0,,,13,unverified,unverified,,unverified,data/heikin_ashi/logg3_4h.csv,arquivo inexistente
LOGG3,heikin_ashi,1d,derivado_verificado,nao,1892,2018-12-21,2026-07-31,13,derived_from_price_verified,verified,2017-01-01,unverified,data/heikin_ashi/logg3_1d.csv,
LOGG3,heikin_ashi,1sem,derivado_verificado,nao,398,2018-12-21,2026-07-27,13,derived_from_price_verified,verified,2017-01-01,unverified,data/heikin_ashi/logg3_1wk.csv,
MLAS3,candles,4h,faltando,nao,0,,,2,unverified,unverified,,unverified,data/candles/mlas3_4h.csv,arquivo inexistente
MLAS3,candles,1d,ok_retorno_preco,sim,1255,2021-07-22,2026-07-31,2,price_verified,verified,2017-01-01,unverified,data/candles/mlas3_1d.csv,
MLAS3,candles,1sem,ok_retorno_preco,sim,263,2021-07-22,2026-07-27,2,price_verified,verified,2017-01-01,unverified,data/candles/mlas3_1wk.csv,
MLAS3,heikin_ashi,4h,faltando,nao,0,,,2,unverified,unverified,,unverified,data/heikin_ashi/mlas3_4h.csv,arquivo inexistente
MLAS3,heikin_ashi,1d,derivado_verificado,nao,1255,2021-07-22,2026-07-31,2,derived_from_price_verified,verified,2017-01-01,unverified,data/heikin_ashi/mlas3_1d.csv,
MLAS3,heikin_ashi,1sem,derivado_verificado,nao,263,2021-07-22,2026-07-27,2,derived_from_price_verified,verified,2017-01-01,unverified,data/heikin_ashi/mlas3_1wk.csv,
PETR4,candles,4h,faltando,nao,0,,,64,unverified,unverified,,unverified,data/candles/petr4_4h.csv,arquivo inexistente
PETR4,candles,1d,ok_retorno_preco_desde_split_coverage,sim_desde_2017-01-01,6589,2000-01-03,2026-07-31,64,price_verified,verified,2017-01-01,unverified,data/candles/petr4_1d.csv,
PETR4,candles,1sem,ok_retorno_preco_desde_split_coverage,sim_desde_2017-01-01,1387,2000-01-03,2026-07-27,64,price_verified,verified,2017-01-01,unverified,data/candles/petr4_1wk.csv,
PETR4,heikin_ashi,4h,faltando,nao,0,,,64,unverified,unverified,,unverified,data/heikin_ashi/petr4_4h.csv,arquivo inexistente
PETR4,heikin_ashi,1d,derivado_verificado,nao,6589,2000-01-03,2026-07-31,64,derived_from_price_verified,verified,2017-01-01,unverified,data/heikin_ashi/petr4_1d.csv,
PETR4,heikin_ashi,1sem,derivado_verificado,nao,1387,2000-01-03,2026-07-27,64,derived_from_price_verified,verified,2017-01-01,unverified,data/heikin_ashi/petr4_1wk.csv,
TUPY3,candles,4h,faltando,nao,0,,,34,unverified,unverified,,unverified,data/candles/tupy3_4h.csv,arquivo inexistente
TUPY3,candles,1d,ok_retorno_preco_desde_split_coverage,sim_desde_2017-01-01,4977,2000-12-11,2026-07-31,34,price_verified,verified,2017-01-01,unverified,data/candles/tupy3_1d.csv,
TUPY3,candles,1sem,ok_retorno_preco_desde_split_coverage,sim_desde_2017-01-01,1154,2000-12-11,2026-07-27,34,price_verified,verified,2017-01-01,unverified,data/candles/tupy3_1wk.csv,
TUPY3,heikin_ashi,4h,faltando,nao,0,,,34,unverified,unverified,,unverified,data/heikin_ashi/tupy3_4h.csv,arquivo inexistente
TUPY3,heikin_ashi,1d,derivado_verificado,nao,4977,2000-12-11,2026-07-31,34,derived_from_price_verified,verified,2017-01-01,unverified,data/heikin_ashi/tupy3_1d.csv,
TUPY3,heikin_ashi,1sem,derivado_verificado,nao,1154,2000-12-11,2026-07-27,34,derived_from_price_verified,verified,2017-01-01,unverified,data/heikin_ashi/tupy3_1wk.csv,
VALE3,candles,4h,faltando,nao,0,,,41,unverified,unverified,,unverified,data/candles/vale3_4h.csv,arquivo inexistente
VALE3,candles,1d,ok_retorno_preco_desde_split_coverage,sim_desde_2017-01-01,6583,2000-01-03,2026-07-31,41,price_verified,verified,2017-01-01,unverified,data/candles/vale3_1d.csv,
VALE3,candles,1sem,ok_retorno_preco_desde_split_coverage,sim_desde_2017-01-01,1387,2000-01-03,2026-07-27,41,price_verified,verified,2017-01-01,unverified,data/candles/vale3_1wk.csv,
VALE3,heikin_ashi,4h,faltando,nao,0,,,41,unverified,unverified,,unverified,data/heikin_ashi/vale3_4h.csv,arquivo inexistente
VALE3,heikin_ashi,1d,derivado_verificado,nao,6583,2000-01-03,2026-07-31,41,derived_from_price_verified,verified,2017-01-01,unverified,data/heikin_ashi/vale3_1d.csv,
VALE3,heikin_ashi,1sem,derivado_verificado,nao,1387,2000-01-03,2026-07-27,41,derived_from_price_verified,verified,2017-01-01,unverified,data/heikin_ashi/vale3_1wk.csv,
