ticker,strategy,fast,slow,signal_window,lookback,exit_lookback,rsi_period,lower,upper,trend_window,sma_window,stop_pct,window,num_std,exit_z,atr_period,atr_mult,start,end,candles,trades,exposure,final_equity,total_return,cagr,max_drawdown,annual_volatility,sharpe,benchmark_final_equity,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown,excess_total_return
BBSE3,ema_cross,20,80,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,39,0.6555183946488294,36032.062425045966,2.6032062425045965,0.10185289603928971,-0.33479651003921185,0.19834765676375457,0.5883722754467142,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-3.0172878282455016
BBSE3,ema_cross,30,50,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,49,0.6406202493159014,32627.84130943876,2.262784130943876,0.09360947080530124,-0.33552838404535346,0.1964675432621989,0.5539167097647675,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-3.357709939806222
BBSE3,ema_cross,10,80,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,67,0.6391000304043782,30077.024678262085,2.0077024678262085,0.08689385201016941,-0.34936948805183987,0.19622287610786826,0.5229495328153263,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-3.6127916029238896
BBSE3,ema_cross,5,50,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,111,0.6020066889632107,29140.194922931158,1.9140194922931157,0.08429453573896706,-0.3491452866352206,0.1940558556444254,0.5142540653303848,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-3.7064745784569824
BBSE3,ema_cross,10,50,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,87,0.603526907874734,27673.8597934903,1.7673859793490303,0.08006672013201688,-0.32594316758229347,0.1935605165040829,0.4949123393823101,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-3.853108091401068
BBSE3,ema_cross,30,80,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,31,0.6612952265126179,27569.02509216987,1.756902509216987,0.0797565782786378,-0.46236583404602505,0.19863936586153316,0.4858161941281953,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-3.863591561533111
BBSE3,ema_cross,20,100,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,33,0.663727576771055,27365.56482163426,1.7365564821634258,0.07915154008549519,-0.4407537145643029,0.1998910038409145,0.48122368187654535,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-3.8839375885866723
BBSE3,ema_cross,20,50,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,63,0.6220735785953178,26636.555599833784,1.6636555599833782,0.07694896678925933,-0.44214654909532247,0.1951701795482926,0.47766134105832236,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-3.95683851076672
BBSE3,ema_cross,10,100,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,49,0.6500456065673457,26492.968989723693,1.6492968989723695,0.07650858606078481,-0.43950918848930853,0.19730436639106388,0.4724904809926767,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-3.9711971717777286
BBSE3,ema_cross,5,150,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,49,0.6503496503496503,25595.28181768298,1.559528181768298,0.0737042995210313,-0.44316561551873723,0.19689880225735237,0.4598118756506688,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-4.0609658889818
BBSE3,ema_cross,5,80,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,93,0.6263301915475828,25560.855871758067,1.5560855871758066,0.07359495583776976,-0.36205206766038156,0.1956098562712045,0.46100996181686,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-4.064408483574292
BBSE3,ema_cross,5,200,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,49,0.6555183946488294,25507.1839367639,1.55071839367639,0.07342421120104281,-0.4473207576054953,0.19902563929979034,0.45569757921832355,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-4.069775677073708
BBSE3,ema_cross,10,150,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,37,0.6509577379142597,24440.107150177653,1.4440107150177655,0.0699587412309679,-0.4334705897559922,0.19913978337598223,0.4393038066115297,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-4.176483355732333
BBSE3,ema_cross,100,200,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,11,0.7148069321982365,23755.83063635608,1.3755830636356081,0.06766209651697563,-0.4128239214769127,0.21698772744288183,0.41058019248329475,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-4.24491100711449
BBSE3,ema_cross,50,80,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,27,0.6780176345393737,23524.20192166524,1.352420192166524,0.06687080981882687,-0.5403564727123753,0.20372958894241613,0.41978286921916685,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-4.268073878583574
BBSE3,ema_cross,10,200,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,41,0.6503496503496503,23286.63018199863,1.328663018199863,0.06605170377897784,-0.4698017252629686,0.1983038758394896,0.42190539313130593,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-4.291831052550235
BBSE3,ema_cross,50,100,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,25,0.6676801459410155,23213.14837173104,1.3213148371731038,0.06579678690517943,-0.4584560777178851,0.20145490816258138,0.41734186491642095,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-4.299179233576995
BBSE3,ema_cross,50,200,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,17,0.6874429917908179,22618.453832534666,1.2618453832534664,0.0637058339993819,-0.46676413776591685,0.20826302972054003,0.4011428965913266,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-4.358648687496632
BBSE3,ema_cross,80,100,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,21,0.6816661599270295,21818.76591544337,1.181876591544337,0.06081253250582841,-0.47304815323572447,0.20760400539435242,0.3885575100406828,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-4.438617479205761
BBSE3,ema_cross,50,150,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,21,0.6795378534508969,21812.980616896908,1.1812980616896906,0.06079124619565368,-0.4333880604090624,0.20581374205078296,0.38997523000435147,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-4.4391960090604075
BBSE3,ema_cross,30,200,,,,,,,,,,,,,,,2013-04-29,2026-07-17,3289,21,0.6740650653694132,21455.40886508007,1.145540886508007,0.059465367920698675,-0.5175665536070606,0.20172138902514006,0.38769335730491183,66204.94070750098,5.620494070750098,0.15375934263630398,-0.4404139785484886,-4.474953184242091
