date,side,ticker,shares,market_type,raw_open,execution_price,notional,fee,slippage_bps,realized_gain
2018-02-01,BUY,RENT3,21,020,25.81,25.84843056666526,542.8170418999705,0.1764155386174904,14.889797235668189,0.0
2018-03-01,SELL,RENT3,21,020,26.16,26.124649148309125,548.6176321144916,0.17830073043720976,13.513322511802016,5.445873945466474
2018-03-01,BUY,GOAU4,100,010,7.99,7.99799221651162,799.799221651162,0.25993474703662767,10.002774107158732,0.0
2018-03-01,BUY,GOAU4,25,020,7.92,7.930062807043065,198.25157017607663,0.0644317603072249,12.705564448314707,0.0
2018-04-02,SELL,GOAU4,100,010,7.18,7.17281791024044,717.281791024044,0.23311658208281427,10.00291052863506,-81.65145222570482
2018-04-02,SELL,GOAU4,25,020,7.16,7.151105567229035,178.77763918072586,0.0581027327337359,12.422392138219692,-20.95549521892437
2018-04-02,BUY,PETR4,41,020,21.41,21.434298827262133,878.8062519177474,0.2856120318732679,11.349288772597037,0.0
2018-05-02,SELL,PETR4,41,020,22.75,22.723576436525022,931.6666338975259,0.30279165601669594,11.614753175814835,52.27197829188856
2018-05-02,BUY,MGLU3,8,020,106.71,106.82354928221355,854.5883942577084,0.27774122813375524,10.640922332824044,0.0
2018-09-03,SELL,MGLU3,8,020,129.59,129.45626822161756,1035.6501457729405,0.33658629737620566,10.319606326294874,180.4474239897221
2018-09-03,BUY,RADL3,14,020,76.85,76.95100319391432,1077.3140447148005,0.3501270645323102,13.142900964777702,0.0
2018-10-01,SELL,RADL3,14,020,73.39,73.2959074932975,1026.1427049061651,0.33349637909450364,12.820889317685637,-51.854963252261996
2018-10-01,BUY,GOAU4,100,010,8.0,8.008004353835572,800.8004353835572,0.2602601414996561,10.005442294465034,0.0
2018-10-01,BUY,GOAU4,32,020,7.99,8.001636968933116,256.0523830058597,0.0832170244769044,14.564416687256053,0.0
2018-11-01,SELL,GOAU4,100,010,7.91,7.902086819007351,790.2086819007352,0.256817821617739,10.004021482488985,-10.954420432544339
2018-11-01,SELL,GOAU4,32,020,7.96,7.949471148649386,254.38307675678035,0.08267449994595362,13.227200189212855,-1.9896087868974064
2018-11-01,BUY,PETR4,38,020,27.8,27.829070834627355,1057.5046917158395,0.34368902480764785,10.45713475804132,0.0
2018-12-03,SELL,PETR4,38,020,26.19,26.162467460318595,994.1737634921067,0.3231064731349347,10.51261538045229,-63.99772372167536
2018-12-03,BUY,CMIG4,76,020,12.72,12.737525154073419,968.0519117095798,0.31461687130561344,13.777636850172225,0.0
2019-01-02,BUY,CMIG4,2,020,13.86,13.87405979916138,27.74811959832276,0.009018138869454897,10.144155239092047,0.0
2019-02-01,SELL,CMIG4,78,020,13.83,13.81186047435235,1077.3251169994833,0.3501306630248321,13.11607060567563,80.85132001838076
2019-02-01,BUY,ELET3,28,020,37.98,38.02643572453284,1064.7402002869194,0.3460405650932488,12.226362436241185,0.0
2019-03-01,SELL,ELET3,28,020,37.01,36.964510212663185,1035.0062859545692,0.33637704293523496,12.29121516801245,-30.416331940378768
2019-03-01,BUY,CSNA3,80,020,13.12,13.139020098997998,1051.1216079198398,0.3416145225739479,14.497026675303104,0.0
2019-07-01,SELL,CSNA3,80,020,16.77,16.748896272398678,1339.9117017918943,0.43547130308236565,12.584214431317813,288.0130080463982
2019-07-01,BUY,NATU3,23,020,56.78,56.84642551389974,1307.467786819694,0.42492703071640064,11.698752007702334,0.0
