date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired
2013-01-02,PETR4,PETR4.SA,4.60457099853783,4.700293650012194,4.5793561935424805,4.627033464300705,4.627033464300705,30182600,4.60457099853783,4.700293650012194,4.5793561935424805,4.627033464300705,1.0,4.700293650012194,4.5793561935424805,0
2013-01-03,PETR4,PETR4.SA,4.615802231419268,4.744482040405273,4.581681449191628,4.669477417355121,4.669477417355121,30552600,4.615802231419268,4.744482040405273,4.581681449191628,4.669477417355121,1.0,4.744482040405273,4.581681449191628,0
2013-01-04,PETR4,PETR4.SA,4.642639824387194,4.795649972742827,4.642639824387194,4.74157668341665,4.74157668341665,36141000,4.642639824387194,4.795649972742827,4.642639824387194,4.74157668341665,1.0,4.795649972742827,4.642639824387194,0
2013-01-07,PETR4,PETR4.SA,4.692108253901922,4.807277605979423,4.6398254258810185,4.72006284567036,4.72006284567036,28069600,4.692108253901922,4.807277605979423,4.6398254258810185,4.72006284567036,1.0,4.807277605979423,4.6398254258810185,0
2013-01-08,PETR4,PETR4.SA,4.706085549786141,4.706085549786141,4.525864097215676,4.610753293182498,4.610753293182498,29091300,4.706085549786141,4.706085549786141,4.525864097215676,4.610753293182498,1.0,4.706085549786141,4.525864097215676,0
2013-01-09,PETR4,PETR4.SA,4.65841942148432,4.65841942148432,4.5258629679571225,4.572959114208947,4.572959114208947,24361100,4.65841942148432,4.65841942148432,4.5258629679571225,4.572959114208947,1.0,4.65841942148432,4.5258629679571225,0
2013-01-10,PETR4,PETR4.SA,4.6156892678466335,4.663080446948069,4.544468811456233,4.604356074009362,4.604356074009362,17526200,4.6156892678466335,4.663080446948069,4.544468811456233,4.604356074009362,1.0,4.663080446948069,4.544468811456233,0
2013-01-11,PETR4,PETR4.SA,4.610022670927998,4.6607567299812525,4.581681983126284,4.620637800645327,4.620637800645327,18223600,4.610022670927998,4.6607567299812525,4.581681983126284,4.620637800645327,1.0,4.6607567299812525,4.581681983126284,0
2013-01-14,PETR4,PETR4.SA,4.615330235786663,4.707271179781253,4.579356378062174,4.6316851000930885,4.6316851000930885,28302400,4.615330235786663,4.707271179781253,4.579356378062174,4.6316851000930885,1.0,4.707271179781253,4.579356378062174,0
2013-01-15,PETR4,PETR4.SA,4.623507667939876,4.707270588572883,4.579355802919227,4.637498857061993,4.637498857061993,29633900,4.623507667939876,4.707270588572883,4.579355802919227,4.637498857061993,1.0,4.707270588572883,4.579355802919227,0
